"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"[93] Al-Hasan bin Muhammad Al-Khallaal narrated to me: 'Umar bin Ibraheem bin Katheer Al-Muqree narrated to us: Ja'far bin Muhammad As-Sanadlee narrated to us: Abu Hafs 'Umar bin Ukht Bishr bin Al-Haarith narrated to us, saying: I heard Bishr say: Al-Fudayl said:","93 - __________ _________ ____ _________ ____________ ___ ______ ____ ____________ ____ _______ ____________ ___ ________ ____ _________ _______________ ___ _____ ______ ______ _____ ______ ______ ____ ___________ _____: ________ ________ _______: _____ ____________:"
"""That this man didn't hear this hadeeth is better for him than if he were to hear it and not act upon it.""","«_____ __________ ____ ___ __________ _________ ______ ____ ____ ____ ___________ _____ ________ ____»"
"[94] Abu Bakr Ahmad bin 'Alee bin Yazdaad Al-Qaaree informed us saying: Abu
Muhammad 'Abdullaah bin Muhammad bin Ja'far bin Hayyaan Al-Asbahaanee narrated to us: Muhammad bin Yahyaa, who is Ibn Mandah, narrated to us: Muhammad bin 'Isaam narrated to us from his father from Sufyaan that Abu Haazim said:","94 - ___________ _____ ______ ________ ____ _______ ____ _________ ___________ _____: _____ _____ _________ ______ _______ ____ _________ ____ ________ ____ ________ __________________ ______ ___ _________ ____ _______ ____ _____ _________ ___ _________ ____ ________ ____ ________ ____ __________ ____ _____ ________ _____:"
"""The people are pleased when one acts on his knowledge and they are pleased when one does what he says.""",«______ ________ ____ _________ ___________ ________ ____ _________ ___________»
"[95] Muhammad bin Ahmad bin Rizq informed us, saying: 'Uthmaan bin Ahmad Ad- Daqaaq reported to us: Hanbal bin Ishaaq narrated to us saying: Abu 'Abdillaah, i.e. Ahmad bin Hanbal, narrated to me, saying: Abu Qatan narrated to us, saying: I heard Ibn 'Awn say:","95 - ___________ _________ ____ ________ ____ _______ _____: ________ _________ ____ ________ ____________ ___ ________ ____ __________ _____: __________ _____ ______ _______ _______ ________ ____ _________ _____: ___ _____ _______ _____: ________ _____ _______ _______:"
"""I wished that I had come out from it with just enough - i.e. of knowledge."" Abu Qatan said: Shu'bah said: ""I am not established upon something that I fear will cause me to enter the Hellfire more than this (i.e. the Hadeeth).""","«________ ______ ________ ______ ________ _______ _________» _____ _____ _______ _____ _________: «___ _____ _____ ______ _______ _______ ____ ___________ ________ ________»"
"[96] Muhammad bin Abee Nasr An-Nursee informed us, saying: Muhammad bin 'Abdillaah bin Al-Husayn Ad-Daqaaq informed us saying: 'Abdullaah bin Muhammad bin 'Abdil-'Azeez narrated to us Muhammad bin Ziyaad bin Farwah Al-Baladee narrated to us: Abu Shihaab narrated to us from 'Abdur-Rahmaan bin 'Abdillaah from Al-Qaasim bin 'Abdir-Rahmaan that Ibn Mas'ood said:","96 - ___________ _________ ____ _____ ______ _____________ _____: ___________ _________ ____ ______ _______ ____ ___________ ____________ _____: _____ ______ _______ ____ _________ ____ ______ ___________ ___ _________ ____ _______ ____ ________ _____________ ___ _____ ________ ____ ______ ___________ ____ ______ ________ ____ __________ ____ ______ ____________ ____ _____ __________ _____:"
"""Indeed, I truly believe that an individual forgets knowledge that he used to know due to a sin that he commits.""",«______ __________ _________ _______ _________ _____ __________ ______________ ___________»
"[97] Abu 'Abdillaah Ahmad bin 'Abdillaah bin Al-Husayn bin Ismaa'eel Al- Muhaamilee informed us: 'Abdur-Rahmaan bin Al-'Abbaas bin 'Abdir-Rahmaan bin Zakariyaa Al-Bazaaz narrated to us, saying: 'Abdullaah, i.e. Ibn Abee Ziyaad, narrated to us: Siyaar narrated to us from Ja'far that Maalik (bin Deenaar) said: I read in the Torah:","97 - ___________ _____ ______ _______ ________ ____ ______ _______ ____ ___________ ____ ____________ ________________ ___ ______ ___________ ____ ___________ ____ ______ ___________ ____ __________ ____________ ____ ________ ___________ _____: ___ _________ ____ ____________ ____ _________ ____________ ___ ______ _______ _______ _____ _____ ________ ___ _________ ____ _________ ____ ________ _____: (________ ___ ____________):"
"""Verily, when the scholar doesn't act on his knowledge, his admonition slides off from the hearts just as the drops of rain slide off from the stone.""",«_____ __________ _____ ____ ________ __________ _______ ____________ ____ __________ _____ _______ _________ ____ ________»
[98] Abu Sa'eed Al-Hasan bin Muhammad bin 'Abdillaah bin Hasanwaih Al- Asbahaanee informed us: Ahmad bin Ja'far bin Mu'bad As-Simsaar narrated to us: Abu Bakr bin An-Nu'maan narrated to us: Zayd bin 'Awf narrated to us: Ja'far bin Sulaymaan narrated to us that Maalik bin Deenaar said:,"98 - ___________ _____ _______ _________ ____ _________ ____ ______ _______ ____ ____________ __________________ ___ ________ ____ ________ ____ ________ _____________ ___ _____ ______ ____ _____________ ___ ______ ____ _______ ___ ________ ____ ____________ ____ _______ ____ _________ _____:"
"""The scholar that doesn't act on his knowledge is like a stone that when raindrops fall on it, they slide off.""",«__________ _______ ___ ________ __________ ____________ ________ _____ ______ ________ _________ ______ ______»
"[99] Abdul-Husayn Muhammad bin 'Abdil-Waahid bin 'Alee Al-Bazaaz informed us, saying: Abul-Qaasim 'Umar bin Muhammad bin Sayf, the Scribe, recited to us, saying: Muhammad bin Al-'Abbaas Al-Yazeedee recited to us, saying: Abul-Fadl Ar- Riyaashee recited the following poetic verses to us:","99 - ___________ _____ ___________ _________ ____ ______ __________ ____ _______ ___________ _____: ___________ _____ __________ ______ ____ _________ ____ ______ __________ _____: ___________ _________ ____ ___________ _____________ _____: ___________ _____ _________ _____________:
[_:63]"
"""An individual that conveys knowledge and doesn't act on it
Thus refraining from the corruption of desires, is not knowledgeable
Until he acts upon what he has knowledge of
By doing righteous deeds, for then he would be free of blame
Very rarely do you find a person who is upon correctness
Whose actions are those that are not in accordance with the truth.""","___ ____ _____ ________ ______ ________ ____ ... _________ ____ ______ _________ _________
______ _______ _____ _________ ________ ... ____ _______ _________ ______ _______
____________ _______ _________ _______ ... ___________ _________ ______ _______"
"The Disapproval of Seeking Knowledge in order to Compete and Debate with Others, to Fulfil Personal Goals, and to Receive Compensation from it","_____ _____ ______ _________ ______________ _____ _______________ _____ ________ _____________ ________ ____________ ________"
"[100] Al-Hasan bin Abee Bakr informed us, saying: Abu Sahl Ahmad bin Muhammad bin 'Abdillaah bin Ziyaad Al-Qattaan informed us: Muhammad bin Ghaalib bin Harb narrated to us: Bishr bin 'Ubayd Ad-Daarimee narrated to us: Muhammad bin Saleem narrated to us from 'Ataa bin As-Saa'ib from 'Abdur-Rahmaan bin Yazeed from his father that Hudhaifah said: I heard the Messenger of Allaah say:","100 - ___________ _________ ____ _____ _______ _____: ________ _____ ______ ________ ____ _________ ____ ______ _______ ____ _______ ____________ ___ _________ ____ _______ ____ _______ ___ ______ ____ ________ ______________ ___ _________ ____ _________ ____ _______ ____ ___________ ____ ______ ___________ ____ ________ ____ ________ ____ ___________ _____: ________ _______ _______ ______ _____ ________ _________ _______:"
"""Whoever seeks knowledge in order to compete with the scholars or to debate with the foolish or so that people's faces can turn towards him, he will have the Hellfire because of his knowledge.""","«____ ______ _________ ___________ ____ _____________ ____ _________ ____ _____________ ____ ________ _______ _________ ______ ____ ________ ________»"
"[101] Abul-Hasan 'Alee bin 'Abdil-'Azeez At-Taahiree informed us, saying: Abu Bahr Muhammad bin Al-Hasan bin Kawthar informed us: Muhammad bin Yoonus narrated to us: Abu Yoosuf Ya'qoob bin Al-Qaasim At-Talhee narrated to us: 'Uthmaan bin Matr narrated to us: Abu Haashim Ar-Ramaa'ee narrated to us that Anas bin Maalik said: The Messenger of Allaah said:","101 - ___________ _____ _________ _______ ____ ______ __________ ______________ _____: ________ _____ ______ _________ ____ _________ ____ _________ ___ _________ ____ ________ ___ _____ _______ _________ ____ __________ _____________ ___ _________ ____ _______ ___ _____ _______ ______________ ____ ______ ____ ________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Whoever seeks knowledge in order to debate with the foolish or to outnumber the scholars or to turn the people's faces towards him, then let him find his seat in the Hellfire.""","«____ ______ _________ ___________ ____ _____________ ____ _________ ____ _____________ ____ ________ ____ _______ ________ ________ _______________ __________ ____ ________»"
"[102] Abul-Hasan Muhammad bin Ahmad bin Rizq informed us, saying: Abu 'Umar, the Ascetic, Muhammad bin 'Abdil-Waahid informed us, saying: Ahmad bin Ziyaad Al-Bazaar narrated to us: Suraij bin An-Nu'maan narrated to us: Fulaih, i.e. Ibn Sulaymaan, narrated to us from Abu Tawaalah from Sa'eed bin Yasaar that Abu Hurairah said: The Messenger of Allaah said:","102 - ___________ _____ _________ _________ ____ ________ ____ _______ _____: _____ _____ ______ __________ _________ ____ ______ ___________ _____: ___ ________ ____ _______ ____________ ___ ________ ____ _____________ ___ ________ _______ _____ ____________ ____ _____ __________ ____ _______ ____ ________ ____ _____ ___________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Whoever acquires knowledge - by which the face of Allaah is sought-not learning it except to achieve some worldly gain will not perceive the fragrance of Paradise on the Day of Judgement.""","«____ _________ _______ _________» _______: ____ ______ _______ «___ _____________ ______ _________ ____ _______ ____ __________ ____ ______ ______ __________ ______ ____________» _______ ________"""
"[103] Abu Bakr Muhammad bin 'Abdil-Malik bin Muhammad bin 'Abdillaah bin Bishraan Al-Qurshee informed us, saying: Abul-Fadl 'Ubaydullaah bin 'Abdir- Rahmaan Az-Zuhree informed us, saying: 'Alee bin Al-Muhsin At-Tanookhee reported to us, saying: 'Abdullaah bin Ahmad bin Maahbradh Al-Asbahaanee narrated
to us, saying: 'Abdullaah narrated to us, saying: Az-Zuhree said: Ahmad bin 'Abdillaah bin Shaaboor informed us: Abu Nu'aim Al-Halabee narrated to us: Mukhlid bin Al-Husayn narrated to us, saying: Hishaam bin Hassaan narrated to us, saying: I heard Al-Hasan say:","103 - ___________ _____ ______ _________ ____ ______ _________ ____ _________ ____ ______ _______ ____ _________ _____________ _____: ________ _____ _________ ________ _______ ____ ______ ___________ _____________ _________ _______ ____ ___________ ______________ _____: ___ ______ _______ ____ ________ ____ ___________ __________________ _____ ______ _______: ___________ _______ ____________: ___________ ________ ____ ______ _______ ____ _________ ___ _____ ________ _____________ ___ ________ ____ ____________ _____: ________ _______ ____ _________ _____: ________ __________ _______:"
"""Whoever seeks knowledge, desiring by it the Hereafter, will attain it (i.e. Paradise). And whoever seeks knowledge, desiring by it the worldly life, that (i.e. worldly life) will be his share from it."" Az-Zuhree said: ""Meaning: That is his portion from it.""",«____ ______ _________ __________ __________ ___________ ______ ______ _________ __________ __________ ______ _______ ______» _______ ____________: _______ _______ _______
"[104] Abu Muhammad Al-Hasan bin Ahmad Al-Harbee, the Khateeb, informed us, saying: Ahmad bin Ja'far bin Hamdaan informed us that Al'Abbaas bin Yoosuf Ash- Shaklee narrated to us: Muhammad bin Maahaan narrated to us: Muhammad bin Yazeed bin Khunais narrated to us, saying: I heard Wuhaib bin Al-Warad say: The parable of an evil scholar was given, so it was said:","104 - ___________ _____ _________ _________ ____ ________ ____________ ___________ _____: _____ ________ ____ ________ ____ __________ _____ ___________ ____ _______ _____________ ____________ _____ _________ ____ _________ __ _________ ____ _______ ____ ________ [_:67]_ _____: ________ ________ ____ __________ _______:"
"""The example of an evil scholar is like that of a large rock that was pushed into an irrigation canal. So it neither absorbs the water nor does it allow it to pass in order to bring life to the trees. And if only the scholars of evil were to be sincere to Allaah with regard to His servants by saying: 'O servants of Allaah! Listen to what we will inform you from your Prophet and the pious amongst your predecessors, then act upon it and do not look at our worthless actions, for we are afflicted people', they would have truly been sincere to Allaah in advising His servants. However, they only desire to call the servants of Allaah to their vile actions, thus causing them to commit them along with them.""","“______ ______ _______ ________ _______: ______ __________ ________ ________ ______ ______ ___ __________ _____ ____ ________ ____ _________ _____ ____ ________ ____ ________ _________ ____ __________ ______ _____ _________ ________ ________ _______ ___ _________ _________: ___ _______ _______ _________ ___ ____________ ____ ____ ___________ _________ __________ ___________ _____ _____ __________ _____ ____________ ______ ___________ ________ ______ _____________ _______ ____ ________ ______ ___ _________ _____________ __________ ____ ________ _______ _______ _____ _____________ ____________ ____________ ________ ______"""
"[105] Abul-Qaasim 'Alee bin Muhammad bin 'Alee Al-Iyaadee informed us: Abu Bakr Muhammad bin 'Abdillaah bin Saalih Al-Abharee narrated to us: 'Uthmaan bin 'Alee narrated to us: 'Abdur-Rahmaan bin Muhammad Ash-Shaamee narrated to us: Ishaaq bin Moosaa Al-Ansaaree narrated to us, saying: I heard Ibn 'Uyainah say: 'Eesaa (bin Maryam), peace be on him, said:","105 - ___________ _____ __________ _______ ____ _________ ____ _______ _____________ __ _____ ______ _________ ____ ______ _______ ____ _______ _______________ ___ _________ ____ ________ __ ______ ___________ ____ _________ ____________ __ _________ ____ ______ ________________ _____: ________ _____ ___________ _______:"
"""O Scholars of evil! You have put the worldly life at the top of your heads and the Hereafter below your feet. Your speech is a cure, but your actions are a disease. Your example is like that of a Diflee (i.e. Oleander tree) - it pleases the one who looks at it but kills the one who eats from it.""","«_____ ______ ________ __________» : «___ _________ ________ __________ __________ _____ ___________ ____________ ______ ______________ __________ _______ ____________ _____ __________ ______ ________ __________ ________ ____ _______ __________ ____ _________»"
"[106] Al-Hasan bin 'Alee Al-Jawharee informed us, saying: Muhammad bin 'Imraan bin Moosaa Al-Marzabaanee reported to us: Ahmad bin Muhammad bin 'Eesaa Al- Makkee narrated to us: Muhammad bin Al-Qaasim bin Khalaad narrated to us: 'Abdul-Ghafoor bin 'Abdil-'Azeez narrated to us from his father from Wahb bin Munabbih that 'Eesaa bin Maryam, peace be on him, said:","106 - ___________ _________ ____ _______ _______________ _____: ________ _________ ____ _________ ____ ______ __________________ ___ ________ ____ _________ ____ ______ ____________ ___ _________ ____ __________ ____ _________ __ ______ __________ ____ ______ ___________ ____ ________ ____ ______ ____ __________ «_____ ______ ____ _________ ________ __________» _____:"
"""Woe to you, O worshippers of the worldly life! To what avail is the vastness of the sun's light to a blind man if he is not able to see it? Likewise, it is of no avail to a scholar to have much knowledge if he does not act upon it. How numerous are the fruits of the tree, yet not all of them are useful or eaten. And how numerous are the scholars yet not all of you implements what he knows.","“__________ ___ _______ ___________ ______ _______ ____ __________ ______ _____ __________ ______ ___ ___________ ________ ___ _______ ____ __________ ________ ________ _____ ____ ________ _____ ___ ________ _________ _________ ________ ________ ________ _____ _________ _____ ________ ____________ ________ _________ __________ _____ ______"
"So guard yourselves from the deceitful scholars - those who wear garments of wool and have their heads bowed down to the floor, squinting from under their veils, just as the flies gaze. Their statements are in opposition to their actions. Who can produce harvest from thorny grapes and from colcynth dates?","_____________ ____ ____________ ___________ _________ __________ _______ ________ ____________ ___________ _____ _________ ___________ ____ ______ ______________ _____ ________ ___________ __________ _________ ___________ ____ _________ ____ _________ _________ ______ ___________ __________"
"Likewise, the statement of the dishonest scholar produces nothing but falsehood. Verily, when the camel is not fastened to the earth by its owner, it will take off to its homeland and place of origin. And verily when knowledge is not practiced by its possessor, it leaves from his heart, frees itself from him and neglects him. And indeed crops are no good unless it has water and soil. Such is the case with Eemaan - it is no good unless it is accompanied by knowledge and action.","________ ___ ________ ______ __________ ___________ ______ _______ _____ __________ _____ ____ _________ _________ ___ ____________ ______ _____ ________ ___________ _______ _________ _____ ____ ________ ____ _________ ______ ____ _________ __________ _______ ____________ _______ _________ ___ ________ ______ __________ _____________ ________ ___ ________ ___________ ______ ___________ ____________"
"Woe to you, O worshippers of the worldly life! Indeed, everything has a sign by which it is recognized and which serves as a witness for it or against it. And indeed the Religion has three signs by which it is recognized, and they are: Faith, Knowledge and Action.”","__________ ___ _______ __________: _____ _______ ______ _________ ________ _____ __________ ____ ____ ________ _______ __________ _______ __________ ________ _______ ___________ ___________ ___________"""
"The Warning, Threat and Severe Caution against those Who Recite the Qur’aan to Gain Repute and Fame and Not in Order to Act on it and Gain Reward",_____ ___ _____ ____ __________ ______________ ______________ ______ ______ __________ __________ ___________ ______ __________ __________ ____ ____________ _________
"[107] Abul-Hasan 'Alee bin Ahmad bin 'Umar Al-Muqree informed us: Muhammad bin Al-'Abbaas bin Al-Fadl, the food owner, reported to us in Mawsil: Muhammad bin Ahmad bin Abil-Mathnaa narrated to us: Ja'far bin 'Awn and 'Abdul-Wahhaab, i.e. Ibn 'Ataa, both said: 'Abdul-Malik bin 'Abdil-'Azeez bin Juraij reported to us, saying: Yoonus bin Yoosuf informed me that Sulaymaan bin Yasaar said:","107 - ___________ _____ _________ _______ ____ ________ ____ ______ ___________ ___ _________ ____ ___________ ____ __________ _______ __________ ______________ ___ _________ ____ ________ ____ _____ ____________ ___ ________ ____ _______ ________ ___________ _______ _____ ________ ______: ________ ______ _________ ____ ______ __________ ____ ________ _____ ___________ _______ ____ ________ ____ ___________ ____ ________ _____:"
"""The people once parted from the company of Abu Hurairah, so Naatil, one of the people of Shaam, (stayed behind and) said to him: 'O Abu Hurairah! Narrate to us a hadeeth that you heard from the Messenger of Allaah. So he said: I heard the Messenger of Allaah say: ’The first of mankind to be judged on the Day of Judgement will be a man whom Allaah will bring forward, and whom He will remind of the favours He bestowed on him until he acknowledges them. Then He will say: ’What did you do for it?’ The man will say: I fought (in battle) in Your Cause until I was martyred so Allaah will say: ’You have lied! You only wanted that it be said (about you): He is a brave man, and such was said (about you).’ Then He will put someone in charge of him and he will be dragged on his face until he is thrown into the Hellfire.","_________ ________ ____ _____ ___________ _______ ____ _______ _____ ______ ________: ___ _____ __________ __________ _________ __________ ____ _______ _______ ______ _____ ________ _________ _______: ________ _______ _______ ______ _____ ________ _________ _______: _______ ________ _______ _____ ______ ____________ ______ _____ ____ ________ ___________ ________ ____________ _______: ___ ________ _______ _______: _________ ___ _________ ______ ______________ _____: _________ ________ ________ ____ _______: _______ ________ ______ _____ ________ ____ ________ _____ [_:70] ________ ______ ________ ___ _________"
Then a man who used to acquire knowledge and learn the Qur’aan will be brought forward by Allaah and He will remind him of the favours He bestowed on him until he acknowledges them. Then He will say: ’What did you do for it?’ He will say: T acquired knowledge and read the Qur’aan and taught it to others for Your sake.’ So He will say: ’You have lied! You only wanted that it be said (about you): He is knowledgeable and a good reciter.’ Then He will put someone in charge of him and he will be dragged on his face until he is thrown into the Hellfire.,"________ _________ _________ ____________ _______ ____ _______ ___________ ________ ____________ _______: ___ ________ _______ _____: ___________ _________ __________ __________ _____________ ______ _______: _________ ________ ________ ____ _______: _______ ________ _________ ________ ________ ____ ________ _____ ________ ______ ________ ___ _________"
"And then Allaah will bring forward a man who was given large portions of wealth, and He will remind him of the favours He bestowed on him until he acknowledges them. So He will then say: ’What did you do for it?’ The man will say: I did not leave any avenue You would love that charity be given in, except that I gave money in it for Your sake.’ So He will say: ’You have lied! You only wanted that it be said (about you): He is a generous man, and such was said (about you). Then He will put someone in charge of him and he will be dragged on his face until he is thrown into the Hellfire.’""","________ _______ _______ ____ _________ _________ _______ ____ _______ ___________ ________ ____________ _______ ___ ________ _______ _______: ___ ________ ______ ________ __________ ____ _______ _______ ____ ________ _____ ______ __________ _____ _____ _____: ________ ________ ________ ____ _______: _______ ________ ______ _____ ________ ____ ________ _____ ________ ______ ________ ___ ________"""
"[108] Abul-Husayn 'Alee bin Muhammad bin 'Abdillaah bin Bishraan Al-Mu'adal informed us, saying: Ismaa'eel bin Muhammad bin Ismaa'eel As-Safaar reported to us: Muhammad bin 'Ubaydillaah bin Al-Manaadee narrated to us: Abu Badr narrated to us: 'Amr bin Qays narrated to us that Al-Hasan said:","108 - ___________ _____ ___________ _______ ____ _________ ____ ______ _______ ____ _________ _____________ _____: ________ ____________ ____ _________ ____ ____________ ____________ ___ _________ ____ ________ _______ ____ ____________ __ _____ _______ __ _______ ____ _______ ____ __________ _____:"
"""Verily, this Qur'aan is learned by servants and young children who do not approach it from its front side, nor do they have knowledge of the interpretation of its meanings. Allaah, the Most High, says: 'This is a Book (which) We have sent down to you, full of blessings, that they may ponder over its verses.' [Surah Saad: 29]","“_______ _________ _____ __________ _______ ___________ ____ _________ ____ ______ ________ _____ _________ ___ ____________ _____ _______ ________ {_______ _____________ ________ _________ ______________ ________} [_: 29] ___ _________ _________ [_:71]"
"What does pondering over its verses mean? It means following it through actions. And verily, the people with the most right to this Qur'aan are those who follow it even if they don't recite it. One of them says: 'O so and so, come here, I will teach you how to recite! When did the reciters ever do this? They are not the reciters, nor are they the forbearing, nor the wise. May Allaah not increase their likes amongst the people!""","___________ ___________ _______ _______ ________ _______ __________ ____ ___________ ______ ____ ______ __________ _______ __________ ___ _______ _______ ___________ _____ _______ ___________ ________ ______ ___ ____ _____________ _____ ____________ _____ ____________ ___ ________ _______ ___ ________ _____________ """
"[109] Muhammad bin Al-Husayn Al-Qattaan informed us: Di'laj bin Ahmad informed us: Muhammad bin 'Alee bin Zayd As-Saa'igh narrated to us that Sa'eed bin Mansoor narrated to them: Hudaij, i.e. Ibn Mu'aawiyah, narrated to us that Abu Ishaaq said: 'Umar bin Al-Khattaab said:","109 - ___________ _________ ____ ___________ ____________ ________ ________ ____ _________ __ _________ ____ _______ ____ ______ ___________ _____ _______ ____ _________ ____________ ___ ________ _______ _____ ____________ ____ _____ __________ _____: _____ ______ ____ ____________:"
"""Do not be fooled by the one who recites the Qur'aan for that is only words that we utter. Rather, look at the one who acts upon it.”","«___ ______________ ____ ______ ___________ ________ ____ _______ ___________ _____ ________ _________ ____ ________ ____»"
What has been Stated concerning Memorizing Its Letters yet Neglecting its Commandments,_____ ___ _____ ___ ______ _________ ___________ _________
"[110] Abul-Qaasim 'Ubaydullaah bin Muhammad bin 'Ubaydillaah An-Najjaar informed us, saying: Abul-Husayn Muhammad bin Al-Mudhfar bin Moosaa, the Haafidh, reported to us: Muhammad bin Ahmad bin Al-Haytham narrated to us: Maalik bin 'Abdillaah bin Sayf narrated to us: 'Alee bin Al-Husayn narrated to us: 'Umar bin As-Subh narrated to us from Yoonus bin 'Ubayd from Al-Hasan that Abu Hurairah said: The Messenger of Allaah said:","110 - ___________ _____ __________ ________ _______ ____ _________ ____ ________ _______ ____________ _____: ________ _____ ___________ _________ ____ ____________ ____ ______ ___________ __ _________ ____ ________ ____ ____________ __ _______ ____ ______ _______ ____ _______ ___ _______ ____ ____________ ___ ______ ____ __________ ____ _______ ____ _________ ____ __________ ____ _____ ___________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""The Qur'aan should never be recited by one who doesn't act on it.”",«____ ________ __________ ____ ____ ________ ____»
"[111] Abul-Qaasim 'Abdul-'Azeez bin Muhammad bin Ja'far Al-'Attaar and Al-Hasan bin Abee Bakr bin Shaadhaan both narrated to us: 'Abdul-'Azeez said: Al-Hasan said: 'Uthmaan bin Ahmad bin 'Abdillaah Ad-Daqaaq informed us: Muhammad bin Ghaalib bin Harb Zaad 'Abdul-'Azeez Ad-Dubbee narrated to us, saying: Muslim bin Ibraaheem narrated to us: Sadaqah bin Moosaa and Al-Hasan bin Abee Ja'far both said: Maalik bin Deenaar narrated to us from Thamaamah bin 'Abdillaah that Anas bin Maalik said: The Messenger of Allaah said:","111 - ___________ _____ __________ ______ __________ ____ _________ ____ ________ ____________ ___________ ____ _____ ______ ____ _________ _____ ______ __________ ____ _______ __________: ___________ _________ ____ ________ ____ ______ _______ ____________ ___ _________ [_:73] ____ _______ ____ _______ _____ ______ __________ ___________ _____: ___________ _____ _________ _____ _________ ________ ________ ____ _____________ ___ ________ ____ _______ ___________ ____ _____ _________ ______: ___ _______ ____ _________ ____ _________ ____ ______ ________ ____ ______ ____ ________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""On the night that I was ascended up to the heavens, I came upon a people whose lips were being cut off by pliers made from Fire. Every time their lips were severed, they would be brought back and formed again. So I said: 'O Jibreel, who are these people?' He said: 'They are speakers from your nation, who say words but do not do deeds, and who read the Book of Allaah yet do not act (on it).""","“________ ________ ________ ___ _____ ______ ________ ___________ ____________ ____ ______ ________ ________ _______ ________: ___ _________ ____ __________ _____: _________ ____ _________ _________ __________ _____ ____________ _____________ _______ _______ _____ ___________"""
"[112] Al-Hasan bin Abee Bakr informed us, saying: Ahmad bin Ishaaq bin Minjaab At-Teebee reported to us: Muhammad bin Ayoob Al-Bajlee narrated to us, saying: Abu Bakr, i.e. Ibn Abee Shaybah, reported to us: 'Abdullaah bin Numair narrated to us: Muhammad bin Ishaaq narrated to us from 'Amr bin Shu'ayb from his father from his grandfather, who said: I heard the Messenger of Allaah say:","112 - ___________ _________ ____ _____ _______ _____: ________ ________ ____ _________ ____ _________ ____________ ___ _________ ____ ________ _____________ _____: ________ _____ ______ _______ _____ _____ _________ ___ ______ _______ ____ _________ ___ _________ ____ __________ ____ _______ ____ _________ ____ ________ ____ ________ _____: ________ _______ _______ ______ _____ ________ _________ _______:"
"""On the Day of Judgement, the Qur'aan will take the form of a man. So a man who used to carry it yet oppose its commandments will be brought forward. So it will prepare to debate him, and say: 'My Lord, You have made him carry me, so what an evil carrier he was! He transgressed my limits, neglected my obligations, committed the acts of disobedience (mentioned) in me and abandoned the acts of obedience (mentioned) in me.' He will then continue to accuse him with proofs until it is said: 'So do as you like (with him).' Then it will take him by the hand and it will not let go of him until it throws him down on his nose into the Hellfire.","“_________ __________ ______ ____________ _______ _________ ___________ ____ ________ [_:74] _________ ________ ____________ ____ _______ _________: ___ _____ ___________ ________ ________ ________ ________ ________ _________ ___________ ________ ____________ ________ ________ _____ _______ ________ ________ ___________ ______ _______: ___________ __________ ________ _____ __________ ______ _________ _____ __________ ___ _________"
"Then a righteous man will be brought forward, who used to carry it while preserving its commandments. So it will prepare to debate apart from him, and say: 'My Lord, You have made him carry me, so he observed my limits, implemented my obligations, avoided the acts of disobedience (mentioned) in me and abided by the acts of obedience (mentioned) in me.' He will then continue to accuse him with proofs until it is said: 'Do as you like (with him).' So it will take him by the hand and not let go of him until it dresses him in a silk brocade, places upon him a king's crown, and gives him a cup of wine to drink.”","_________ ___________ __________ ____ _____ ________ ________ ________ ____________ _______ _______ _________: ___ _____ ___________ ________ ________ _________ ________ ____________ ___________ ___________ __________ _________ _____ _______ ________ ____ ___________ ______ _______: ________ _____ __________ ________ _____ __________ ______ __________ _______ ________________ __________ ________ _____ _________ ____________ ______ _________ """
"[113] Abul-Hasan Muhammad bin Ahmad bin Muhammad bin Ahmad bin Rizq Al- Bazaaz and Abul-Husayn 'Alee bin Muhammad bin 'Abdillaah Al-Mu'adal both informed us, saying: Abu 'Alee Ismaa'eel bin Muhammad bin Ismaa'eel As-Safaar reported to us: Abu Yahyaa Zakariyaa bin Yahyaa bin Asad Al-Marwazee narrated to us that...
The Judge, Abu Bakr Ahmad bin Al-Hasan bin Ahmad Al-Hirshee reported to us: Abul-'Abbaas Muhammad bin Ya'qoob Al-Asam narrated to us: Zakariyaa bin Yahyaa Al-Marwazee narrated to us that... Ma'roof Al-Kurkhee said: Bakr bin Khunais said:","113 - ___________ _____ _________ _________ ____ ________ ____ _________ ____ ________ ____ ______ ____________ _______ ___________ _______ ____ _________ ____ ______ _______ _____________ ______: ________ _____ _______ ____________ ____ _________ ____ ____________ ____________ ___ _____ _______ __________ ____ _______ ____ ______ _____________ _ _________ _________ _____ ______ ________ ____ _________ ____ ________ _____________ ___ _____ ___________ _________ ____ _________ ___________ ___ __________ ____ _______ _______________ ___ _________ _____________ _____: _____ ______ ____ ________ [_:75]_:"
