ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"Question. Some of the Mu’tazilah and the Jahmiyyah and the Haruriyyah have said that God’s words “The Merciful is seated on the Throne” mean that He has the mastery and reigns and exercises power, and that God is in every place, and they deny that God is on His Throne, as the true believers say, and hold the opinion, regarding God’s being seated, that it is God’s power.",فصل
,"وقد قال قائلون من المعتزلة والجهمية والحرورية: إن معنى قول الله تعالى: (الرحمن على العرش استوى) (5 /20) أنه استولى وملك وقهر، وأن الله تعالى في كل مكان، وجحدوا أن يكون الله عز وجل مستو على عرشه، كما قال أهل الحق، وذهبوا في الاستواء إلى القدرة."
"But, if this were as they put it, there would be no difference between the Throne and the earth; for God has power over the earth and over gardens and over everything in the world;","ولو كان هذا كما ذكروه كان لا فرق بين العرش والأرض السابعة؛ لأن الله تعالى قادر على كل شيء والأرض لله سبحانه قادر عليها، وعلى الحشوش، وعلى كل ما في العالم،"
"and, therefore, if God were seated on the Throne in the sense of having the mastery, since He has the mastery over all things, He would certainly be seated on the Throne and on the earth and on heaven and on gardens and on each separate thing, because He has power over created things, possessing the mastery over them.","فلو كان الله مستويا على العرش بمعنى الاستيلاء، وهو تعالى مستو على الأشياء كلها لكان مستويا على العرش، وعلى الأرض، وعلى السماء، وعلى الحشوش، والأقدار؛ لأنه قادر على الأشياء مستول عليها،"
"But, since He has power over all things, and no Muslim regards it as right to say that God is seated on the gardens and on the waste, God’s being seated on the Throne cannot mean His having the mastery that is common to all things; and it is necessarily true that its meaning is a being seated that belongs particularly to the Throne and not to all things.","وإذا كان قادرا على الأشياء كلها لم يجز عند أحد من المسلمين أن يقول إن الله تعالى مستو على الحشوش والأخلية، تعالى الله عن ذلك علوا كبيرا، لم يجز أن يكون الاستواء على العرش الاستيلاء الذي هو عام في الأشياء كلها، ووجب أن يكون معنى الاستواء يختص بالعرش دون الأشياء كلها."
But the Mu'tazilah and the Haruriyyah and the Jahmiyyah think that God is in every place; and so they are compelled to admit that He is in the womb of Mary and in gardens and the waste; and this is contrary to the Religion. May God be exalted above their belief!,"وزعمت المعتزلة والحرورية والجهمية أن الله تعالى في كل مكان، فلزمهم أنه في بطن مريم وفي الحشوش والأخلية، وهذا خلاف الدين. تعالى الله عن قولهم علوا كبيرا."
"Answer. It may be said to them: If He is not seated on the Throne (in the sense of the Throne particularly, and not anything else, as the scholars and the atar traditionists and those who relate the ahbar say), but is in every place, then He is under the earth, over which the heaven is; and if He is under the earth and the earth above Him and the heaven above the earth, then this compels you to believe that God is under the depth, and created things are above Him, and that He is above the height, and created things are below Him; and if this is true He must be under that above which He is and above that under which He is, and this is impossible and self-contradictory. May God be very far above your calumny against Him!",مسألة:
,"ويقال لهم: إذا لم يكن مستويا على العرش بمعنى يختص العرش دون غيره، كما قال ذلك أهل العلم، ونقله الأخبار، وحملة الآثار، وكان الله عز وجل في كل مكان فهو تحت الأرض التي السماء فوقها، وإذا كان تحت الأرض والأرض فوقه، والسماء فوق الأرض وفي هذا ما يلزمكم أن تقولوا إن الله تحت التحت، والأشياء فوقه، وأنه فوق الفوق والأشياء تحته، وفي هذا ما يجب أنه تحت ما هو فوقه، وفوق ما هو تحته، وهذا هو المحال المتناقض، تعالى الله عن ذلك علوا كبيرا."
"Another proof. Among the things that make it certain that God is seated upon His Throne, and not upon all created things, is the tradition quoted by the traditionists on the authority of the Apostle of God.","دليل آخر: ومما يؤكد أن الله عز وجل مستو على عرشه دون الأشياء كلها، ما نقله أهل الرواية عن رسول الله صلى الله عليه وسلم."
"'Affan relates it on the authority of Hammad ibn Salamah, who said, 'Amr ibn Dinar told us, on the authority of Nafi' ibn Jubayr, and he on the authority of his father, that the Prophet said, “God descends every night to the lower heaven and says, ‘ Is there any who has a request? and I will grant it him. Is there any who asks forgiveness? and I will forgive him,’—until the dawn arrives.”","روى عفان، قال: ثنا حماد بن سلمة، قال: حدثنا عمرو بن دينار، عن نافع، عن جبير، عن أبيه رضي الله عنهم أجمعين، أن النبي صلى الله عليه وسلم قال: (ينزل ربنا عز وجل كل ليلة إلى السماء الدنيا فيقول: هل من سائل فأعطيه؟ هل من مستغفر فأغفر له؟ حتى يطلع الفجر)."
"‘Abdallah ibn Bakr relates the following tradition: Hisam ibn Abi 'Abdallah told us, on the authority of Yahya ibn Abi Katir, and he on the authority of Abu Jafar, that he heard Abu Ja'far say that he had heard Abu Hurayrah say, The Apostle of God said, “When a third of the night remains, God descends and says, ‘ Who is there that prays to Me? and I will answer him. Who is there that asks to be shielded from harm? and I will shield him from it. Who is there that asks Me to supply his needs? and I will supply them for him,’—until the dawn breaks.”","روى عبيد الله بن بكر قال: ثنا هشام بن أبي عبد الله، عن يحيى بن كثير، عن أبي جعفر، أنه سمع أبا حفص يحدث أنه سمع أبا هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (إذا بقى ثلث الليل ينزل الله تبارك وتعالى فيقول: من ذا الذي يدعوني فأستجيب له؟ من ذا الذي يستكشف الضر فأكشفه عنه؟ من ذا الذي يسترزقني فأرزقه؟ حتى ينفجر الفجر)."
"The following tradition is related on the authority of 'Abdallah ibn Bakr as-Sahmi: Hisam ibn Abi 'Abdallah told us, on the authority of Yahya ibn Abi Katir, and he on the authority of Hilal ibn Abi Maymunah, who said, 'Ata’ ibn Yasar told us that Rifa'ah al-Juhani had told him, We were making the journey home to Mecca with God’s Apostle, and, when we arrived at al-Kudayd, (or else he said, al-Qudayd), he praised God and extolled Him. Then he said, “When a third of the night has passed”—or else he said, “two-thirds of the night”—“God descends to the heaven and says, ‘Who is there that prays to Me, that I may answer him? Who is there that asks forgiveness of Me, that I may forgive him? Who is there that has a request to make of Me, that I may grant it him? ’—until the dawn breaks.”","وروى عبد الله بن بكر السهمي، قال: ثنا هشام بن أبي عبد الله عن يحيى بن كثير، عن هلال بن أبي ميمونة، قال: ثنا عطاء بن يسار أن رفاعة الجهني حدثه قال: فكنا مع رسول الله صلى الله عليه وسلم حتى إذا كفا بالكديد - أو قال بقديد - حمد الله وأثنى عليه، ثم قال: (إذا مضى ثلث الليل - أو قال ثلثا الليل - نزل الله عز وجل إلى السماء، فيقول: من ذا الذي يدعوني أستجيب له؟ من ذا الذي يستغفرني أغفر له؟ من ذا الذي يسألني أعطيه؟ حتى ينفجر الفجر) نزولا يليق بذاته من غير حركة وانتقال، تعالى الله عن ذلك علوا كبيرا."
"Another proof. God has said, “they fe^r their Lord who is above them;” and, “the angels and the Spirit ascend to Him;” and, “then He applied Himself to the heaven, which then was but smoke;” and, “then mounted His Throne.... Ask now of the wise concerning Him;” and, “then ascended His Throne. Save Him ye have no patron, and no intercessor.” Therefore, all that proves that God is in heaven, seated upon His Throne. Now, by unanimous consent, heaven is not the earth; and therefore this is a proof that God is unique in His oneness, seated upon His Throne.","دليل آخر: قال الله تعالى: (يخافون ربهم من فوقهم) من الآية (50 /16)، وقال تعالى: (تعرج الملائكة والروح إليه) من الآية (4 /70)، وقال تعالى: (ثم استوى إلى السماء وهي دخان) من الآية (11 /41)، وقال تعالى: (ثم استوى على العرش الرحمن فاسأل به خبيرا) من الآية (59 /25)، وقال تعالى: (ثم استوى على العرش مالكم من ولي ولا شفيع) (4 /32)، فكل ذلك يدل على أنه تعالى في السماء مستو على عرشه، والسماء بإجماع الناس ليست الأرض، فدل على أنه تعالى منفرد بوحدانيته، مستو على عرشه استواء منزها عن الحلول والاتحاد."
"Another proof. God has said, “and thy Lord shall come and the angels rank on rank;” and, “What can such expect but that God should come down to them overshadowed with clouds?;” and, “then came He nearer and approached, and was at the distance of two bows, or even closer, and He revealed to His servant what He revealed. His heart falsified not what he saw. What! will ye then dispute with him as to what he saw?,” to His words “for he saw the greatest of the signs of his Lord.” God also said to 'Isa ibn Maryam, “verily, I will cause thee to die, and will take thee up to Myself;” and He has said, “they did not really slay him, but God took him up to Himself;”","دليل آخر: قال الله تعالى: (وجاء ربك والملك صفا صفا) (22 /89)، وقال تعالى: (هل ينظرون إلا أن يأتيهم الله في ظلل من الغمام والملائكة) من الآية (210 /2)، وقال: (ثم دنا فتدلى فكان قاب قوسين أو أدنى فأوحى إلى عبده ما أوحى ما كذب الفؤاد ما رأى أفتمارونه على ما يرى ولقد رآه نزلة أخرى) (8 - 13 /53) إلى قوله: (لقد رأى من آيات ربه الكبرى) (18 /53)، وقال تعالى لعيسى ابن مريم عليه السلام: (إني متوفيك ورافعك إليّ)، وقال تعالى: (وما قتلوه يقينا بل رفعه الله إليه) من الآية (158 /4)، "
"and the Community agree unanimously that God raised ‘Isa to heaven. Also one of the common prayers of the people of Islam, when they supplicate God concerning the thing that descends upon them, is their saying together, “O Dweller upon the Throne!;” and one of their common oaths is “Nay, by Him who is veiled by seven heavens!”","وأجمعت الأمة على أن الله سبحانه رفع عيسى صلى الله عليه وسلم إلى السماء، ومن دعاء أهل الإسلام جميعا إذا هم رغبوا إلى الله تعالى في الأمر النازل بهم يقولون جميعا: يا ساكن السماء، ومن حلفهم جميعا: لا والذي احتجب بسبع سماوات."
"Another proof. God has said, “It is not for mortal man that God should speak with him but by vision, or from behind a veil; or, He sendeth a messenger to reveal, by His permission, what He wishes;” and the verse speaks of man particularly, and not of other, non-human creatures.","دليل آخر: قال الله عز وجل: (وما كان لبشر أن يكلمه الله إلا وحيا أو من وراء حجاب أو يرسل رسولا فيوحي بإذنه ما يشاء) من الآية (51 /42)، وقد خصت الآية الشريفة البشر دون غيرهم ممن ليس من جنس البشر، "
,
"If the verse were equally applicable to man and to other creatures, it would be far removed from ambiguity, and from furnishing an occasion to him who hears it to doubt that He says, “It is not for any creature that God should speak with him but by vision, or from behind a veil; or, He sendeth a messenger...;” but doubt and perplexity are removed by His saying, “It is not for a certain kind of creature that God should speak with him but by vision, or from behind a veil; or, He sendeth a messenger...,” and we leave out of consideration species He does not include, by a general designation, in the verse; wherefore what we have said is a proof that He means man particularly, to the exclusion of other creatures.","ولو كانت الآية عامة للبشر وغيرهم، كان أبعد من الشبهة، وإدخال الشك على من يسمع الآية أن يقول: ما كان لأحد أن يكلمه الله إلا وحيا، أو من وراء حجاب، أو يرسل رسولا، فيرتفع الشك والحيرة من أن يقول: ما كان لجنس من الأجناس أن أكلمه إلا وحيا، أو من وراء حجاب، أو أرسل رسولا، وننزل أجناسا لم يعمهم بالآية فدل ما ذكرنا على أنه خص البشر دون غيرهم."
"Another proof. God has said, “then are they returned to God, their Lord, the True;” and, “But if thou couldest see when they shall be set before their Lord!;” and, “Couldst thou but see when the guilty shall droop their heads before their Lord!;” and, “And they shall be set before thy Lord in ranks.” All that proves that He is not in His creation, and His creation not in Him, and that He is seated upon His Throne. May He be far above the belief of the malefactors!","دليل آخر: قال الله تعالى: (ثم ردوا إلى الله مولاهم الحق) من الآية (62 /6)، وقال: (ولو ترى إذ وقفوا على ربهم) من الآية (30 /6)، وقال: (ولو ترى إذ المجرمون ناكسو رؤوسهم عند ربهم) (12 /32)، وقال عز وجل: (وعرضوا على ربك صفا) من الآية (48 /18)، كل ذلك يدل على أنه تعالى ليس في خلقه، ولا خلقه فيه، وأنه مستو على عرشه سبحانه، بلا كيف ولا استقرار، تعالى الله عما يقول الظالمون والجاحدون علوا كبيرا، "
,
"Therefore they have not established any reality in their predication, nor have those who attempt to prove oneness by discussing their predication, done so; since all their reasoning amounts to ta'til, and all their predications prove rejection. Do you mean by that the assertion of tanzih, and the rejection of tasbih? Then we take refuge in God from a tanzih that necessitates denial or ta'til.","فلم يثبتوا له في وصفهم حقيقة، ولا أوجبوا له بذكرهم إياه وحدانية؛ إذ كل كلامهم يؤول إلى التعطيل، وجميع أوصافهم تدل على النفي، يريدون بذلك التنزيه، ونفي التشبيه على زعمهم، فنعوذ بالله من تنزيه يوجب النفي والتعطيل."
"Another proof. God has said, “God is the light of the heavens and of the earth;” and therefore He called Himself light.","دليل آخر: قال الله تعالى (الله نور السماوات والأرض) من الآية (35 /24) فسمى نفسه نورا، "
,
"Now “light,” according to the Community, must have one of two meanings: it is either light that is heard, or light that is seen.","والنور عند الأمة لا يخلو من أن يكون أحد معنيين: إما أن يكون نورا يسمع، أو نورا يرى."
"But he who thinks that God is heard, and not seen, errs in his rejection of the visibility of his Lord, and his false denial of His Book and the words of His Prophet;","فمن زعم أن الله يسمع ولا يرى فقد أخطأ في نفيه رؤية ربه، وتكذيبه بكتابه، وقول نبيه صلى الله عليه وسلم."
"for the ‘ulama’ relate, on the authority of 'Abdallah ibn 'Abbas, that he said, “Reflect upon the creation of God, but reflect not upon God Himself; there are between His throne and heaven a thousand cubits, and God is above them.”","وروت العلماء عن عبد الله بن عباس رضي الله عنهما أنه قال: (تفكروا في خلق الله ولا تفكروا في الله عز وجل، فإن بين كرسيه إلى السماء ألف عام، والله عز وجل فوق ذلك)."
,
"Another proof. The 'ulama' relate, on the authority of the Prophet, that he said, “Man’s feet shall not leave the presence of God until He questions him regarding his works.”",دليل آخر: وروت العلماء رحمهم الله عن النبي صلى الله عليه وسلم أنه قال: (إن العبد لا تزول قدماه من بين يدي الله عز وجل حتى يسأله عن عمله).
"The 'ulama' relate that a man brought to the Prophet a black slave woman, and said, “O Apostle of God! I desire to free her by way of atonement. Is her liberation lawful?” Then the Prophet said to her,  “Where is God?” She said, “In heaven.” He said, “Who am I?” She said, “The Apostle of God.” The Prophet said, “Free her, for she is a believer.”","وروت العلماء أن رجلا أتى النبي صلى الله عليه وسلم بأمة سوداء فقال: يا رسول الله إني أريد أن أعتقها في كفارة، فهل يجوز عتقها؟ فقال لها النبي صلى الله عليه وسلم: أين الله؟ قالت: في السماء، قال فمن أنا؟ قالت: أنت رسول الله، فقال النبي صلى الله عليه وسلم: أعتقها فإنها مؤمنة."
This proves that God is upon His throne above heaven.,وهذا يدل على أن الله تعالى على عرشه فوق السماء فوقية لا تزيده قربا من العرش.
"Chapter Containing the Kalam Concerning God’s Face, His Eyes, His Sight, and His Hands.",الباب السادس الكلام في الوجه والعينين والبصر واليدين
"God has said, “Everything shall perish except His face;” and He has said, “but the face of thy Lord shall abide resplendent with majesty and glory” (thus He tells us that He has a face that does not disappear, that dissolution does not overtake);","قال الله تبارك وتعالى: (كل شيء هالك إلا وجهه) من الآية (88 /28)، وقال تعالى: (ويبقى وجه ربك ذو الجلال والإكرام) (27 /55)، فأخبر أن له سبحانه وجها لا يفنى، ولا يلحقه الهلاك."
"and He has also said, “Under Our eyes it floated on;” and He has said, “But build the ark under Our eye and after Our revelation” (thus He tells us that He has a face and an eye, unqualified and undefined);","وقال تعالى: (تجرى بأعيننا) من الآية (14 /54)، وقال تعالى: (واصنع الفلك بأعيننا ووحينا) من الآية (37 /11)، فأخبر تعالى أن له وجها وعينا ولا تكيَّف ولا تحد."
"and He has also said, “Wait thou patiently the judgment of thy Lord, for thou art in Our eye;” and He has said, “that thou mightest be reared in Mine eye;” and He has said, “And God heareth, beholdeth;” and He said to Moses and Aaron, “for I am with you both. I will hearken and I will behold;” and therefore He speaks of His hearing and His sight and His visibility.","وقال تعالى: (واصبر لحكم ربك فإنك بأعيننا) من الآية (48 /52)، وقال تعالى: (ولتصنع على عيني) من الآية (39 /20)، وقال تعالى: (وكان الله سميعا بصيرا) من الآية (134 /4)، وقال لموسى وهارون عليهما أفضل الصلاة والسلام: (إنني معكما أسمع وأرى) من الآية (46 /20) فأخبر تعالى عن سمعه وبصره ورؤيته."
"The Jahmiyyah deny that God has a face, as He has said; and they regard as false the doctrine that He has hearing and sight and an eye.",فصل
,"ونفى الجهمية أن يكون لله تعالى وجه كما قال، وأبطلوا أن يكون له سمع وبصر وعين،"
"They agree with the Christians; for the Christians do not believe that God is “hearing, beholding,” except in the sense that He is knowing. The Jahmiyyah hold the same belief;","ووافقوا النصارى؛ لأن النصارى لم تثبت الله سميعا بصيرا إلا على معنى أنه عالم، وكذلك قالت الجهمية، "
"and therefore what they really say is, “We say that God is knowing, but we do not say, ‘hearing, beholding’ in any other sense than ‘knowing ’” (the belief of the Christians is the same).","ففي حقيقة قولهم أنهم قالوا: نقول إن الله عالم، ولا نقول سميع بصير، على غير معنى عالم، وذلك قول النصارى."
"The Jahmiyyah say that God has neither knowledge, nor power, nor hearing, nor sight. The end they have in view is simply a ta'ttl of the unity and a false denial of the names of God.",فصل
,"قالت الجهمية: إن الله لا علم له، ولا قدرة، ولا سمع له، ولا بصر، وإنما قصدوا إلى تعطيل التوحيد، والتكذيب بأسماء الله تعالى،"
"Therefore, they talk about it, but do not carry their beliefs to a logical conclusion. However, if they did not fear the sword, they would certainly say plainly that God is non-hearing and non-seeing and nonknowing; nevertheless, the fear of the sword restrains them from making an open profession of their zandaqah.","فأعطوا ذلك له لفظا، ولم يحصلوا قولهم في المعنى، ولولا أنهم خافوا السيف؛ لأفصحوا بأن الله غير سميع ولا بصير ولا عالم، ولكن خوف السيف منعهم من إظهار زندقتهم."
"A sheikh much esteemed among them thinks that God’s knowledge is God, and that God is knowledge. However, he denies the divine knowledge when he supposes he has asserted its existence, and therefore he is compelled to say, “O Knowledge, forgive me!” (since the knowledge of God, according to him, is God Himself, and God, according to his analogy (qiyas), is knowledge and power). May God be very far above that!",فصل
,"وزعم شيخ منهم نحس مقدم فيهم أن علم الله هو الله، وأن الله سبحانه علم، فنفى العلم من حيث أوهم أنه يثبته، حتى ألزم أن يقول: يا علم اغفر لي؛ إذ كان علم الله عنده هو الله، وكان الله - على قياسه الفاسد - علما وقدرة. تعالى الله عما يقولون علوا كبيرا."
"Abu ’l-Hasan 'Ali ibn Isma'il al-As'arl said, “To God we look for guidance and on Him do we rely; for there is no might or power except in God, and He is the God from whom help is sought. Whosoever questions us and says, ‘ Do you believe God has a face?,’ the answer is: We believe it contrarily to the belief of the innovators; and His words ‘ But the face of thy Lord shall abide resplendent with majesty and glory’ are a proof of it.”","قال الشيخ أبو الحسن علي بن إسماعيل الأشعري رحمه الله ورضى عنه: بالله نستهدي، وإياه نستكفي، ولا حول ولا قوة إلا بالله العلي العظيم، وهو المستعان أما بعد: مسألة:"
,فمن سألنا فقال: أتقولون إن لله سبحانه وجها؟
,"قيل له: نقول ذلك، خلافا لما قاله المبتدعون، وقد دل على ذلك قوله تعالى: (ويبقى وجه ربك ذو الجلال والإكرام) (27 /55)."
"Question. If we are asked, “Do you believe God has two hands?,”",مسألة:
,قد سئلنا أتقولون إن لله يدين؟
"the answer is: We believe it, and His words “the hand of God was over their hands,” and His words “before him whom I have created with My two hands” are a proof of it;","قيل: نقول ذلك بلا كيف، وقد دل عليه قوله تعالى: (يد الله فوق أيديهم) من الآية (10 /48)، وقوله تعالى: (لما خلقت بيدي) من الآية (75 /38)."
"and also, it is related, on the authority of the Prophet, that he said, “God rubbed Adam’s back with His hand and produced from it his offspring,” and therefore the existence of the hand is proved, and the truth of His words “before him whom I have created with My two hands;”","وروي عن النبي صلى الله عليه وسلم أنه قال: (إن الله مسح ظهر آدم بيده فاستخرج منه ذريته)، فثبتت اليد بلا كيف."
"and we are told in the habar related on the authority of the Prophet, that God created Adam with His hand, and created the Garden of Eden with His hand, and wrote the Law (tawrah) with His hand, and planted the Tree of Happiness with His hand.","وجاء في الخبر المأثور عن النبي صلى الله عليه وسلم (أن الله تعالى خلق آدم بيده، وخلق جنة عدن بيده، وكتب التوراة بيده، وغرس شجرة طوبى بيده)، أي بيد قدرته سبحانه."
,
"God has also said, “Nay I outstretched are both His hands,” and we are told, on the authority of the Prophet, that he said, “Both His hands are right hands.”",وقال تعالى: (بل يداه مبسوطتان) من الآية (64 /5).
,وجاء عن النبي صلى الله عليه وسلم أنه قال: (كلتا يديه يمين).
"He also said, “We had surely seized him by the right hand,” and in the Arabic language, and in the usage of conversation, one may not say, “I have done thus-and-so with my two hands,” meaning by it “grace.”",وقال تعالى: (لأخذنا منه باليمين) من الآية (45 /69).
,"وليس يجوز في لسان العرب، ولا في عادة أهل الخطاب، أن يقول القائل: عملت كذا بيدي، ويعني به النعمة،"
"Since God addresses the Arabs only in their language, and what He reveals is understood in their speech and comprehended in their converse, and in the language of careful speakers one may not say, “I have done something with my two hands,” meaning “grace,” it is untrue that the meaning of His words “with My two hands” is “grace”—and that because one may not say, “I have a hand upon him,” meaning “I have a grace upon him.”","وإذا كان الله عز وجل إنما خاطب العرب بلغتها وما يجري مفهوما في كلامها، ومعقولا في خطابها، وكان لا يجوز في خطاب أهل اللسان أن يقول القائل: فعلت بيدي، ويعني النعمة؛ بطل أن يكون معنى قوله تعالى: (بيدي) النعمة، وذلك أنه لا يجوز أن يقول القائل: لي عليه يدي، بمعنى لي عليه نعمتي،"
"He who would forbid us the use of the classical language and has not recourse to the lexicographers who reject the idea that “the hand” has the meaning of “the grace” may not persist in the idea that “the hand” is “the grace,” except in accordance with classical usage; but, since he rejects classical usage, he must not interpret the Qur’an in accordance with it, or assert that “the hand” is “grace” by its rules, because, if he has recourse, in the interpretation of God’s words “with My two hands” as “My two graces,” to ijmff, the Muslims do not agree upon that which he maintains; and if he has recourse to classical usage, classical usage does not allow anyone to say, “with my two hands” meaning “my two graces;” and if he seeks safety in a third direction we will question him about it, and he will surely not find a way to justify himself.","ومن دافعنا عن استعمال اللغة ولم يرجع إلى أهل اللسان فيها دوفع عن أن تكون اليد بمعنى النعمة؛ إذ كان لا يمكنه أن يتعلق في أن اليد النعمة إلا من جهة اللغة، فإذا دفع اللغة لزمه أن لا يفسر القرآن من جهتها، وأن لا يثبت اليد نعمة من قبلها؛ لأنه إن روجع في تفسير قوله تعالى: (بيدي) نعمتي فليس المسلمون على ما ادعى متفقين، وإن روجع إلى اللغة فليس في اللغة أن يقول القائل: بيدي يعني نعمتي، وإن لجأ إلى وجه ثالث سألناه عنه، ولن يجد له سبيلا."
"Question. It may be said to the innovators, “Why do you think that the meaning of His words ‘ with My two hands ’ is ‘ My two graces ’? Do you think it by ijma', or by classical usage?” They will not find it in the ijma' or in the classical language,",مسألة:
,ويقال لأهل البدع: ولِم زعمتم أن معنى قوله: (بيدي) نعمتي أزعمتم ذلك إجماعا أو لغة؟ 
,فلا يجدون ذلك إجماعا ولا في اللغة.
"and if they say, “We believe it by qiyas,” the answer is: Where do you find in the qiyas that God’s words “with My two hands” have no meaning but “My two graces”? Whence is it possible to know by reason that it is interpreted thus-and-so? although we have seen that God has said in His Book, which speaks by the tongue of His Prophet, the Truthful, “We have not sent any apostle, save with the speech of his own people;” and He has said, “But the tongue of him at whom they hint is foreign, while this Qur’an is in the plain Arabic;” and He has said, “We have made it an Arabic Qur’an;” and He has said, “Will they not then meditate on the Qur’an?”",وإن قالوا: قلنا ذلك من القياس.
,"قيل لهم: ومن أين وجدتم في القياس أن قوله تعالى: (بيدي) لا يكون معناه إلا نعمتي؟ ومن أين يمكن أن يعلم بالعقل أن تفسير كذا وكذا مع أنا رأينا الله عز وجل قد قال في كتابه العزيز، الناطق على لسان نبيه الصادق: (وما أرسلنا من رسول إلا بلسان قومه) من الآية (4 /14)، وقال تعالى: (لسان الذي يلحدون إليه أعجمي وهذا لسان عربي مبين) من الآية (103 /16)، وقال تعالى: (إنا جعلناه قرآنا عربيا) من الآية (3 /4)، وقال تعالى: (أفلا يتدبرون القرآن ولو كان من عند غير الله) من الآية (82 /4)،"
"If the Qur’an were in a language other than Arabic, surely it would not be possible for us to meditate upon it or to understand its meaning when we hear it; wherefore' since one who is not expert in the Arabic language is not expert in the Qur’an, and only the Arabs understand it when they hear it, it is obvious that only the latter know it, because it was revealed in their language; and their language does not allow what the innovators claim.","ولو كان القرآن بلسان غير العرب لما أمكن أن نتدبره، ولا أن نعرف معانيه إذا سمعناه، فلما كان من لا يحسن لسان العرب لا يحسنه، وإنما يعرفه العرب إذا سمعوه على أنهم إنما علموه؛ لأنه بلسانهم نزل، وليس في لسانهم ما ادعوه."
"Question. An argument has been advanced on the basis of God’s words “And the heaven—with our hands We have built it up.” They say, “The hands (aydin) are the prowess, and the meaning of His words ‘with My two hands’ is 'by My two powers.’”",مسألة:
,"وقد اعتل معتل بقول الله تعالى: (والسماء بنيناها بأيد) من الآية (47 /51) قالوا: الأيد القوة، فوجب أن يكون معنى قوله تعالى: (بيدي) بقدرتي، "
"The answer is: This interpretation does not hold true for a number of reasons, the final and most decisive one being that aydin is not the plural of yad, because the plural of the yad that is “grace” is ayadin, and He says only, “before him whom I have created with My two hands;” wherefore according to this the meaning of His words “with My two hands” cannot possibly be the same as that of His words “with Our hands We have built it up.”","قيل لهم: هذا التأويل فاسد من وجوه: أحدها: أن الأيد ليس جمع لليد؛ لأن جمع يد أيدي، وجمع اليد التي هي نعمة أيادي، وإنما قال تعالى: (لما خلقت بيدي) من الآية (75 /38)، فبطل بذلك أن يكون معنى قوله: (بيدي) معنى قوله: (بنيناها بأيد)."
"Besides, if He meant “prowess,” the meaning of that would be “by My two powers;” and this contradicts the statement of our opponents and shatters their opinions, because they cannot prove one power, and so how can they prove two?","وأيضا فلو كان أراد القوة لكان معنى ذلك بقدرتي، وهذا ناقض لقول مخالفنا، وكاسر لمذهبهم؛ لأنهم لا يثبتون قدرة واحدة، فكيف يثبتون قدرتين."
"Besides, if God meant “power” by His words “before him whom I have created with My two hands,” Adam would have no quarrel with Iblis regarding that matter.","وأيضا فلو كان الله تعالى عنى بقوله: (لما خلقت بيدي) القدرة لم يكن لآدم صلى الله عليه وسلم على إبليس مزية في ذلك،"
"But God intended that he should see the superiority of Adam, since He had created him, and not Iblis, with His hand; whereas if He had created Iblis with His two hands, as he had created Adam with His two hands, He would have had no reason for preferring Adam to Iblis in that respect,","والله تعالى أراد أن يرى فضل آدم صلى الله عليه وسلم عليه؛ إذ خلقه بيديه دونه، ولو كان خالقا لإبليس بيده كما خلق آدم صلى الله عليه وسلم بيده لم يكن لتفضيله عليه بذلك وجه، "
"and Iblis would have said, arguing against his Lord, “Thou hast created me by Thy two hands as Thou has created Adam by them.”","وكان إبليس يقول محتجا على ربه: فقد خلقتني بيديك كما خلقت آدم صلى الله عليه وسلم بهما، "
"Therefore, since God willed to prefer Adam to Iblis in this respect, He said to Iblis, rebuking him for his pride against Adam in refusing to worship him, “what hindereth thee from prostrating thyself before him whom I have created with My two hands? Is it that thou art puffed up with pride?,” which thing is a proof that the meaning of the verse is not “power” since God created all things by His power; but it signifies only the assertion of the existence of two hands, and Iblis did not share with Adam the dignity of being created by them.","فلما أراد الله تعالى تفضيله عليه بذلك، وقال الله تعالى موبخا له على استكباره على آدم صلى الله عليه وسلم أن يسجد له: (ما منعك أن تسجد لما خلقت بيدي أستكبرت؟) (75 /38)، دل على أنه ليس معنى الآية القدرة؛ إذ كان الله تعالى خلق الأشياء جميعا بقدرته، وإنما أراد إثبات يدين، ولم يشارك إبليس آدم صلى الله عليه وسلم في أن خلق بهما."
"It must be that the meaning of God’s words “before him whom I have created with My two hands” is an assertion of the existence of two hands that are two graces; or that their meaning is an assertion of the existence of two hands that are two members; or that their meaning is an assertion of the existence of two hands that are two powers; or that their meaning is an assertion of the existence of two hands that are not two graces and not two members and not two powers, not qualified except as God is qualified.",فصل
,"وليس يخلو قوله تعالى: (لما خلقت بيدي) أن يكون معنى ذلك إثبات يدين نعمتين، أو يكون معنى ذلك إثبات يدين جارحتين. تعالى الله عن ذلك، أو يكون معنى ذلك إثبات يدين قدرتين، أو يكون معنى ذلك إثبات يدين ليستا نعمتين ولا جارحتين ولا قدرتين لا توصفان إلا كما وصف الله تعالى، "
"Therefore its meaning cannot be “two graces,” because, according to the lexicographers, one may not say, “I have done something with my two hands,” when he means “my two graces;”",فلا يجوز أن يكون معنى ذلك نعمتين؛ لأنه لا يجوز عند أهل اللسان أن يقول القائل: عملت بيدي وهو نعمتي.
