"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"Abū Ayyūb heard what was related from the Prophet in a general way and construed it as pertaining both to going out into the desert and to relieving oneself in a settled area. He did not draw any distinction relating to going among dwellings, where people had put latrines that in some cases faced toward and in other cases faced away from the prayer-direction, and in which the one going to relieve himself in them would be concealed from view. Thus, he adhered to the hadith-report in a general way, just as he had heard it in a general way.","قال: فسمع ""أبو أيوب"" ما حَكَى عن النبي جُمْلَةً، فقال به على المذهب في الصحراء والمنازل، ولم يُفَرِّقْ في المذهب بين المنازل التي للناس مَرَافِقُ في أنْ يضعوها في بعض الحالات مُسْتَقْبِلَةَ القِبلة أو مستدبرتها، والتي يكون فيها الذاهبُ لحاجته مُسْتَتِرًا، فقال بالحديث جملةً، كما سمعه جملةً."
"Similarly, whoever hears a hadith-report must adhere to it in accordance with its unrestricted and general import until he finds some indication that he can use to make a distinction concerning it in subsidiary cases.","وكذلك ينبغي لمن سمع الحديث أن يقول به على عُمُومِه وجملته، حتى يجد دِلالة يُفَرِّق بها فيه بينه."
"Al-Shāfiʿī said: When Ibn ʿUmar related that he saw the Prophet facing Jerusalem while relieving himself, it being one of the two prayer-directions—and if he faced it, he turned his back to the Kaaba—he disagreed with those who held that one not face the prayer-direction or turn one’s back to it. He took the view that one need not desist from something that God’s Emissary himself did.","قال ""الشافعي"": لما حكى ""ابن عمر"" أنه رأى النبي مستقبلاً بيت المقدس لحاجته، وهو إحدى القبلتين، وإذا استقبله استدبر الكعبة: أنْكَرَ على مَنْ يقول لا يستقبِلِ القِبْلَةَ ولا تستدبِرْها لحاجة، ورَأَى أنْ لا ينبغيَ لأحد أن يَنْتَهِيَ عَن أمْرٍ فعله رسول الله."
"It seems that he did not hear what God’s Emissary commanded be done in the desert, that he might distinguish between the desert and settled areas and thus hold the prohibition to be operative in the desert while recognizing the existence of a dispensation for settled areas. Otherwise, he would have held a different view—based on what he heard and saw—and drawn a distinction, using the indication that God’s Emissary had made because of the difference between the situation in the desert and in settlements.","ولم يسمع - فيما يُرَى - ما أمَرَ به رسولُ الله في الصحراء، فَيُفَرِّقَ بيْن الصحراء والمنازل، فيقولَ بالنهي في الصحراء وبِالرخصة في المنازل، فيكون قد قال بما سمع ورأى، وفرَّقَ بالدلالة عن رسول الله على ما فرق بينه، لافتراق حال الصحراء والمنازل."
"This shows clearly that everyone who heard something from God’s Emissary accepted it and adhered to it, and if he did not know when to distinguish among related situations, then he did not make any distinction as long as he did not know to do so, except on the basis of some indication from God’s Emissary regarding the differences among such situations.","وفي هذا بَيانُ أن كُلَّ مَن سَمِعَ مِن رسول الله شيئاً قَبِلَه عنه وقال به، وإن لم يُعرف حيثُ يَتَفَرَّقُ لمْ يتفرَّقْ بيْنَ ما لمْ يُعْرَفْ إلاَّ بِدِلالةٍ عن رسول الله على الفرق بَيْنَهُ."
There are many instances similar to this among hadith-reports; we will make do with what we have mentioned here in lieu of what we have left unmentioned.,"ولهذا أشباهٌ في الحديث، اكتفينا بما ذَكَرْنَا مِنها مِمَّا لم نَذْكر."
"Another Instance of Legal Disagreement Ibn ʿUyaynah reported to us from al-Zuhrī, from ʿUbaydallāh ibn ʿAbdallāh ibn ʿUtbah, from Ibn ʿAbbās, who said al-Ṣaʿb ibn Jaththāmah reported to me that he heard the Prophet being asked about pagan families who are attacked at night in their homes, and whose women and children become casualties. God’s Emissary said: “They are pagans, too.” ʿAmr ibn Dīnār added, as transmitted by al-Zuhrī: “They belong to the same family.”","وجه آخر من الاختلاف. أخبرنا ""ابن عيينة"" عن ""الزهري"" عن ""عبيد الله بن عبد الله بن عُتْبَة"" عن ""ابن عباس"" قال: أخبرني ""الصَّعْبُ بن جَثَّامَةَ"" "" أنَّهُ سَمِعَ النَّبِيَّ يُسْأَلُ عَنْ أَهْلِ الدَّاِر مِنَ المُشْرِكِينَ يُبَيَّتُونَ فَيُصَابُ مِنْ نِسَائِهِمْ وَذَرَارِيهِمْ، فَقَالَ رَسُولُ اللهِ: هُمْ مِنْهُمْ "". وَزَادَ ""عمرو بن دينار"" عن ""الزهري"" "" هُمْ مِنْ آبَائِهِمْ "" ."
"Ibn ʿUyaynah reported to us from al-Zuhrī, from Ibn Kaʿb, from Mālik, from his uncle, that when the Prophet sent people to Ibn Abī al-Ḥuqayq, he ordered that women and children not be killed.","أخبرنا ""ابن عيينة"" عن ""الزهري"" عن ""ابن كَعْب بن مالك"" عن عَمِّهِ: "" أَنَّ النَّبِيَّ لَمَّا بَعَثَ إِلَى ""ابن أبي الحُقَيْقِ""، نَهَى عَنْ قَتْلِ النِّسَاءِ وَالوِلْدَانِ "" ."
"Sufyān came to the conclusion that the Prophet’s saying “They are pagans, too” made it permissible to kill them, but that the hadith-report about Ibn Abī l-Ḥuqayq abrogated it. He said, “Whenever al-Zuhrī transmitted the hadith-report of al-Ṣaʿb ibn Jaththāmah, he followed it with the hadith-report of Ibn Kaʿb.”","قال: فكان ""سفيان"" يذهب إلى أنَّ قولَ النبي: "" هُمْ مِنْهُمْ "" إباحَةٌ لِقَتْلِهم، وأنَّ حديث ""ابن أبي الحُقَيْقِ"" ناسخ له، وقال: كان ""الزهري"" إذا حدَّثَ حَديثَ ""الصَّعْب بن جَثَّامَةَ""، أتْبَعَهُ حديث ""ابن كعب""."
"Al-Shāfiʿī said: The hadith-report of al-Ṣaʿb ibn Jaththāmah stems from the Prophet’s Minor Pilgrimage. If it is from his first Minor Pilgrimage, then one would say: The matter of Ibn Abī l-Ḥuqayq occurred before that or, it is said, in the same year. If it was in his second Minor Pilgrimage, then it occurred after the matter of Ibn Abī l-Ḥuqayq, no doubt, but God knows best.","قال ""الشافعي"": وحديث ""الصَّعْب بن جَثَّامَةَ"" في عُمْرَةِ النبي، فإنْ كان في عُمرته الأولى فقد قيل: أمرُ ""ابن أبي الحُقَيْقِ"" قَبْلَهَا، وقيل: في سَنَتِها، وإنْ كان في عُمرته الآخِرة، فهو بعْدَ أمْرِ ""ابن أبي الحُقَيْقِ"" غَيْرَ شَكٍّ، والله اعلم."
We did not know that he (may God bless him) gave a dispensation for the killing of women and children and then prohibited that they be killed.,ولم نَعْلَمْه - صلى الله عليه - رخَّص في قتل النساء والوِلْدان ثم نهى عنه.
"The meaning of his prohibition against killing women and children in our view, though God knows best, is that one may not intentionally seek to kill them when it is possible to distinguish them from those whom he did order to be killed.","ومعنى نهيه عندنا - والله أعلم - عن قتل النساء والوِلدان: أن يَقْصِدَ قَصْدَهُمْ بِقتل، وهم يُعْرفون مُتَمَيِّزين ممن أمَرَ بقتله منهم."
"The point of his saying “They are pagans, too” is that the women and children and the combatants share two traits: they have neither the legal protection of faith, which would otherwise prevent the shedding of their blood, nor the legal protection of being in an area inhabited primarily by believers, which would prevent an invasion of that area.","ومعنى قوله: هُمْ مِنْهُمْ: أنهم يجمعون خَصْلَتَيْنِ: أنْ ليس لهم حُكْم الإيمان الذي يُمْنَع به الدَّمُ، ولا حكمُ دار الإيمان الذي يُمنع به الإغارةُ على الدَّارِ."
"Since God’s Emissary permitted nighttime and surprise attacks against dwellings, and attacked the al-Muṣṭalaq tribe by surprise— and one knows with certainty that nighttime and surprise attacks against dwellings are lawful because God’s Emissary made them lawful—then no one who attacks or invades the home is prohibited from striking down women and children; and sin, expiation, blood-price, and retaliation do not apply for those who strike them down. This is because one is permitted to attack dwellings at night and by surprise; the occupants do not enjoy the protection afforded by adherence to Islam.","وإذْ أباحَ رسولُ الله البَيَاتَ والإغارة على الدار، فأغار على بني المُصْطَلِقِ غارِّين: فالعلم يحيط أن البيات والإغارة إذا حَلَّ بإحلال رسول الله لم يمتنع أحدٌ بَيَّتَ أوْ أغارَ مِن أن يُصيب النساء والوِلدان، فيسقط المَأْثَمُ فيهم والكفارةُ والعقْلُ والقَوَدُ عَن من أصابهم، إذ أُبيح له أن يُبَيِّتَ ويُغير، وليست لهم حُرْمة الإسلام."
"However, no one has the right to kill them intentionally when they are clearly identifiable and recognizable as such.",ولا يكون له قتْلُهم عامِداً لهم متميزين عارفاً بهم.
"The Prophet prohibited the killing of children because they have not reached the age when they can be held responsible for practicing unbelief, and women because they are insignificant in battle. And, moreover, they and the children may be enslaved and thus become a source of strength for God’s religion.","فإنما نهى عن قتل الوِلدان: لأنهم لم يَبْلُغوا كُفْرًا فيَعملوا به، وعن قتل النساء: لأنه لا معنى فيهن لقتالٍ وأنهن والوِلدان يُتَخَوَّلُون فيكونون قوَّةً لأهل دين الله."
"If someone were to say, “Clarify that with something else,” one would reply: That is sufficient for the scholar and nothing else is needed.",فإن قال قائل: أبِنْ هذا بغيره. قيل: فيه ما اكتفى العالم به مِنْ غَيْرِه.
"If he were to ask then, “Do you find anything else with which you can support it and to which you can compare it from God’s Book?”","فإن قال: أفتجد ما تَشُدُّه به غيرَه، وتُشَبِّهُهُ مِنْ كتاب الله؟"
I would say: Yes.,"قلت: نعم،"
"God said: «A believer should not kill a believer, unless it happens by mistake. Whoever kills a believer by mistake, must free a believing slave and pay the blood-price to the victim’s family, unless they remit it as alms. If the victim is from a people who are hostile to you but is nevertheless a believer, the recompense is the freeing of a believing slave. If he comes from a people with whom you have a covenant, the blood-price is to be handed over to his family and a believing slave must be freed. Whoever does not find the means for that must fast for two consecutive months, a penance from God. God is Knowing and Wise.»","يَصَّدَّقُوا، فَإِنْ كَانَ مِنْ قَوْمٍ عَدُوٍّ لَكُمْ وَهُوَ مُؤْمِنٌ فَتَحْرِيرُ رَقَبَةٍ مُؤْمِنَةٍ، وَإِنْ كَانَ مِنْ قَوْمٍ بَيْنَكُمْ وَبَيْنَهُمْ مِيثَاقٌ فَدِيَةٌ مُسَلَّمَةٌ إِلَى أَهْلِهِ، وَتَحْرِيرُ رَقَبَةٍ مُؤْمِنَةٍ، فَمَنْ لَمْ يَجِدْ فَصِيَامُ شَهْرَيْنِ مُتَتَابِعَيْنِ تَوْبَةً مِنْ اللَّهِ، وَكَانَ اللَّهُ عَلِيمًا حَكِيمًا (92) "" [النساء]"
"For the mistaken killing of a believer, God mandated the bloodprice and the freeing of a slave; and for the killing of someone protected by a covenant, He also mandated the blood-price and the freeing of a slave. This applies because they are both persons whose blood is forbidden to be shed, by reason of faith, a compact, and domicile together. Even if a believer is domiciled somewhere not forbidden to invaders, he himself is nonetheless forbidden to be killed by reason of his faith, so in that case expiation becomes due for the taking of his life but no blood-price should be paid. It is still forbidden to take his life because of his faith. Since it is not forbidden to kill the pagans’ women and children, neither by reason of faith nor domicile, then killing them entails no blood-price, retaliation, compensation, or sin, God willing, and no expiation.","قال الله: "" وَمَا كَانَ لِمُؤْمِنٍ أَنْ يَقْتُلَ مُؤْمِنًا إِلَّا خَطَأً، وَمَنْ قَتَلَ مُؤْمِنًا خَطَأً فَتَحْرِيرُ رَقَبَةٍ مُؤْمِنَةٍ وَدِيَةٌ مُسَلَّمَةٌ إِلَى أَهْلِهِ إِلَّا أَنْ. قال: فأوجب الله بقتل المؤمن خطأً الدِّية وتحريرَ رقبةٍ، وفي قتل ذي الميثاقِ الديةَ وتحريرَ رقبةٍ، إذا كانا معاً ممنوعَي الدم، بالإيمان والعهد والدار معاً، فكان المؤمن في الدار غيرِ  الممنوعة وهو ممنوعٌ بالإيمان، فَجُعِلَتْ فيه الكفارة بإتلافه، ولم يُجْعَلْ فيه الدِّيةُ، وهو ممنوع الدم بالإيمان، فلما كان الوِلْدانُ والنساء مِن المشركين لا ممنوعين بإيمان ولا دار: لم يكن فيهم عَقْلٌ ولا قَوَدٌ ولا دية ولا مأثم - إن شاء الله - ولا كفارةٌ."
"Concerning the Major Washing for Friday Prayer He said, “Mention some other hadith-reports that people considered to be contradictory.”",في غسل الجمعة فقال: فاذْكر وجوهاً مِن الأحاديث المختلفة عند بعض الناس أيضاً.
"I said: Mālik reported to us from Ṣafwān ibn Sulaym, from ʿAṭāʾ ibn Yasār, from Abū Saʿīd al-Khudrī, that God’s Emissary said: “The major washing for Friday prayer is mandatory for every pubescent and postpubescent male.”","فقلت: أخبرنا ""مالك"" عن ""صفوان بن سُلَيْم"" عن ""عطاء بن يسار"" عن ""أبي سعيد الخُدري""، أنَّ رسولَ الله قال: "" غُسْلُ يَوْمِ الجُمْعَةِ وَاجِبٌ عَلَى كُلِّ مُحْتَلِمٍ "" ."
"Ibn ʿUyaynah reported to us from al-Zuhrī, from Sālim, from his father, that the Prophet said: “Whoever among you attends Friday prayer, let him perform the major washing.”","أخبرنا ""ابن عيينة"" عن ""الزهري"" عن ""سالم"" عن أبيه،  أنَّ النبي قال: مَنْ جَاءَ مِنْكُمْ الجُمْعَةَ فَلْيَغْتَسِلْ "" ."
"Al-Shāfiʿī said: The saying of God’s Emissary that “the major washing for Friday prayer is mandatory” and his command could mean two different things. The apparent meaning is that it is mandatory and that the only degree of ritual purity that is ritually and legally sufficient for the Friday prayer is the major washing, just as the only degree of ritual cleansing that is ritually and legally sufficient to correct major impurity is the major washing. “Mandatory” could, however, also pertain to what is optionally deemed mandatory, whatever ennobles one’s character, and whatever encourages personal hygiene.","قال ""الشافعي"": فكان قولُ رسول الله في: ((غسل يوم الجمعة واجب)) ، وأمْرُه بالغسل، يحتمل معنيين: الظاهرُ منهما أنه واجب، فلا تجزئ الطهارَةُ لِصَلاة الجُمْعَةِ إلاَّ بالغسل، كما لا يجزئ في طهارة الجُنُبِ غيْرُ الغسل، ويحتمل واجبٌ في الاختيار والأخْلاق والنَّظافة."
"Mālik reported to us from al-Zuhrī, from Sālim, who said: “One of the Prophet’s Companions came into the mosque on Friday while ʿUmar ibn al-Khaṭṭāb was giving the sermon. ‘Do you know what time it is?’ asked ʿUmar. ‘O commander of the faithful, I was returning from the market and heard the call, so I only had time to perform ablutions,’ he replied. ‘Ablutions, too!’ said ʿUmar, ‘when you know full well that God’s Emissary used to command the major washing!’” A trustworthy person transmitted to me a hadith-report of similar import to that of Mālik, from Maʿmar, from al-Zuhrī, from Sālim, from his father, who identified the one who attended the Friday prayer without having done the major washing as ʿUthmān ibn ʿAffān.","أخبرنا ""مالك"" عن ""الزهري"" عن ""سالم"" قال: "" دَخَلَ رَجُلٌ مِنْ أَصْحَابِ النَّبِيِّ يَوْمَ الجُمْعَةِ، و""عُمُرُ بْنُ الخَطَّابِ"" يَخْطُبُ، فَقَالَ ""عُمَرُ"": أَيَّتُ سَاعَةٍ هَذِهِ، فَقَالَ: يَا أَمِيرَ المُؤْمِنِينَ، انْقَلَبْتُ مِنَ السُّوقِ، فَسَمِعْتُ النِّدَاءَ، فَمَا زِدْتُ عَلَى أَنْ تَوَضَّأْتُ، فَقَالَ ""عُمَرُ"": الوُضُوءُ أَيْضًا! وَقَدْ عَلِمْتَ أَنَّ رَسُولَ اللهِ كَانَ يَأْمُرُ بِالْغُسْلِ؟! "" . أخبرنا الثِّقة عن ""مَعْمَرٍ"" عن ""الزهري"" عن ""سالم"" عن أبيه مثلَ معنى حديث ""مالك""، وسَمَّى الدَّاخِلَ يَوْمَ الجمعة بِغَيْرِ غُسل: ""عثمان بن عَفَّانَ""."
"ʿUmar recalled that God’s Emissary used to command performance of the major washing on Fridays, and knew as well that ʿUthmān was fully aware of God’s Emissary’s command to perform it, and ʿUmar reminded ʿUthmān of the Prophet’s command to perform it and also reminded ʿUthmān that ʿUthmān was perfectly aware of that.","قال: فلَمَّا حَفِظَ ""عمر"" عن رسول الله أنه كان يأمر بالغُسْلِ، وعلم أنَّ ""عثمان"" قد عَلِمَ مِنْ أمْر رسول الله بالغسل، ثم ذكر ""عمر"" ""لعثمان"" أمْرَ النبي بالغُسل، وعلِمَ ""عثمان"" ذلك:"
"So if anyone were mistaken enough to imagine that ʿUthmān had forgotten, and that ʿUmar reminded him, before the prayer, that he had forgotten, the fact that ʿUthmān did not omit to pray because of his failure to perform the major washing and ʿUmar did not order him to leave to perform it indicate that they both knew that the command of God’s Emissary was optional.","فلو ذهب على مُتَوَهِّمٍ أنَّ ""عثمان"" نسِيَ، فقد ذكَّرَه ""عمر"" قبْلَ الصلاة بِنسيانِه، فلَمَّا لم يتركْ ""عثمان"" الصلاة للغسل، ولمَّا لمْ يأمره ""عمر"" بالخروج للغسل: دلَّ ذلك على أنهما قد عَلِمَا أن أمْرَ رسول الله بالغسل على الاختيار ،"
"It did not mean that nothing else would be ritually and legally sufficient, because ʿUmar would not have relented in his command to perform the major washing, nor would ʿUthmān have failed to perform it, since we know that he was mindful of having omitted to perform it, and also of the Prophet’s command to perform it.","لا على أنْ لا يُجْزِئَ غيُره، لأن ""عمر"" لم يكن لِيَدَعَ أمْرَه بالغسل، ولا ""عثمان"" إذْ علمنا أنه ذاكِرٌ لِترك الغُسل، وأمرِ النبي بالغسل:"
"Thus, it must be the case that the major washing is, as we have explained, optional.",إلاَّ والغُسْلُ - كما وصفْنَا - على الاختيار.
"The Basrans narrated that the Prophet said: “Whoever performs ablutions on Friday, that suffices and he has done well, but whoever performs the major washing, that is better.”","قال: ورَوَى ""البصْرِيُّونَ"" أنَّ النبي قال: "" مَنْ تَوَضَّأَ يَوْمَ الجُمْعَةِ فَبِهَا وَنِعْمَةْ، وَمَنِ اغْتَسَلَ فَالغُسْلُ أَفْضَلُ "" ."
"Sufyān reported to us from Yaḥyā, from ʿAmrah, from ʿĀʾishah, who said: “Self-employed laborers would come to prayer as they were, and it was said to them, ‘If only you had performed the major washing.’”","أخبرنا ""سفيان"" عن ""يحيى"" عن ""عَمْرةَ "" عن ""عائشة"" قالت: "" كَانَ النَّاسُ عُمَّالَ أَنْفُسِهِمْ، وَكَانُوا يَرُوحُونَ بِهَيْآتِهِمْ، فَقِيلَ لَهُمْ: لَوْ اغْتَسَلْتُمْ "" ."
"Prohibition for a Reason Indicated by a Reason Given in Another Hadith-Report Mālik reported to us from Abū l-Zinād and Muḥammad ibn Yaḥyā ibn Ḥabbān, from al-Aʿraj, from Abū Hurayrah, that God’s Emissary said: “Let none of you make a marriage proposal that interferes with the marriage proposal of his counterpart.”","النهي عن معنىً دلَّ عليه معْنًى في حديثٍ غيره. أخبرنا ""مالك"" عن ""أبي الزِّنَاد"" و""محمد بن يحيى بن حَبّان"" عن ""الأعرج"" عن ""أبي هريرة"" أنَّ رسولَ الله قال: "" لاَ يَخْطُبْ أَحَدُكُمْ عَلَى خِطْبَةِ أَخِيهِ "" ."
"Mālik reported to us from Nāfiʿ, from Ibn ʿUmar, from the Prophet, that he said: “Let none of you make a marriage proposal that interferes with the marriage proposal of his counterpart.”","أخبرنا مالك"" عن ""نافع"" عن ""ابن عمر"" عن النبي، أنه قال: "" لاَ يَخْطُبْ أَحَدُكُمْ عَلَى خِطْبَةِ أَخِيهِ "" ."
"Al-Shāfiʿī said: If there had not been any indication from God’s Emissary that his prohibition against making a marriage proposal that interferes with the marriage proposal of a counterpart was for one reason and not another, the most apparent meaning would have been that it was unlawful for someone to make a marriage proposal that interfered with someone else’s from the time the first proposal was first made until it was abandoned.","قال ""الشافعي"": فلو لم تأت عن رسول الله دِلالة على أن نهيه عن أنْ يَخْطُب عَلَى خطبة أخيه على معنى دون معنى: كان الظاهِرُ أنَّ حراماً أنْ يخطب المرء على خِطبة غيره مِن حينِ يبتدئُ إلى أنْ يدعَها."
"It might be that the Prophet’s saying “Let none of you make a marriage proposal that interferes with the marriage proposal of his counterpart” was intended as the answer to a question that would determine the hadith-report’s meaning, but that the one who transmitted it did not hear the underlying reason for the question in response to which God’s Emissary said this.","قال: وكان قول النبي: "" لاَ يَخْطُبْ أَحَدُكُمْ عَلَى خِطْبَةِ أَخِيهِ "" يحتمل أن يكون جوابًا أراد به في معنى الحديث، ولم يسمع مَنْ حدَّثَه: السببَ الذي له قال رسول الله هذا،"
"Thus, the two transmitters may have conveyed some of the report but not all of it.","فأدَّيَا بَعْضَهُ دون بعْض،"
"Alternatively, they may have had doubts about part of it and were silent about what they doubted.",أو شَكَّا في بعْضه وسَكَتَا عَمَّا شَكَّا فيه.
"Thus, the Prophet may have been asked about a man who proposed to a woman who accepted his proposal and gave permission to be married to him.","فيكون النبي سُئل عن رجل خطب امرأة فَرَضِيَتْهُ وأذِنت في نكاحه،"
"Then, someone more desirable than he proposed, and she withdrew from the first, to whom she had consented to let herself be married.","فخَطَبَها أرْجَحُ عندها منه، فرجعت عن الأول الذي أذِنَتْ في إنْكاحه،"
"Therefore, he prohibited proposing to a woman in that situation. She, after all, might withdraw from the one to whom she consented to be married, and then the other one would not marry her, and that would spoil things for her and her fiancé to whom she had first consented to be married.","فنهى عن خِطبة المرأة إذا كانت بهذه الحال، وقد يكون أن ترجع عن من أذنت في إنكاحه، فلا يَنْكحُها من رجعت له، فيكونُ فَسَاداً عليها وعلى خاطبها الذي أذنت في إنكاحه."
"If someone were to ask, “How did you come to hold the opinion that the Prophet’s prohibition against making a marriage proposal that interferes with the marriage proposal of one’s counterpart was for one reason and not another?”",فإن قال قائل: لِمَ صِرت إلى أن تقول إنَّ نهي النبي أنْ يخطب الرجل على خطبة أخيه: على معنىً دون معنىً؟
"Based on an indication from the Prophet himself, I replied.",فبِالدِّلالة عنه.
"If he asks, “Where is that?” one should reply to him, God willing: Mālik reported to us from ʿAbdallāh ibn Yazīd, client of al-Aswad ibn Sufyān, from Abū Salamah ibn ʿAbd al-Raḥmān, from Fāṭimah bint Qays: Her husband divorced her, and God’s Emissary commanded her to fulfill the waiting period in the home of Ibn Umm Maktūm. “‘When you become lawful to marry,’ he said, ‘then permit me to make a match.’ So when I had become lawful, I mentioned to him that Muʿāwiyah ibn Abī Sufyān and Abū Jahm had both proposed to me. ‘As for Abū Jahm,’ said God’s Emissary, ‘he never lifts his staff from his fillies, and as for Muʿāwiyah, he’s a vagabond with no money. Marry Usāmah ibn Zayd.’” “I expressed my dislike for him,” she continued. “‘Marry Usāmah,’ he repeated. So I did marry him, and God made it turn out well and I felt blessed to have him.”","فإن قال: فأين هي؟ قيل له - إن شاء الله -: أخبرنا ""مالك"" عن ""عبد الله بن يزيد"" مولى ""الأسود بن سفيان"" عن ""أبي سَلَمَةَ بن عبد الرحمن"" عن ""فاطمة بنت قَيْسٍ"": "" أنَّ زَوْجَهَا طَلَّقَهَا، فَأَمَرَهَا رَسُولُ اللهِ أنْ تَعْتَدَّ فِي بَيْتِ ""ابْنِ أُمِّ مَكْتُومٍ""، وَقَالَ: إِذَا حَلَلْتِ فَآذِنِينِي، قَالَتْ: فَلَمَّا حَلَلَتُ ذَكَرْتُ لَهُ أَنَّ ""مُعَاوِيَةَ بن أبي سُفْيَانَ"" و""أبَا جَهْمٍ"" خَطَبَانِي، فَقَالَ رَسُولُ اللهِ: فَأَمَّا ""أَبُو جَهْمٍ"" فَلاَ يَضَعُ عَصَاهُ عَنْ عَاتِقِهِ، وأمَّا ""مُعَاوِيَةُ"" فَصُعْلُوكٌ لاَ مَالَ لَهُ، اِنْكِحِي ""أُسَامَةَ بْنَ زَيْدٍ""، قَالَتْ: فَكَرِهْتُهُ، فَقَالَ: اِنْكِحِي"" أُسَامَةَ""، فَنَكَحْتُهُ، فَجَعَلَ اللهُ فِيهِ خَيْرًا، واغْتَبَطْتُ بِهِ "" ."
Al-Shāfiʿī said: Our opinion is in line with that report.,"قال ""الشافعي"": فبهذا قُلْنَا."
"In regard to God’s Emissary’s arranging to betroth Usāmah to Fāṭimah after she informed God’s Emissary that Muʿāwiyah and Abū Jahm had already proposed to her, the Practice of God’s Emissary indicates two things.","ودلَّت سنةُ رسول الله في خِطبته ""فاطمةَ"" على ""أسامة"" بعد إعْلامِها رسولَ الله أنَّ ""معاوية"" و""أبا جهم"" خطباها، على أمْرين:"
One of them is that the Prophet knew that they could not both have proposed to her without one of them having proposed after the other.,"- أحدهما: أنَّ النبي يعلم أنهما لا يخطُبانها إلاَّ وخِطبةُ أحدهما بعد خطبة الآخر،"
"Since he did not prohibit her from consenting to either of their proposals, however, and did not say to her that, “it was not for either of them to propose to you until the other abandoned his proposal to you,” and he arranged for Usāmah ibn Zayd to propose to her after their two proposals, we infer that she did not accept either one.","فَلَمَّا لم يَنْهَهَا ولم يَقُلْ لها ما كان لِواحِدٍ أنْ يَخْطُبَكِ حتى يترك الآخَرُ خِطْبَتَكِ، وخطبها على ""أسامة بن زيد"" بعد خطبتهما: فاستدللنا على أنها لم ترضى،"
"Had she accepted one of them, he would have commanded her to marry the one whom she had approved.","ولو رَضِيَتْ واحِداً منهما أمرها أن تتزوج مَنْ رضيت،"
"Further, her reporting to him about who had proposed to her must have been to report about proposals to which she had not consented, and was perhaps a request for the Prophet’s counsel; and it would not have been appropriate for her to consult with him had she given her consent to one of them.","وأن إخبارَها إياهُ بمن خطبها، إنما كان إخباراً عَمَّا لم تأذن فيه، ولعلها استشارةٌ له، ولا يكون أن تستشيره وقد أذِنَتْ بأحدهما."
"Since the Prophet arranged for Usāmah to propose to her, we infer that the situation in which she received the proposal was other than the situation in which he prohibited proposals to such women.","فلما خطبها على ""أسامة"" استدللنا على أنَّ الحال التي خطبها فيه غيرُ الحال التي نهى عن خطبتها فيها،"
There was no situation in which one could have drawn a distinction between a lawful and an unlawful proposal to her except the one in which she had given her consent to her guardian to marry her off.,"ولم تكن حالٌ تُفَرِّقُ بين خطبتها حتى يَحِلَّ بعضها ويحرُمَ بعضها، إلا إذا أذنت للولي أن يزوجها،"
"Then, her prospective husband could, if her guardian had agreed to marry her off, compel her to go through with the marriage, and he would be compelled to go through with it, too, and she would become lawful to him.","فكان لزوجها - إن زوَّجها الولي - أن يُلْزِمها التزويجَ، وكان عليه أن يُلزمَه، وحَلَّتْ له،"
"Before that, however, her situation is the same in either case: her guardian may not marry her off unless she gives permission, and it does not matter whether she inclines to accept a proposal or not.","فأما قبل ذلك فحالها واحدة: ليس لوليها أن يزوجها حتى تأذن، فرُكُونها وغيرُ ركونِها سَواءٌ."
"If someone were to say, “So the mental state in which she inclines to accept a proposal is the opposite of her mental state in which she does not so incline?”",فإن قال قائل: فإنها راكِنةً مخالِفَةٌ لِحَالِها غيرَ راكِنة.
"Similarly, if she were proposed to, insulted the suitor and disliked him, he proposed again and she did not insult him and did not express any dislike but also did not incline, then in that case, when she ceased to insult him, her mental state would be the opposite of her mental state in which she insulted him, and in that case she would have moved closer to accepting his proposal.","فكذلك هي لو خُطِبتْ فَشَتَمَت الخاطب وتَرَغَّبَتْ عنه ثم عاد عليها بالخطبة فلم تشتمه ولم تظهر تَرَغُّبًا ولم تركن: كانتْ حالها التي تَرَكَتْ فيها شَتْمه مخالفةً لحالها التي شتمته فيها، وكانت في هذه الحال أقربَ إلى الرضا،"
"Indeed, her mental state can even vary, because prior to when she inclines to a particular suitor that she favors, her mental state will be closer to inclining to him in some situations than in others.","ثم تنتقلُ حالاتُها، لأنها قبل الرُّكون إلى مُتَأَوَّلٍ، بعضُها أقْرَبُ إلى الرُّكون منْ بعض."
"But in that case there is still no relevant underlying factor that distinguishes between two such states, though God knows best, except what I have described: he prohibited that one propose to her after she has given her consent to her guardian to marry her off, at which point the guardian’s authority becomes effective.","ولا يصح فيه معنى بحال - والله أعلم - إلاَّ ما وصفْتُ مِن أنه نهى عن الخطبة بعد إذنها للولي بالتزويج، حَتَّى يَصِيرَ أمْرُ الولي جائزاً،"
"When the guardian’s authority is not yet effective, her two mental states are effectively equivalent, though God knows best.","فأما ما لم يَجُز أمر الولي فأوَّلُ حالها وآخرُها سواءٌ، والله أعلم."
