THE,كتاب الأموال
"The Cypriots then sell them to Muslims, but these Ahl al-Dhimma assert their rights (in the hands of Muslims).","ثُمَّ بَاعَهُمْ أَهْلُ قُبْرُسَ مِنَ الْمُسْلِمِينَ، فَلَمَّا قَدِمُوا خَاصَمُوهُمْ"
Hisham wrote: “The sale is to be enforced as valid.”,فَكَتَبَ هِشَامٌ: أَنْ أَجْرِ بَيْعَهُمْ لِمَنِ اشْتَرَاهُمْ
"(338) Al-Layth said: “In my view, they are to be ransomed by the treasury and restored to their earlier status.”",338 - وَقَالَ اللَّيْثُ: أَرَى أَنْ يَفْدُوهُمْ مِنْ بَيْتِ مَالِ الْمُسْلِمِينَ وَيُقَرُّوا عَلَى ذِمَّتِهِمْ
,
(339) Abu 'Ubayd related to us saying: 'Abd Allah ibn Salih related to us from al-Layth ibn Sa'd from Hisham ibn SaM from Salih ibn Jubayr that 'Umar ibn 'Abd al-'Aziz gave money to a man to be paid as ransom for freeing prisoners.,"339 - حَدَّثَنَا أَبُو عُبَيْدٍ قَالَ: حَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنِ اللَّيْثِ بْنِ سَعْدٍ، عَنْ هِشَامِ بْنِ سَعْدٍ، عَنْ صَالِحِ بْنِ جُبَيْرٍ، أَنَّ عُمَرَ بْنَ عَبْدِ الْعَزِيزِ أَعْطَى رَجُلًا مَالًا يَخْرُجُ بِهِ لِفِدَاءِ الْأُسَارَى،"
The man said: “0 Commander of the Faithful! We will find people who ran away of their own accord to the enemy. Should we seek their freedom as well?”,"فَقَالَ الرَّجُلُ: يَا أَمِيرَ الْمُؤْمِنِينَ، إِنَّا سَنَجِدُ نَاسًا فَرُّوا إِلَى الْعَدُوِّ طَوْعًا أَفَنَفْدِيهِمْ؟"
"He replied, “Yes.”","قَالَ: «نَعَمْ» ،"
"He said: “And runaway slaves, male and female, who went willingly?”",قَالَ: وَعَبِيدًا فَرُّوا طَوْعًا وَإِمَاءً؟
"He said, “Ransom them.”","فَقَالَ: «افْدُوهُمْ» ،"
He said: “There was no category of persons that I mentioned that day on which he did not say yes.”,قَالَ: وَلَمْ يُذْكَرْ لَهُ صِنْفٌ مِنَ النَّاسِ مِنْ جُنْدِ الْمُسْلِمِينَ يَوْمَئِذٍ إِلَّا أَمَرَ بِفِدَائِهِمْ
"(340) Aba 'Ubayd related to us saying: Hajjaj related to us from Ibn Jurayj from 'Ata’ about a freeman who is made captive by the enemy, and is later bought by a Muslim.","340 - حَدَّثَنَا أَبُو عُبَيْدٍ قَالَ: حَدَّثَنَا حَجَّاجٌ، عَنِ ابْنِ جُرَيْجٍ، عَنْ عَطَاءٍ، فِي حُرٍّ أَسَرَهُ الْعَدُوُّ، فَاشْتَرَاهُ رَجُلٌ مِنَ الْمُسْلِمِينَ،"
,
"He said: “He is to strive to recover the price (paid) from him, but he cannot make him a slave.”","قَالَ: يَسْعَى لَهُ فِي ثَمَنِهِ، وَلَا يَسْتَرِقُّهُ،"
He said: “The same is the case with the Ahl al-Dhimma.”,قَالَ: وَكَذَلِكَ أَهْلُ الذِّمَّةِ [ص:170]
Abu 'Ubayd said: This is what has come down to us about the ransoming of prisoners.,قَالَ أَبُو عُبَيْدٍ فَهَذَا مَا جَاءَ فِي فِدَاءِ الْأُسَارَى
"(341) As for their execution, Hajjaj related to us from Sharik from Salim from Sa'id ibn Jubayr, who said: “The polytheist prisoners are to be executed and ransom is not to be accepted unless they have been weakened through slaying.”","341 - وَأَمَّا قَتْلُهُمْ: فَحَدَّثَنَا حَجَّاجٌ، عَنْ شَرِيكٍ، عَنْ سَالِمٍ، عَنْ سَعِيدِ بْنِ جُبَيْرٍ، قَالَ: أُسَرَاءَ الْمُشْرِكِينَ يُقْتَلُونَ وَلَا يُفَادُوهُمْ حَتَّى يُثْخِنَ فِيهِمُ الْقَتْلُ"
,
,
He then recited the verse:,"وَقَرَأَ: {حَتَّى إِذَا أَثْخَنْتُمُوهُمْ فَشَدُّوا الْوَثَاقَ، فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً حَتَّى تَضَعَ الْحَرْبُ أَوْزَارَهَا} [محمد: 4]"
"Therefore, when ye meet the unbelievers (in fight) smite at their necks. At length, when ye have thoroughly subdued them bind (the captives) firmly; therefore (is the time for) either generosity or ransom, until the war lays down its burdens.'*",
"(342) Aba 'Ubayd related to us saying: 'Abd Allah ibn Salih related to us from Mu^wiya ibn Salih from 'Ali ibn Abi Talha from Ibn 'Abbas, who while commenting on the words of the Exalted, “It is not fitting for a Prophet that he should have prisoners”,","342 - حَدَّثَنَا أَبُو عُبَيْدٍ قَالَ: حَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنْ مُعَاوِيَةَ بْنِ صَالِحٍ، عَنْ عَلِيِّ بْنِ أَبِي طَلْحَةَ، عَنِ ابْنِ عَبَّاسٍ، فِي قَوْلِهِ تَبَارَكَ وَتَعَالَى: {مَا كَانَ لِنَبِيٍّ أَنْ يَكُونَ لَهُ أَسْرَى حَتَّى يُثْخِنَ فِي الْأَرْضِ} [الأنفال: 67]"
said: “This was after the Battle of Badr. The Muslims that day were few in number.,"قَالَ: "" كَانَ ذَلِكَ يَوْمَ بَدْرٍ، وَالْمُسْلِمُونَ يَوْمَئِذٍ قَلِيلٌ،"
,
"As their number increased and their authority enhanced, God, the Exalted, sent down the verse, ‘Either generosity or ransom, until the war lays down its burdens’?’",فَلَمَّا كَثُرُوا وَاشْتَدَّ سُلْطَانُهُمْ أَنْزَلَ اللَّهُ تَبَارَكَ وَتَعَالَى: {فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً} [محمد: 4]
This way He granted the Prophet (pbuh) and the believers discretion either to execute the prisoners or to set them free after taking ransom.”,"فَجَعَلَ اللَّهُ النَّبِيَّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ وَالْمُؤْمِنِينَ فِي الْأُسَارَى بِالْخِيَارِ، إِنْ شَاءُوا قَتَلُوهُمْ وَإِنْ شَاءُوا فَادُوهُمْ ""."
AbU HJbayd said: I believe he said: “They could show generosity (this is what Abu 'Ubayd doubted) and not enslave them.”,قَالَ أَبُو عُبَيْدٍ: أَظُنُّهُ قَالَ: «وَإِنْ شَاءُوا مَنُّوا عَلَيْهِمْ - شَكَّ أَبُو عُبَيْدٍ - وَلَمْ يَصِيرُوا عَبِيدًا»
"(343) He said: 'Abd al-Rahman and Hajjaj both related from Sufyan, who said: “I heard al-Suddi commenting on the words of the Exalted, ‘Either generosity or ransom, until the war lays down its burdens’.'","343 - قَالَ وَحَدَّثَنَا عَبْدُ الرَّحْمَنِ، وَحَجَّاجٌ، كِلَاهُمَا عَنْ سُفْيَانَ، قَالَ: سَمِعْتُ السُّدِّيَّ، يَقُولُ فِي قَوْلِهِ تَبَارَكَ وَتَعَالَى: {فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً} [محمد: 4]"
"He said, ‘This verse has been abrogated. It is abrogated by the verse, “Then fight and slay the pagans wherever ye find them.””’",قَالَ: هِيَ مَنْسُوخَةٌ نَسَخَهَا قَوْلُهُ {فَاقْتُلُوا الْمُشْرِكِينَ حَيْثُ وَجَدْتُمُوهُمْ} [التوبة: 5]
"(344) He said: Hajjaj related to us from Ibn Jurayj, who said: “It is abrogated, because the Messenger of God (pbuh) imprisoned and executed 'Uqba ibn Mu<it after the Battle of Badr.”","344 - قَالَ وَحَدَّثَنَا حَجَّاجٌ، عَنِ ابْنِ جُرَيْجٍ، قَالَ: هِيَ مَنْسُوخَةٌ، قَدْ قَتَلَ [ص:171] رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ عُقْبَةَ بْنَ أَبِي مُعَيْطٍ يَوْمَ بَدْرٍ صَبْرًا"
,
"(345) He said: Hushaym related to us, or it was related from him, from Abu Bishr from Sa'id ibn Jubayr that on the day of Badr, the Messenger of God (pbuh) executed three persons after they had been taken prisoners: 'Uqba ibn Abi Mu'it, al-Nadr ibn al-Harith and Mut'im ibn 'Adi.","345 - قَالَ وَحَدَّثَنَا هُشَيْمٌ - أَوْ حُدِّثْتُ عَنْهُ -، عَنْ أَبِي بِشْرٍ، عَنْ سَعِيدِ بْنِ جُبَيْرٍ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ "" قَتَلَ يَوْمَ بَدْرٍ ثَلَاثَةً صَبْرًا: عُقْبَةُ بْنُ أَبِي مُعَيْطٍ، وَالنَّضْرُ بْنُ الْحَارِثِ، وَمُطْعِمُ بْنُ عَدِيٍّ """
AbU 'Ubayd said: This is how Hushaym’s tradition is related. War historians deny the execution of Mut'im ibn 'Adi on this day.,"قَالَ أَبُو عُبَيْدٍ: هَكَذَا حَدِيثُ هُشَيْمٍ، فَأَمَّا أَهْلُ الْعِلْمِ بِالْمَغَازِي فَيُنْكِرُونَ مَقْتَلَ مُطْعِمِ بْنِ عَدِيٍّ يَوْمَئِذٍ،"
They say that he died in Makka before the incident of Badr.,"يَقُولُونَ: مَاتَ بِمَكَّةَ مَوْتًا قَبْلَ بَدْرٍ،"
,
"It was his brother Tu^ayma ibn 'Adi who was executed, but not after imprisonment.","وَإِنَّمَا قُتِلَ أَخُوهُ طُعَيْمَةُ بْنُ عَدِيٍّ، وَلَمْ يُقْتَلْ صَبْرًا،"
"He was slain in battle. What supports their view is the tradition that we have related from al-Zuhri that the Prophet (pbuh) said to Jubayr ibn Mut'im, when he discussed the matter of the prisoners with him: “Had an old man made the recommendation we would have accepted his recommendation.”","قُتِلَ فِي الْمَعْرَكَةِ، وَمِمَّا يُصَدِّقُ قَوْلَهُمُ الْحَدِيثُ الَّذِي ذَكَرْنَاهُ عَنِ الزُّهْرِيِّ: أَنَّ النَّبِيَّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ لِجُبَيْرِ بْنِ مُطْعِمٍ حِينَ كَلَّمَهُ فِي الْأُسَارَى"
,
"This old man was his father, Murim ibn 'Adi, so how could he have been slain this day, especially when the Prophet (pbuh) is making this statement about him.","شَيْخٌ لَوْ كَانَ أَتَانَا لَشَفَّعْنَاهُ، يَعْنِي أَبَاهُ مُطْعِمَ بْنَ عَدِيٍّ فَكَيْفَ يَكُونُ مَقْتُولًا يَوْمَئِذٍ، وَالنَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَقُولُ فِيهِ هَذِهِ الْمَقَالَةَ؟"
"There is no disagreement, however, about the execution of 'Uqba and al-Nadr.",وَأَمَّا مَقْتَلُ عُقْبَةَ وَالنَّضْرِ فَلَا يَخْتَلِفُونَ فِيهِ
(346) He said: Yazid ibn Hariln related to us from Muhammad ibn 'Amr ibn 'Alqama from his father from his grandfather from 'A’isha that “The Messenger of God (pbuh) laid siege to Banu Qurayza for twenty-five nights.,"346 - قَالَ حَدَّثَنَا يَزِيدُ بْنُ هَارُونَ، عَنْ مُحَمَّدِ بْنِ عَمْرِو بْنِ عَلْقَمَةَ، عَنْ أَبِيهِ، عَنْ جَدِّهِ، عَنْ عَائِشَةَ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ حَاصَرَ بَنِي قُرَيْظَةَ خَمْسَةً وَعِشْرِينَ لَيْلَةً،"
,
"When this trial became intense for them, it was said to them, ‘Submit to the decision of the Messenger of God (pbuh).’",فَلَمَّا اشْتَدَّ عَلَيْهِمُ الْبَلَاءُ قِيلَ لَهُمُ: انْزِلُوا عَلَى حُكْمِ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ
"They said, ‘We submit to the decision of Sa^ ibn Mu^adh.’","فَقَالُوا نَنْزِلُ عَلَى [ص:172] حُكْمِ سَعْدِ بْنِ مُعَاذٍ،"
"He said to them, ‘Submit then according to the decision of Sa(d.’","فَقَالَ لَهُمُ: انْزِلُوا عَلَى حُكْمِ سَعْدٍ،"
"The Messenger of God (pbuh) sent for Sa<d, and when he came the Messenger of God (pbuh) said to him, ‘Decide their affair.’","فَبَعَثَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ إِلَى سَعْدٍ، فَلَمَّا جَاءَ قَالَ لَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: احْكُمْ فِيهِمْ"
"He gave the decision that their fighting men be executed, their families imprisoned and their wealth be distributed.","فَحَكَمَ فِيهِمْ: أَنْ تُقْتَلَ مُقَاتِلَتُهُمْ، وَتُسْبَى ذَرَارِيُّهُمْ، وَتُقْسَمَ أَمْوَالُهُمْ"
"The Messenger of God (pbuh) said to him, ‘You decided their affair according to the commands of God and the commands of His Messenger.’”",فَقَالَ لَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «لَقَدْ حَكَمْتَ فِيهِمْ بِحُكْمِ اللَّهِ وَحُكْمِ رَسُولِهِ»
"(347) Ibn Abi Za’ida related to us from Hisham ibn 'Urwa from his father that “the Banu Qurayza surrendered to the decision of the Messenger of God (pbuh), and he delegated this authority to Sa<d ibn Mu'adh.","347 - وَحَدَّثَنَا ابْنُ أَبِي زَائِدَةَ، عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ، أَنَّ بَنِي قُرَيْظَةَ نَزَلُوا عَلَى حُكْمِ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَوَلَّاهَا رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ سَعْدَ بْنَ مُعَاذٍ،"
"He decided their affair as follows: that their fighting men be executed, their families be imprisoned and their wealth be distributed.","فَحَكَمَ فِيهِمْ أَنْ تُقْتَلَ مُقَاتِلَتُهُمْ، وَتُسْبَى ذَرَارِيُّهُمْ، وَتُقْسَمَ أَمْوَالُهُمْ،"
,
"The Messenger of God (pbuh) said, ‘You have decided their affair according to the hukm of God.’”",فَقَالَ لَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «لَقَدْ حَكَمْتَ فِيهِمْ بِحُكْمِ اللَّهِ»
,"348 - قَالَ حَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنِ اللَّيْثِ، قَالَ: وَحَدَّثَنِي أَبُو الزُّبَيْرِ، عَنْ جَابِرٍ، قَالَ: رُمِيَ يَوْمَ الْأَحْزَابِ سَعْدُ بْنُ مُعَاذٍ،"
"(348)He said: 'Abd Allah ibn Salih related to us from al-Layth, who said: “Abu al-Zubayr related to us from Jabir, who said: ‘Sa<d ibn Mu^hd was struck by an arrow during the Battle of al-Ahzab.",
His medial arm vein had to be cut and the Messenger of God (pbuh) cauterized the vein with an amber.,"فَقَطَعُوا أَكْحَلَهُ، فَحَسَمَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ بِالنَّارِ"
,
"His hand was inflamed and blood oozed out of it till he felt exhausted, so he cauterized it again, but the inflammation continued.","فَانْتَفَخَتْ يَدُهُ، فَنَزَفَهُ الدَّمُ فَحَسَمَهُ أُخْرَى، فَانْتَفَخَتْ يَدَهُ،"
,
"When he saw this he said, “O Lord, let my life not depart till I have cooled my eyes with the destruction of BanU Qurayza.”",فَلَمَّا رَأَى ذَلِكَ قَالَ: اللَّهُمَّ لَا تُخْرِجْ نَفْسِي حَتَّى تُقِرَّ عَيْنِي مِنْ بَنِي قُرَيْظَةَ
He then tied up his vein and not a drop flowed till they agreed to submit to Sa(d’s decision.,فَاسْتَمْسَكَ عِرْقُهُ فَمَا قَطَرَ قَطْرَةً حَتَّى نَزَلُوا عَلَى حُكْمِ سَعْدٍ
The Prophet (pbuh) sent for him and he decided that,"فَأَرْسَلَ إِلَيْهِ النَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَحَكَمَ أَنْ تُقْتَلَ رِجَالُهُمْ، وَتُسْتَحْيَى نِسَاؤُهُمْ وَذَرَارِيُّهُمْ؛ لِيَسْتَعِينَ بِهِمُ [ص:173] الْمُؤْمِنُونَ،"
"their fighting men be executed, and their women and children be kept alive so that the believers may employ them.",
"The Messenger of God (pbuh) said, “You have given the right decision according to the hukm of God.”",فَقَالَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «لَقَدْ أَصَبْتَ حُكْمَ اللَّهِ فِيهِمْ»
"There were four hundred of these fighting men. When he was free of their execution, his vein burst and he died?”","وَكَانُوا أَرْبَعَمِائَةٍ فَلَمَّا فُرِغَ مِنْ قَتْلِهِمُ انْفَتَقَ عِرْقُهُ، فَمَاتَ"
,
"(350) He said: 'Abd Allah ibn Salih related to us from al-Layth ibn Sa'd from 'Uqayl from Ibn Shihab, who said: “They submitted to the decision of Sa'd, and he decided that their men be executed and their families and wealth be divided. Such-and-such of their number were executed that day.”","349 - قَالَ حَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنِ اللَّيْثِ بْنِ سَعْدٍ، عَنْ عُقَيْلٍ، عَنِ ابْنِ شِهَابٍ، قَالَ: نَزَلُوا عَلَى حُكْمِ سَعْدٍ، فَقَضَى بِأَنْ تُقْتَلَ رِجَالُهُمْ، وَتُقْسَمَ ذَرَارِيُّهُمْ وَأَمْوَالُهُمْ، فَقُتِلَ مِنْهُمْ يَوْمَئِذٍ كَذَا كَذَا"
,
"(351) He said: Hushaym related to us saying: “'Abd al-Malik reported to us from 'Umayr from 'Atiyya al-Qurazi, who said: ‘I was brought before the Messenger of God (pbuh) on the day of Qurayza. They were in doubt about me (my age). The Messenger of God (pbuh) said, “Examine if his hair (in the armpits and pubic region) has grown.” They did so and there was no hair, so I was counted among the families.’”","قَالَ وَحَدَّثَنَا هُشَيْمٌ، قَالَ: أَخْبَرَنَا عَبْدُ الْمَلِكِ بْنُ عُمَيْرٍ، عَنْ عَطِيَّةَ الْقُرَظِيِّ، قَالَ: عُرِضْتُ عَلَى رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَوْمَ قُرَيْظَةَ، فَشَكُّوا فِيَّ، فَقَالَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: انْظُرُوا، هَلْ أَنْبَتَ؟ فَنَظَرُوا فَلَمْ أَكُنْ أَنْبَتُّ، فَجُعِلْتُ فِي الذُّرِّيَّةِ"
,
"(352) He said: Yahya related to us from Bukayr from Malik ibn Anas from Ibn Shihab from Anas ibn Malik that “the Messenger of God (pbuh) entered Makka on the day of the conquest wearing a mail of iron (under the helmet). It was said to him, ‘There is Ibn Khatal holding on to the drapes of the KaT)a.’ He said, ‘Slay him.’”","351 - قَالَ حَدَّثَنَا يَحْيَى بَنْ بُكَيْرٍ، عَنْ مَالِكِ بْنِ أَنَسٍ، عَنِ ابْنِ شِهَابٍ، عَنْ أَنَسِ بْنِ مَالِكٍ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ دَخَلَ مَكَّةَ يَوْمَ الْفَتْحِ وَعَلَيْهِ مِغْفَرٌ مِنْ حَدِيدٍ، فَقِيلَ: هَذَا ابْنُ خَطَلٍ مُتَعَلِّقًا بِأَسْتَارِ الْكَعْبَةِ فَقَالَ: «اقْتُلُوهُ»"
,
,
Abu 'Ubayd said: These are the narrations from the Messenger of God (pbuh) about the execution of the prisoners. The khalifas after him acted upon them.,"قَالَ أَبُو عُبَيْدٍ فَهَذَا مَا رُوِيَ عَنْ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فِي قَتْلِ الْأُسَارَى، وَقَدْ عَمِلَتْ بِهِ الْخُلَفَاءُ بَعْدَهُ"
"(353) He said: Hajjaj related to us from Ibn Jurayj from Ma'mar from 'Abd al-Karlm, who said: “Abu Bakr al-Siddiq received a letter about a polytheist prisoner of war for whom such-and-such ransom was being offered.",سقطمنالنسخة
,
"He wrote back, ‘Do not set him free on ransom; execute him.’”",
"32 The authentic report is that they were seven hundred, four hundred armed riders and three hundred foot soldiers.",سقطمنالنسخة
"33 That is, had the pubic hair grown it would have amounted to an indication of his having attained puberty.",
34 Maghfar is a mail that a warrior wears under the helmet.,
35 The effective cause here for their execution was not imprisonment alone; they had committed other acts that justified this.,
"36 This is because they had written to Abd Bakr that this polytheist had caused excessive damage to the Muslims; thus, his release was not in their interest.",
"37 Al-Dhahbl has stated in al-Mlzdn: “'Alwan ibn Dawod al-Bajali, the client of Jarir ibn 'Abd Allah, also called ‘Alwan ibn $alib. Al-Bukharl has said that he narrates munkar traditions. Al-'Uqayll says that he has traditions that arc not supported by others and are known only through him. Abd Sa'id ibn Ydnus said that he narrates munkar traditions. It is said that he died in the year 180 A.H.”",
"(354) He said: Sa(ld ibn 'Ufayr related to us saying: “'Alwan ibn Dawud, the client of Abu Zar<a ibn 'Amr ibn Jarir, related to us from Humayd ibn 'Abd al-Rahman ibn Humayd ibn 'Abd al-Rahman ibn 'Awf from Salih ibn Kaysan, and from Humayd ibn 'Abd al-Rahman ibn 'Awf from his father 'Abd al-Rahm3n, who said: ‘I visited Abu Bakr during his illness due to which he lost his life.","353 - قَالَ حَدَّثَنِي سَعِيدُ بْنُ عُفَيْرٍ، قَالَ: حَدَّثَنِي عُلْوَانُ بْنُ دَوَادَ، مَوْلَى أَبِي زُرْعَةَ بْنِ عَمْرِو بْنِ جَرِيرٍ، عَنْ حُمَيْدِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ حُمَيْدِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ عَوْفٍ، عَنْ صَالِحِ بْنِ كَيْسَانَ، عَنْ حُمَيْدِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ عَوْفٍ، عَنْ أَبِيهِ عَبْدِ الرَّحْمَنِ، قَالَ: دَخَلْتُ عَلَى أَبِي بَكْرٍ أَعُودُهُ فِي مَرَضِهِ الَّذِي تُوُفِّيَ فِيهِ،"
"I greeted him and said, “I see nothing wrong with you, praise be to God, and there is not a worry in the world.","فَسَلَّمْتُ عَلَيْهِ وَقُلْتُ: مَا أَرَى بِكَ بَأْسًا، وَالْحَمْدُ لِلَّهِ، وَلَا تَأْسَ عَلَى الدُّنْيَا،"
,
"By Allah, we have always found you working for the good.”","فَوَاللَّهِ إِنْ عَلِمْنَاكَ إِلَّا كُنْتَ صَالِحًا مُصْلِحًا،"
"He said, “I have no complaints either, except for three things I did that I wish I had not, three things I did not do that I wish I had, and three things about which I wish I had asked the Messenger of God (pbuh).","فَقَالَ: أَمَا إِنِّي لَا آسَى عَلَى شَيْءٍ إِلَّا عَلَى ثَلَاثٍ فَعَلْتُهُمْ، وَدِدْتُ أَنِّي لَمْ أَفْعَلْهُمْ، وَثَلَاثٍ لَمْ أَفْعَلْهُمْ وَوَدِدْتُ أَنِّي فَعَلْتُهُمْ، وَثَلَاثٌ وَدِدْتُ أَنِّي سَأَلْتُ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ عَنْهُمْ،"
"As for those I did, but wish I had not, I wish I had not done such-and-such” –",فَأَمَّا الَّتِي فَعَلْتُهَا وَوَدِدْتُ أَنِّي لَمْ أَفْعَلْهَا: فَوَدِدْتُ أَنِّي لَمْ أَكُنْ فَعَلْتُ كَذَا وَكَذَا لِخَلَّةٍ ذَكَرَهَا –
"Abu HJbayd said: “Because of the privacy of the matter, I do not wish to mention it”“-",قَالَ أَبُو عُبَيْدٍ: لَا أُرِيدُ ذِكْرَهَا –
"“I had wished on the day of Saqifa Banu Sa'ida,J to shift the burden (of the khilafa) to the shoulders of one of two people, 'Umar or Abu ^'Ubayda, so that he may have been the leader and I the minister.","وَوَدِدْتُ أَنِّي يَوْمَ سَقِيفَةِ بَنِي سَاعِدَةَ كُنْتُ قَذَفْتُ الْأَمْرَ فِي عُنُقِ أَحَدِ الرَّجُلَيْنِ: عُمَرَ، أَوْ أَبِي عُبَيْدَةَ، فَكَانَ أَمِيرًا وَكُنْتُ وَزِيرًا،"
,
"I had wished, when I sent Khalid to (fight) the Ahl al-Ridda, that I had stayed back at Dhu al-Qa$a. If the Muslims had been victorious so be it, otherwise I would have faced them or sent reinforcements.","وَوَدِدْتُ أَنِّي حَيْثُ كُنْتُ وَجَّهْتُ خَالِدًا إِلَى أَهْلِ الرِّدَّةِ أَقَمْتُ بِذِي الْقَصَّةِ، فَإِنْ ظَفَرَ الْمُسْلِمُونَ ظَفَرُوا وَإِلَّا كُنْتُ بِصَدَدِ لِقَاءٍ، أَوْ مَدَدٍ."
"“‘ “As for the three things that I did not do, but I wish I had: I had wished on the day they brought al-Ash^th ibn Qays to me as a prisoner that I had executed him, because it appears that he sides with disruption wherever he finds it.","وَأَمَّا الثَّلَاثُ الَّتِي تَرَكْتُهَا وَوَدِدْتُ أَنِّي فَعَلْتُهَا: فَوَدِدْتُ أَنِّي يَوْمَ أُتِيتُ بِالْأَشْعَثِ بْنِ قَيْسٍ أَسِيرًا كُنْتُ ضَرَبْتُ عُنُقَهُ، فَإِنَّهُ يُخَيَّلُ إِلَيَّ أَنَّهُ لَا يَرَى شَرًّا إِلَّا أَعَانَ عَلَيْهِ [ص:175]،"
"I wish I had not burned al-Faja^a,' when he was brought to me, and had either executed him swiftly or set him free.","وَوَدِدْتُ أَنَّنِي يَوْمَ أُتِيتُ بِالْفُجَاءَةِ لَمْ أَكُنْ أَحْرَقْتُهُ، وَكُنْتُ قَتَلْتُهُ سَرِيحًا، أَوْ أَطْلَقْتُهُ نَجِيحًا،"
"I wish that when I sent Khalid to Syria, I had sent ^'Umar to Iraq and this way I would have spread both my hands in the cause of God.","وَوَدِدْتُ أَنِّي حَيْثُ وَجَّهْتُ خَالِدًا إِلَى أَهْلِ الشَّامِ كُنْتُ وَجَّهْتُ عُمَرَ إِلَى الْعِرَاقِ، فَأَكُونُ قَدْ بَسَطْتُ يَدِي، يَمِينِي وَشِمَالِي فِي سَبِيلِ اللَّهِ."
"“‘ “As for the three things that I wish I had asked the Messenger of God (pbuh) about: I wish I had asked him about this authority (to rule) after him, so that people would not have disputed it.","وَأَمَّا الثَّلَاثُ الَّتِي وَدِدْتُ أَنِّي كُنْتُ سَأَلْتُ عَنْهَا رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: فَوَدِدْتُ أَنِّي سَأَلْتُهُ: فِيمَنْ هَذَا الْأَمْرُ، فَلَا يُنَازَعُهُ أَهْلُهُ؟"
I wish I had asked whether the Ansar have a share in this authority.,وَوَدِدْتُ أَنِّي كُنْتُ سَأَلْتُهُ: هَلْ لِلْأَنْصَارِ مِنْ هَذَا الْأَمْرِ مِنْ نَصِيبٍ؟
I wish I had asked him about the share (ininheritance) of the paternal aunt and brother’s daughter for I feel in my heart a need (right) here.” ’”,"وَوَدِدْتُ أَنِّي كُنْتُ سَأَلْتُهُ عَنْ مِيرَاثِ الْعَمَّةِ وَابْنَةِ الْأَخِ، فَإِنَّ فِي نَفْسِي مِنْهَا حَاجَةً"
