Al-Akhlâq wa’l-Siyar (Morals and Behaviour),الأخلاق والسير في مداواة النفوس
"Greed is a kind of covetousness which would like to possess everything; it is insatiable and ever increasing in its demands. If there were no such thing as covetousness, nobody would ever humiliate himself to anybody else.",والرغبة طمع مستوفى متزايد مستعمل ولولا الطمع ما ذل أحد لأحد.
Abû Bakr ibn Abû ibn al-Fayyâd has told me that ‘Uthmân bin Muhâmis [died 356 AH; 966 CE] inscribed upon the door of his house in Ecija [in Seville] “‘Uthmân covets nothing”.,وأخبرني أبو بكر بن أبي الفياض قال: كتب عثمان بن مُحامس [توفي رحمه الله تعالى عام 356هـ] على باب داره:يا عثمان! لا تطمع.
Other species of this kind,فصول في المحبة
A man made unhappy by the presence of a person he detests is like a man made unhappy by the absence of the person he loves. There is nothing to choose between them.,من امتحن بقرب من يكره كمن امتحن ببعد من يحب ولا فرق.
"When a lover wishes to forget, he is sure to be able to do so. This wish is always granted.","إذا دعا المحب في السلو، فإجابته مضمونة ودعوته مجابة."
"If you treat the person you live with with respect, he will treat you with respect.",إقنع بمن عندك يقنع بك من عندك.
"The man who is unhappy in love is the one who is racked by a passion for one whom he can keep locked away and with whom he may be united without incurring the wrath of God or the criticism of his fellow-men. All is well when the two lovers agree in loving each other. For love to run its course freely, it is essential that the two do not feel bored, for that is a bad feeling which gives rise to hatred. Perfect love would be if destiny forgot the two lovers while they were enjoying each other. But where could that happen except in Paradise?",السعيد في المحبة هو من ابتلي بمن يقدر أن يلقي عليه قفله ولا تلحقه في مواصلته تبعة من الله عز وجل ولا ملامة من الناس وصلاح ذاك أن يتوافقا في المحبة وتحريره أن يكونا خاليـين من الملل فإنه خلق سوء مبغض وتمامه نوم الأيام عنهما مدة انتفاع بعضهما ببعض وأنَّى بذلك إلا في الجنة.
"Only there can love be sure of shelter, for that is the home of everlasting stability. Otherwise, in the world, such feelings are not protected from misfortunes, and we go through life without ever tasting pleasure to the full.",وأما ضمانه بيقين فليس إلا فيها فهي دار القرار وإلا فلو حصل ذلك كله في الدنيا لم تؤمن الفجائع ولقطع العمر دون استيفاء اللذة.
"When jealousy dies, you may be sure that love has also died.",إذا ارتفعت الغيرة فأيقن بارتفاع المحبة.
"Jealousy is a virtuous feeling which is made of courage and justice; truly, a just man hates to infringe the sacred rights of others, and hates to see others infringe his own sacred rights. When courage is inborn in a person, it gives rise to a grandeur of spirit which abhors injustice.",الغيرة خلق فاضل متركب من النجدة والعدل لأن من عدل كره أن يتعدى إلى حرمة غيره وإن يتعدى غيره إلى حرمته ومن كانت النجدة طبعًا له حدثت فيه عزة ومن العزة تحدث الأنفة من الاهتضام.
A man whose fortunes I have followed during these times told me once that he himself had never known jealousy until he was racked by love. Only then did he feel jealous.,أخبرني بعض من صحبناه في الدهر عن نفسه أنه ما عرف الغيرة قط حتى ابتُلي بالمحبة فغار.
"This man was corrupt by nature, he was a bad character, but nevertheless he was perspicacious and generous.",وكان هذا المخبر فاسد الطبع خبيث التركيب إلا أنه كان من أهل الفهم والجود.
"There are five stages in the growth of love: first is to think someone pleasant, that is, someone thinks of someone else as being nice or is charmed by their character. This is part of making friends.",درج المحبة خمسة: أولها الاستحسان وهو أن يتمثل الناظر صورة المنظور إليه حسنة أو يستحسن أخلاقه وهذا يدخل في باب التصادق.
Then there is admiration; that is the desire to be near the person that one admires.,"ثم الإعجاب به وهو رغبة الناظر في المنظور إليه، وفي قربه."
Then there is close friendship when you miss the other one terribly when they are absent.,ثم الألفة وهي الوحشة إليه إذا غاب.
"Then there is amorous affection when you are completely obsessed with the loved one. In the special vocabulary of love this is called ‘ishq, “the slavery of love”.",ثم الكلف وهو غلبة شغل البال به وهذا النوع يسمى في باب الغزل بالعشق.
"Finally, there is passion, when one can no longer sleep, eat or think. This can make you ill to the point of delirium or even death. Beyond this, there is absolutely no place where love ends.",ثم الشغف وهو امتناع النوم والأكل والشرب إلا اليسير من ذلك وربما أدى ذلك إلى المرض أو إلى التوسوس أو إلى الموت وليس وراء هذا منزلة في تناهي المحبة أصلًا.
VII) Different Kinds of Physical Beauty,فصل في صباحة الصور وأنواعها
"When I was asked to examine this matter, this is how I responded:",وقد سئلت عن تحقيق الكلام فيها فقلت:
"Gracefulness consists of delicate features, supple movements, graceful gestures, a soul in harmony with the form which fate has given it, even where there is no visible beauty.",الحلاوة: رقة المحاسن ولطف الحركات وخفة الإشارات وقبول النفس لأعراض الصور وإن لم تكن ثم صفات ظاهرة.
"Allure is beauty of each feature regarded separately. But someone whose features are beautiful when considered separately can still appear cold and be without piquantness, charm, seductiveness or grace.",القوام: جمال كل صفة على حدتها ورب جميل الصفات على انفراد كل صفة منها بارد الطلعة غير مليح ولا حسن ولا رائع ولا حلو.
Seductiveness is the aura of the visible parts; it also goes by the name of elegance and attractiveness.,الروعة: بهاء الأعضاء الظاهرة [مع جمال فيها] وهي أيضًا الفراهة والعتق.
"Charm is a certain something which has no other name to explain it. It is the soul which perceives it, and everyone knows what it is as soon as they see it. It is like a veil covering the face, a shining light which draws all hearts to it so that all agree that it is beautiful, even if it is not accompanied by beautiful features. Anyone who sees it is seduced, charmed, enslaved, and yet if you looked at each feature separately you would find nothing special. It might be said that there is a certain unknown something which you see when you look into the soul. This is the supreme kind of beauty.",الحسن: هو الشيء ليس له في اللغة اسم يعبر به عنه ولكنه محسوس في النفوس باتفاق كل من رآه وهو برد مكسو على الوجه وإشراق يستميل القلوب نحوه فتجتمع الآراء على استحسانه وإن لم تكن هناك صفات جميلة فكل من رآه راقه واستحسنه وقبله حتى إذا تأملت الصفات إفرادًا لم تر طائلًا وكأنه شيء في نفس المرئي يجده نفس الرائي وهذا أجل مراتب الصباحة.
"However, tastes do differ. Some prefer seductiveness, others prefer gracefulness.",ثم تختلف الأهواء بعد هذا فمن مفضل للروعة ومن مفضل للحلاوة.
But I have never met anyone who preferred allure as such.,وما وجدنا أحدًا قط يفضل القوام المنفرد.
We call beauty piquant when there is a combination of some of these qualities.,الملاحة: اجتماع شيء فشيء مما ذكرنا.
VIII) Practical Morality,فصل فيما يتعامل الناس به في الأخلاق
"Fickleness, which is a fault, consists of switching from one way of life which is forced and senseless, to another way of life which is equally forced and senseless from one absurd state to an equally absurd state for no good reason.",التلون المذموم هو التنقل من زي متكلف لا معنى له إلى زي آخر مثله في التكلف وفي أنه لا معنى له ومن حال لا معنى لها إلى حال لا معنى لها بلا سبب يوجب ذلك.
"But a man who will adopt habits which suit his capabilities and his needs, and who will reject everything that is of no use to him [will be drawing on] one of the best sources of good sense and wisdom.",وأما من استعمل من الزي ما أمكنه مما به إليه حاجة وترك التزيد مما لا يحتاج إليه فهذا عين من عيون العقل والحكمة كبير.
"The Prophet (Allâh grant him blessing and greeting), the model of all goodness, whose character was praised by God, in whom God gathered together the most diverse and perfect virtues, and whom He kept from sin – the Prophet was in the habit of visiting the sick, accompanied by his friends. They went to the boundaries of Medina on foot, wearing neither boots nor sandals, hat nor turban. He wore clothes woven from the hair of wild beasts when he had them, or he might equally likely be wearing embroidered cloth if he had it, never wearing anything unnecessary and never forgetting anything necessary, content with what he had and doing without whatever he did not have.",وقد كان رسول الله صلى الله عليه وسلم وهو القدوة في كل خير والذي أثنى الله تعالى على خلقُه والذي جمع الله تعالى فيه أشتات الفضائل بتمامها وأبعده عن كل نقص يعود المريض مع أصحابه راجلًا في أقصى المدينة بلا خُفٍ ولا نعل ولا قلنسوة ولا عمامة ويلبس الشعر إذا حضره وقد يلبس الوشي من الحبرات إذا حضره ولا يتكلف ما لا يحتاج إليه ولا يترك ما يحتاج إليه ويستغني بما وجد عما لا يجد.
"Sometimes he would ride a fine mule or he would ride a horse bareback or a camel or a donkey, with a friend riding behind him. Sometimes he ate dates without bread, sometimes dry bread, sometimes he ate roast lamb, fresh melon, or halwa, taking as much as needed and sharing out the surplus, or leaving what he did not need and not forcing himself to take more than he needed. He was never angry when he found himself alone fighting for a cause, and he let nothing prevent him from anger when it was a question of God, the Almighty.",ومرة يمشي راجلًا حافيًا ومرة يلبس الخف ويركب البغلة الرائعة الشهباء ومرة يركب الفرس عريًا ومرة يركب الناقة ومرة يركب حمارًا ويردف عليه بعض أصحابه ومرة يأكل التمر دون خبز والخبز يابسًا ومرة يأكل العناق المشوية والبطيخ بالرطب والحلواء. يأخذ القوت ويبذل الفضل ويترك ما لا يحتاج إليه ولا يتكلف فوق مقدار الحاجة ولا يغضب لنفسه ولا يدع الغضب لربه عز وجل.
The perseverance which consists of keeping one’s word and the perseverance which is nothing but obstinacy are so alike that they can only be told apart by someone who knows what different characters are like.,الثبات الذي هو صحة العقد والثبات الذي هو اللجاج مشتبهان اشتباهًا لا يفرق بينهما إلا عارف بكيفية الأخلاق.
"The difference between the two kinds of perseverance is that obstinacy clings to error. Its actions are the actions of someone who persists in doing what he has decided upon when he knows that he is wrong, or when he does not know for sure whether he is right or wrong. Such obstinacy is wrong. The opposite of obstinacy is fairness.",والفرق بينهما أن اللجاج هو ما كان على الباطل أو ما فعله الفاعل نصرًا لما نشب فيه وقد لاح له فساده أو لم يلح له صوابه ولا فساده وهذا مذموم وضده الإنصاف.
"As for the kind of perseverance which consists of keeping one’s word, its actions are the actions of someone who is right, or who believes himself to be right, not having seen any reason not to believe this. This quality is worthy of praise, and its opposite is inconstancy.",وأما الثبات الذي هو صحة العقد فإنما يكون على الحق أو على ما اعتقده المرء حقًا ما لم يلح له باطله وهذا محمود وضده الاضطراب.
"Only the first of the two kinds of perseverance [obstinacy] is wrong, because it makes you lose the habit of thinking about a matter once it has been decided, and you stop wondering whether the decision is right or wrong.",وإنما يلام بعض هذين لأنه ضيع تدبر ما ثبت عليه وترك البحث عما التزم أحق هو أم باطل!
Good sense is defined as the practise of obedience to God and the practice of piety and the virtues.,حد العقل استعمال الطاعات والفضائل.
This definition implies avoidance of rebellion and vices.,وهذا الحد ينطوي فيه اجتناب المعاصي والرذائل.
"God has stated this clearly more than once in His holy book (the Qur’ân), emphasizing that anyone who disobeys Him is acting unreasonably.",وقد نص الله تعالى في غير موضع من كتابه على أن من عصاه لا يعقل.
"Speaking of certain people, the Almighty has said, “They will say: if we had listened, if we had understood, we would not be among the damned”, [67:10] and He has confirmed their words as true by saying, “They have recognized their own sins, so misfortune be to the damned.” [67:11]",قال الله تعالى حاكيًا عن قوم: {وَقَالُوا لَوْ كُنَّا نَسْمَعُ أَوْ نَعْقِلُ مَا كُنَّا فِي أَصْحَابِ السَّعِيرِ} ثم قال الله تعالى مصدقا لهم: {فَاعْتَرَفُوا بِذَنْبِهِمْ فَسُحْقًا لِأَصْحَابِ السَّعِيرِ} [الملك: 10-11].
Stupidity is defined as the practice of disobedience to God and the practice of vices.,وحد الحمق استعمال المعاصي والرذائل.
"As for going wild, throwing stones at people, not knowing what one is saying, that is lunacy and excess of bile.",وأما التعدي وقذف الحجارة والتخليط في القول فإنما هو جنون ومرار هائج.
"Stupidity is opposite of good sense, as we have shown above; and there is no middle point between good sense and stupidity unless it is ineptitude.",وأما الحمق فهو ضد العقل وهما ما بينا آنفًا ولا واسطة بين العقل والحمق إلا السخف.
"The definition of ineptitude is to work and speak in a way that neither serves religion nor the world nor a healthy morality. This is neither disobedience to God not obedience, it does not bring anybody else to such acts, it is neither a virtue nor a harmful vice. It consists only of drivelling and rambling about doing pointless things.",وحد السخف هو العمل والقول بما لا يحتاج إليه في دين ولا دنيا ولا حميد خلق مما ليس معصية ولا طاعة ولا عونًا عليهما ولا فضيلة ولا رذيلة مؤذية ولكنه من هذر القول وفضول العمل.
"According to whether these actions are frequent or rare, the person should be treated as more or less inept.",فعلى قدر الاستكثار من هذين الأمرين أو التقلل منهما يستحق المرء اسم السخف.
"Moreover he may be inept in one matter, sensible in another, stupid in a third.",وقد يسخف المرء في قصة ويعقل في أخرى ويحمق في ثالثة.
"The opposite of madness is the ability to discern and the ability to make free use of sciences and technical knowledge. It is what the ancients called the “faculty of reasoning"". There is no middle point between these two extremes.",وضد الجنون تمييز الأشياء ووجود القوة على التصرف في المعارف والصناعات وهذا الذي يسميه الأوائل النطق ولا واسطه بينهما.
"As for the art of conducting one’s affairs and flattering people by means that might win their good will and save a situation, such as false dealing, perversion or any other bad practices, and as for the tricks which allow one to amass a fortune or to increase one’s reputation or to achieve glory by means of a crime or every kind of base behaviour, these are avowed that they had lost their senses and whose words of God confirmed as true when He said that they had lost their senses, knew very well how to conduct their worldly affairs, own standing.",وأما إحكام أمر الدنيا والتودد إلى الناس بما وافقهم وصلحت عليه حال المتودد من باطل أو غيره أو عيب أو ما عداه والتحيل في إنماء المال وبعد الصوت وتسبيت الجاه بكل ما أمكن من معصية ورذيلة فليس عقلًا. ولقد كان الذين صدقهم الله في أنهم لا يعقلون وأخبرنا بأنهم لا يعقلون سائسين لدنياهم مثمرين لأموالهم مدارين لملوكهم حافظين لرياستهم.
"This characteristic is called astuteness, and the opposite of it is intelligence and honesty.",لكن هذا الخلق يسمى الدهاء وضده العقل والسلامة.
"However if, in order to achieve these same ends, someone acted with reserve and dignity, this would be firmness. Its opposite is weakness or wasting.",وما إذا كان السعي فيما ذكرنا بما فيه تصاون وأنفة فهو يسمى الحزم وضده المنافي له التضييع.
"To be serious, to know how to put each word in the right place, to preserve moderation in the way that you conduct your life, to show courtesy towards anyone who comes to you, that is called steadiness and is the opposite of ineptitude.",وأما الوقار ووضع الكلام موضعه والتوسط في تدبير المعيشة ومسايرة الناس بالمسالمة فهذه الأخلاق تسمى الرزانة وهي ضد السخف.
"The virtue of keeping one’s word is made up of fairness, generosity and courage.",والوفاء مركب من العدل والجود والنجدة لأن الوفي رأى من الجور أن لا يقارض من وثق به أو من أحسن إليه فعدل في ذلك.
"Because a trustworthy man thinks it is unfair to deceive anyone who has put his trust in him or anyone who has done him a good deed, he acts with fairness. Because he wishes to help to repair the injustices of fate as quickly as possible, he acts with generosity. Because he has decided to bear without flinching all the likely consequences of his fidelity, he is courageous.",ورأى أن يسمح بعاجل يقتضيه له عدم الوفاء من الحظ فجاد في ذلك ورأى أن يتجلد لما يتوقع من عاقبة الوفاء فشجع في ذلك.
"The virtues have four roots which form all virtue. They are: fairness of justice, intelligence, courage and generosity.",أصول الفضائل كلها أربعة عنها تتركب كل فضيلة وهي: العدل والفهم والنجدة والجود.
"The vices have four roots which are the basis of all faults and which are the opposite of the constituents of the virtues. They are: unfairness, ignorance, cowardice and greed.",أصول الرذائل كلها أربعة عنها تتركب كل رذيلة وهي أضداد الذي ذكرنا وهي: الجور والجهل والجبن والشح.
Honesty and temperance are two kinds of fairness and generosity.,الأمانة والعفة نوعان من أنواع العدل والجود.
Here are some lines of my poetry dealing with morals.,ومما قلته في الأخلاق:
Abû Muhammad Alî ibn Ahmad says:,قال أبو محمد علي بن أحمد:
The spirit is the foundation morals build the fortress upon it. If the spirit does not adorn itself with knowledge it will surely find itself in distress. An ignorant person is surely blind and does not see where he is going. If knowledge is not paired with justice it is deceitful. If justice is not paired with generosity it is oppressive. Generosity depends on courage. Cowardice is deceitful. Keep yourself in check if you are jealous A jealous person has never yet committed adultery. All these virtues are sublimated in piety. Truth spreads light when it is spoken. It is from the roots of Good that springs vows [that bring us neared to God].,"إنما العقل أساس فوقه الأخلاق سور فحلِّ العقل بالعـــــلم وإلا فهو بور جاهل الأشياء أعمى لا يرى كيف يدور وتمام العلم بالعدل وإلا فهو زور وزمام العدل بالجـــــود وإلا فيجور وملاك الجود بالنجــــدة والجبن غرور عف إن كنت غيورًا، ما زنى قط غيور وكمال الكل بالتقوى، وقول الحق نور ذي أصولُ الفضل عنــها، حدثت بعد البذور"
And here some other lines of poetry in my style:,ومما قلته أيضًا:
"The reins which control all the virtues are Justice, intelligence, generosity and strength.",زمام أصول جميع الفضائل ... عدل وفهم وجود وبأس
The other virtues are composed of these four. Anyone who possesses them is at the head of his people.,فمن هذه ركبت غيرها فمن ... حازها فهو في الناس رأس
Likewise it is in the head that one finds The qualities of good sense that enable one to resolve all difficulties.,كذا الرأس فيه الأمور التي ... بإحساسها يكشف الالتباس
Disinterest as a human quality is a virtue which is made up of courage and generosity. The same is true of patience.,النزاهة في النفس فضيلة تركبت من النجدة والجود وكذلك الصبر.
Magnanimity is one kind of courage. It does not have an opposite.,الحلم نوع مفرد من أنواع النجدة.
Moderation is a virtue which is made up of generosity and fairness.,القناعة فضيلة مركبة من الجود والعدل.
"Ruthlessness arises from covetousness, and covetousness arises from envy. Envy arises from desire, and desire arises from injustice, greed and ignorance. Ruthlessness gives rise to great vices, such as servility, theft, anger, adultery, murder, passions and fear of poverty.",والحرص متولد عن الطمع والطمع متولد عن الحسد ويتولد من الحرص رذائل عظيمة منها الذل والسرقة والغصب والزنا والقتل والعشق والهم بالفقر.
"To beg for something that belongs to someone else stems from a tendency which is midway between ruthlessness and covetousness. If we make a distinction between ruthlessness and covetousness, it is only because ruthlessness reveals the covetousness that is hidden in the soul.",والمسألة لما بأيدي الناس تتولد فيما بين الحرص والطمع وإنما فرقنا بين الحرص والطمع لأن الحرص هو بإظهار ما استكن في النفس من الطمع.
The art of dealing with people is a quality composed of magnanimity and patience.,والمداراة فضيلة متركبة من الحلم والصبر.
Truthfulness is composed of justice and courage.,الصدق مركب من العدل والنجدة.
"Anyone who comes to you with lies will go away with truths; that is to say, anyone who repeats to you lies which he attributes to a third person will make you beside yourself with rage; you will respond to him, and your response is the truth that he will carry away. Therefore be careful not to behave like this, and only answer when you are certain about the provenance of the lies.",من جاء إليك بباطل رجع من عندك بحق وذلك أن من نقل إليك كذبًا عن إنسان حرك طبعك فأجبته فرجع عنك بحق فتحفظ من هذا ولا تجب إلا عن كلام صح عندك عن قائله.
There is nothing worse than falsehood. For how do you regard a vice which has as one of its varieties disbelief or impiety itself? For all disbelief is falsehood. Falsehood is the genus and disbelief is one of its species.,لا شيء أقبح من الكذب وما ظنك بعيب يكون الكفر نوعًا من أنواعه فكل كفر كذب فالكذب جنس والكفر نوع تحته.
"Falsehood arises from wickedness, cowardice and ignorance. Truly, cowardice debases the soul. A liar has a vile soul which is far away from achieving a greatness worthy of praise.",والكذب متولد من الجور والجبن والجهل لأن الجبن يولد مهانة النفس والكذاب مهين النفس بعيد عن عزتها المحمودة.
"If we categorize people by the way of their speaking – and, remember, it is speech that distinguishes mankind from donkeys, dogs and vermin – we can divide them into three groups: the first kind do not worry about what they pass on, they say everything that comes into their heads, without keeping to the truth or correcting mistakes, and this is the case with the majority of people.",رأيت الناس في كلامهم الذي هو فصل بينهم وبين الحمير والكلاب والحشرات ينقسمون أقسامًا ثلاثة: أحدها: من لا يبالي فيما أنفق كلامه فيتكلم بكل ما سبق إلى لسانه غير محقق نصر حق ولا إنكار باطل وهذا هو الأغلب في الناس.
"Another group speak in order to defend their own fixed opinions, or to protest against what they believe to be false, without trying to establish the truth, merely holding their ground. This is frequently the case, but it is not so serious as the first group.",والثاني: أن يتكلم ناصرًا لما وقع في نفسه أنه حق ودافعًا لما توهم أنه باطل غير محقق لطلب الحقيقة لكن لجاجًا فيما التزم وهذا كثير وهو دون الأول.
The third group makes use of language in the way of God intended and this is more precious than red sulphur.,"والثالث: واضع الكلام في موضعه، وهذا أعز من الكبريت الأحمر."
Endless anxiety awaits a man who is goaded or irritated by justice.,لقد طال هم من غاظه الحق.
"Two kinds of people live a life without care: one kind are extremely worthy of praise, the other kind are those who care nothing for the pleasures of this world, and those who care nothing for haya’, modesty.",اثنان عظمت راحتهما: أحدهما: في غاية المدح والآخر في غاية الذم وهما مطرح الدنيا ومطرح الحياء.
"To distance ourselves from the vanities of the world it should suffice to remember that every night every man alive, in his sleep, forgets everything that worried him during the day, all his fears, all his hopes.",لو لم يكن من التزهيد في الدنيا إلا أن كل إنسان في العالم فإنه كل ليلة إذا نام نسي كل ما يشفق عليه في يقظته وكل ما يشفق منه وكل ما يشره إليه.
"He no longer remembers his children or his parents, glory or obscurity, high social responsibilities or unemployment, poverty or riches, nor catastrophes. Such a lesson should be sufficient for a thoughtful person.",فتجده في تلك الحال لا يذكر ولدًا ولا أهلًا ولا جاهًا ولا خمولًا ولا ولاية ولا عزلة ولا فقرًا ولا غنى ولا مصيبة وكفي بهذا واعظًا لمن عقل.
"One of the most marvellous arrangements in God’s world is that He has made the thing that are most necessary also the most easily attainable, as can be seen in the case of water and the thing which is even more necessary.",من عجيب تدبير الله عز وجل للعالم أن كل شيء اشتدت الحاجة إليه كان ذلك أهون له وتأمل ذلك في الماء فما فوقه.
"(i.e. air) And the less essential a thing is, the rarer it is, as can be seen in the case of sapphires and things which are even less useful.",وكل شيء اشتد الغنى عنه كان ذلك أعز له وتأمل في الياقوت الأحمر فما دونه.
"With all the worries, a man is like someone walking across a desert. Every time that he crosses a certain area, he sees other areas opening in front of him. Likewise, every time that a man gets something done, he finds other tasks piling up.",الناس فيما يعانونه كالماشي في الفلاة كلما قطع أرضًا بدت له أرضون وكلما قضى المرء سببًا حدثت له أسباب.
That man was right who said that the good have a hard time in this world.],صدق من قال: إن العاقل معذب في الدنيا.
But the man who said that the good are at rest was also right.,وصدق من قال إنه فيها مستريح.
"The good do suffer from all the evil that they see spread over everything, dominating it, and all the appearances of justice which rear up between true justice and themselves. But their calmness comes from [their indifference to] all the vanities of this world which so worry the rest of mankind.",فأما تعبه ففيما يرى من انتشار الباطل وغلبة دولته وبما يحال بينه وبينه من إظهار الحق وأما راحته فمن كل ما يهتم به سائر الناس من فضول الدنيا.
"Take care not to agree with a wicked speaker, not to help your contemporaries by doing anything which might harm you in this world or the next – however little – for you will reap nothing but regret, at a time when regret will not help you at all. The man you helped will not thank you. On the contrary, he will rejoice at your misfortune, or, at least – you may be certain – he will be indifferent to the bad results [of your action] and your sad ending.",إياك وموافقة الجليس السيء ومساعدة أهل زمانك فيما يضرك في أخراك أو في دنياك وإن قل فإنك لا تستفيد بذلك إلا الندامة حيث لا ينفعك الندم ولن يحمدك من ساعدته بل يشمت بك. وأقل ما في ذلك وهو المضمون أنه لا يبالي بسوء عاقبتك وفساد مغبتك.
"But guard against contradicting the speaker and opposing your contemporaries to the extent that you harm yourself in this world or the next, however little.","وإياك ومخالفة الجليس ومعارضة أهل زمانك فيما لا يضرك في دنياك ولا في أخراك، وإن قل."
"You will reap only loss, hostility and enmity. You may even allow yourself to take sides, and you may suffer considerable trials which will be of no benefit [to you] whatsoever.",فإنك تستفيد بذلك الأذى والمنافرة والعداوة وربما أدى ذلك إلى المطالبة والضرر العظيم دون منفعة أصلًا.
"If you have to choose between annoying people or annoying the Almighty, and if there is no way out except either to run away from the right or to run away from the people, you should choose to annoy the people and run away from them, but do not annoy your God, do not run away from injustice.",إن لم يكن بد من إغضاب الناس أو إغضاب الله عز وجل ولم يكن لك مندوحة عن منافرة الخلق أو منافرة الحق فاغضب الناس ونافرهم ولا تغضب ربك ولا تنافر الحق.
"You should imitate the Prophet – peace be upon him – when he preached to the ignorant, the sinful and the wicked. Anyone who preaches drily and cheerlessly is doing wrong and is not applying the Prophet’s method. Such preaching would usually only drive his audience to persist in their wicked ways, from obstinacy, anger and rage against the insolent sermonizer. He would then have done bad with his talk, not good.",الاتساء بالنبي صلى الله عليه وسلم في وعظ أهل الجهل والمعاصي والرذائل واجب فمن وعظ بالجفاء والاكفهرار فقد أخطأ وتعدى طريقته صلى الله عليه وسلم وصار في أكثر الأمر مغريًا للموعوظ بالتمادي على أمره لجاجًا وحردًا ومغايظة للواعظ الجافي فيكون في وعظه مسيئًا لا محسنًا.
"But a man who exhorts in a friendly fashion, with a smile and with gentleness, putting on the appearance of offering advice and seeming to be speaking of a third person when he criticizes the faults of the one he is speaking to, then his words reach farther and have more effect.",ومن وعظ ببشر وتبسم ولين وكأنه مشير برأي ومخبر عن غير الموعوظ بما يستفتح من الموعوظ فذلك أبلغ وأنجع في الموعظة.
"But if they are not well received, he should go on to exhort or to appeal to the man’s sense of shame, but only in private. And if [his advice] is still not taken, he should speak in the presence of someone who will make the sinner change. This is the practice which God ordains when He commands the use of “courteous terms”.",فإن لم يتقبل فلينتقل إلى الموعظة بالتحشيم وفي الخلاء فإن لم يقبل ففي حضرة من يستحي منه الموعوظ فهذا أدب الله في أمره بالقول واللين.
"The Prophet used not to address his listeners directly; instead, he would say to them “What are they thinking of, the people who do such thing?…” Peace be upon him!",وكان صلى الله عليه وسلم لا يواجه بالموعظة لكن كان يقول: «ما بال أقوام يفعلون كذا».
"He praised gentleness, commended us to be tolerant and not to argue.",وقد أثنى عليه الصلاة والسلام على الرفق. وأمر بالتيسير ونهى عن التنفير.
He varied his sermons so as not to be boring.,وكان يتخول بالموعظة خوف الملل.
"And God has said, “If you are harsh, and hardhearted, they would have scattered from about you.” [Qur’ân 3:159.]",وقال تعالى: {وَلَوْ كُنْتَ فَظًّا غَلِيظَ الْقَلْبِ لَانْفَضُّوا مِنْ حَوْلِكَ} [آل عمران: 159].
Severity and hardness should not be used except to inflict the punishment ordained by God. A man who has been given special authority to inflict such punishment must not be gentle.,وأما الغلطة والشدة فإنما تجب في حد من حدود الله تعالى فلا لين في ذلك للقادر على إقامة الحد خاصة.
"Something which can also have a good effect in a sermon is to praise, in the presence of a wrongdoer, somebody who has acted differently. This is an incitement to behave better.",ومما ينجع في الوعظ أيضًا الثناء بحضرة المسيء على من فعل خلاف فعله فهذا داعية إلى عمل الخير.
I know no other benefit of the love of praise: a person who hears another being praised models himself on him.,وما أعلم لحب المدح فضلًا هذا وحده وهو أن يقتدي به من يسمع الثناء.
"It is for this reason that we should tell stories of virtue and vice, so that anyone who hears them may turn away from the wicked deed that he hears others have done and accomplish the good deeds that he hears that others have done, so learning from history.",ولهذا يجب أن تؤرخ الفضائل والرذائل لينفر سامعها عن القبيح المأثور عن غيره ويرغب في الحسن المنقول عمن تقدمه ويتعظ بما سلف.
"V) Friends, Close Friends, and the Exchange of Advice",فصل في الإخوان والصداقة والنصيحة
"I have considered everything that lives beneath the skies, I have reflected long upon it, and I have observed that everything that exists, whether animate or inanimate, has a natural tendency to build itself up by divesting the other species of their characteristics and investing them with his own. Thus, a virtuous man hopes that all mankind will become virtuous and the sinner hopes that all mankind will become sinful.",تأملت كل ما دون السماء وطالت فيه فكرتي فوجدت كل شيء فيه من حي وغير حي من طبعه إن قوي أن يخلع عن غيره من الأنواع كيفياته ويلبسه صفاته فترى الفاضل يود لو كان الناس فضلاء وترى الناقص يود لو كان الناس نُقَصاء.
"One may observe that everybody who recalls a past action of their own which they incite others to imitate says, “I always do such and such”; someone with a doctrine wishes that everybody would agree with him. This phenomenon can also be seen among the elements: when some become strong than others, they change them to their own substance: you can see how trees are formed, and how plants and trees are nourished by transforming water and the moisture in the soil to their own substance. For this may glory be given to Him who created and organized all things, the is no other God but He.",وترى كل من ذكر شيئًا يحض عليه يقول: وأنا أفعل أمرًا كذا. وكل ذي مذهب يود لو كان الناس موافقين له وترى ذلك في العنصر إذا قوي بعضها على بعض أحاله إلى نوعيته وترى ذلك في تركيب الشجر وفي تغذي النبات والشجر بالماء ورطوبة الأرض وإحالتهما ذلك إلى نوعيتهما فسبحان مخترع ذلك ومدبره لا إله إلا هو.
"One of the most astonishing manifestations of God’s power is that [despite] the great number of creatures that exist, you never see one so alike another that there is no difference between them.",من عجيب قدرة الله تعالى كثرة الخلق ثم لا ترى أحدًا يشبه آخر شبهًا لا يكون بينهما فيه فرق.
"I asked a man who was very old and had reached his eighties whether he had ever seen in the past any form that resembled somebody nowadays to the point of being identical. “No,” he replied, “on the contrary, every form has something distinctive about it.”",وقد سألت من طال عمره وبلغ الثمانين عامًا: هل رأى الصور في ما خلا مشبهة لهذه شبهًا واحدًا فقال لي: لا بل لكل صورة فرقها.
The same is true of everything that exists in the world.,وهكذا كل ما في العالم يعرف ذلك.
