"With the Name of Allah, the All-Merciful, the Most Merciful",بسم الله الرحمن الرحيم
"So spending in prosperity and adversity necessitates the utmost degree of kindness whether it be a lot or a little. Meanwhile to hide ones anger and pardon mankind requires the need to not deal with people in the same evil way as they may have done, both in action or speech.","فالإنفاق في السراء والضراء يقتضي غاية الإحسان بالمال من الكثرة والقلة، وكظم الغيظ والعفو عن الناس يقتضي عدم المقابلة على السيئة من قول وفعل،"
"All of this implies softening the speech, while avoiding lewdness or harshness even if it is allowed. This is the highest level of kindness, for this reason the Most High says: ‘Allah loves the doers of good” [Al-Imran (3): 134]","وذلك يتضمن إلانة القول، واجتناب الفحش والإغلاظ في المقال ولو كان مباحاً، وهذا نهاية الإحسان، فلهذا قال تعالى: (والله يحبُّ المحسنين)."
"From this (verse) is the statement of some whilst being asked about good manners, so one of them said: ‘Being open handed with nada and withholding of harm. This description is mentioned in the Qur’an in a more comprehensive way, because it describes them as bestowing generously and bearing the harm from others with patience.’","ومن هذا قول بعضهم وقد سُئل عن حسن الخلق، فقال: بذل الندى وكف الأذى. وهذا الوصف المذكور في القرآن أكمل من هذا، لأنه وصفهم ببذل الندى، واحتمال الأذى."
"With good manners, the servant may reach levels of those who exert much effort in worship, as Prophet (PBUH) said: “A person with his good manners, may reach a level of a person who constantly fasts during the day and stands (in prayer) during the night”","وحسن الخلق يبلغ به العبد درجات المجتهدين في العبادة، كما قال النبي : "" إن الرجل ليدرك بحسن خلقه درجة الصائم النهار، القائم الليل ""."
One of the Salaf was seen in a dream. So he was asked about some of his righteous brethren to which he said: ‘He was raised in Paradise due to this good manners.’,"ورؤي بعض السلف في المنام فسئل عن بعض إخوانه الصالحين، فقال: وأين ذلك؟! رُفع في الجنة بحُسن خلقه.
"
"Furthermore, soft speech is recommended for enjoining the good and forbidding the evil. It should be done with gentleness as the Most High says regarding the disbelievers: “And argue with them in the most kindly manner.” [al-Nahl (16): 125]","ومما يُندب إلى إلانة القول فيه: الأمر بالمعروف والنهي عن المنكر، وأن يكون برفق كما قال تعالى في حق الكفار: (وجادِلهم بالتي هيَ أحسنُ)، قال بعض السلف: ما أغضبت أحداً فقبل منك."
"One of the Salaf said: ‘You will never cause someone to be angry with you, except they will not accept anything from you.’ The companions of Ibn Mas'uud (radiyAllahu anhu) use to say to people when they saw them doing something disliked: ‘Take it easy, may Allah bless you.’ One of the tabi'in saw a man standing with a woman so he said to them both: 'Indeed Allah sees you both, may Allah cover us and you.","وكان أصحاب ابن مسعود إذا رأوا قوماً على ما يُكره يقولون لهم: مهلاً مهلاً بارك الله فيكم. ورأى بعض التابعين رجلاً واقفاً مع امرأة فقال لهما: إن الله يراكما، سترنا الله وإياكما."
"Al-Hasan was called to share some food. A silver container was brought that had a sweet dish in it, so he took out the food and put it on his bread and ate from it. Some of those present said: 'This is forbidding the evil in silence.","ودُعي الحسن إلى دعوة، فجيء بآنيةٍ فضةٍ فيها حلواء، فأخذ الحسن الحلواء فقلبها على رغيف وأكل منها، فقال بعض من حضر: هذا نهيٌ في سكون.
"
Fudayl Ibn 'Iyad saw a man fiddling around in his prayer so he restrained him roughly. The man said to him: ‘O you! Who instructs good for Allah’s sake you ought be gentle.’ So Fudayl cried and said: You are right.,"ورأى الفضيل رجلاً يعبث في صلاته فزبره، فقال له الرجل: يا هذا! ينبغي لمن يقوم لله أن يكون ذليلاً، فبكى الفضيل، وقال له: صدقت."
"Shu'ayb Ibn Harb said: ‘Sufyan Al-Thawri would pass by a gathering of people playing chess and he would ask: ""What are you doing?’ It would be said to him: ‘O father of ‘Abdullah they looking at a book.’ So he would lower his head and keep walking showing that he was displeased with what they were actually doing.’","قال شعيب بن حرب: ربما مر سفيان الثوري بقوم يلعبون الشطرنج، فيقول: ما يصنع هؤلاء؟ فيقال له: يا أبا عبد الله ينظرون في كتاب. فيُطأطيء رأسه ويمضي، وإنما يريد بذلك ليُعلم أنه قد أنكر."
"Sufyan said: ""No one enjoins the good or forbids the evil except one who possesses three characteristics: being gentle with what he enjoins, and gentle when he forbids something. Also being just when he enjoins the good and forbids the evil. All the while having knowledge film of both what he is enjoining and forbidding.’","وقال سفيان: لا يأمر بالمعروف ولا ينهى عن المنكر إلا من كان فيه خصال ثلاث: رفيق بما يأمر، رفيق بما ينهى، عدل بما يأمر، عدل بما ينهى، عالم بما يأمر، عالم بما ينهى."
"Imam Ahmad said: ‘People are in need of humouring and gentleness when it comes to enjoining good and forbidding evil, except for a man who is openly flagrant in sinning then he has no sanctity.’","وقال الإمام أحمد: الناس يحتاجون إلى مداراة ورفق في الأمر بالمعروف بلا غلظة إلا رجلاً معلناً بالفسق فإنه لا حرمة له.
"
"Many of the Salaf would enjoin the good and prevent people from vices in secret. Umm Dardaa' said: ‘Whoever admonishes his brother in secret has beautified him, and whosoever does so openly has disgraced him.’","وكان كثير من السلف لا يأمر بالمعروف ولا ينهى عن المنكر إلا سراً فيما بينه وبين من يأمره وينهاه. وقالت أم الدرداء: من وعظ أخاه سراً فقد زانه، ومن وعظه علانية فقد شانه.
"
"Likewise, confronting hurtful words with soft speech. Allah says: “Repel the evil deed with something that is better.” [Fussilat (41): 34] And He the Most High says: “And prevent evil with good—it is they who will have the Ultimate Abode.” [al-Ra'd (13): 22]","وكذلك مقابلة الأذى بإلانة القول كما قال تعالى: (ادفعْ بالتي هيَ أحسنُ)، وقال تعالى: (ويدرَؤُن بالحسنةِ السيئةَ أولئك لهم عُقْبى الدارِ)،"
"Some of the Salaf said: ‘The man would revile another man (for some reason) so he would say back to him: ‘If you are truthful in what you say then may Allah forgive me, and if you are untruthful then may Allah forgive you.”
Once on a journey Salim Ibn ‘Abdullah’s riding beast clashed with another mans. So the man said to him: ‘I see you as an evil man!’ Salim in reply said to him: ‘I don’t see you trying to keep away!’","قال بعض السلف: هو الرجل يسبه الرجل فيقول له: إن كنت صادقاً فغفر الله لي، وإن كنت كاذباً فغفر الله لك. قال رجل لسالم بن عبد الله وقد زحمت راحلتُه راحلتَه في سفر: ما أراك إلا رجل سوء. فقال له سالم: ما أراك أبعدت.
"
A woman said to Malik Ibn Dinar: ‘You are show off.’ He said: ‘When did you come to know my name?’ No one else but you know me from the people of Basrah (meaning you might be right).,وقالت امرأة لمالك بن دينار: يا مُرائي!. قال: متى عرفت اسمي؟! ما عرفه أحد من أهل البصرة غيرك.
"Some of them passed by a group of children playing with coconuts, they tread on some of them and cracked them unintentionally, so one of the children said to him: ‘O Shaikh of the fire (out of anger).’ So the Shaikh sat down and wept saying: ‘No one else but he knows me.’","ومر بعضهم على صبيان يلعبون بجوز، فوطئ على بعض الجوز بغير اختياره فكسره، فقال له الصبي: يا شيخ النار! فجلس الشيخ يبكي ويقول: ما عرفني غيره."
"Others passed by some people with their companions along the path and ash was thrown on them. So the Shaikh said to his companions: ‘Whoever deserves the fire let him reconcile himself with the ash (i.e. free yourself from doing wrong), if he wants to be a winner.’","ومر بعضهم مع أصحابه في طريق فرموا عليهم رماداً، فقال الشيخ لأصحابه: من يستحق النار فصالحوه على الرماد؟! يعني فهو رابح.
"
"A solider saw Ibrahim Ibn Adham outside town and so he asked about the civilization there, so he pointed to the graves, then hit his head and carried on. Then it was told to the solider that is Ibrahim Ibn Adham. So he went back to him and apologised so Ibrahim said to him: ‘A head that needs an apology I have left in Balakh (A place in Afghanistan).’","ورأى جندب إبراهيم بن أدهم خارج البلد فسأله عن العمران، فأشار له إلى القبور، فضرب رأسه ومضى، فقيل له إنه إبراهيم بن أدهم! فرجع يعتذر إليه، فقال له إبراهيم: الرأي الذي يحتاج إلى اعتذارك تركته ببلخ."
Another solider passed by him while he was looking at a garden belonging to a group of people for rent. So he asked him if he could take something but he never did and said: ‘The people of this garden have not given us permission/ He then hit his head and starting to shake his head while saying I will hit a head as long as it disobeys Allah.,"ومر به جندي آخر وهو ينظر بستاناً لقوم بأجرة، فسأله أن يناوله شيئاً فلم يفعل وقال: إن أصحابه لم يأذنوا لي في ذلك. فضرب رأسه، فجعل إبراهيم يطأطئ رأسه وهو يقول: اضرب رأساً طالما عصا الله.
"
,"من أجلك قد جعلتُ خدِّي أرضاً *** للشامت والحسود حتى ترضى
"
[5.3. The Third Ranks is Praying at Night],
The third of these ranks: Praying at night while people are sleeping. The night prayer is something that will necessitate Paradise as mentioned before in more than one hadith.,""" الثالث من الدرجات "": الصلاة بالليل والناس نيام فالصلاة بالليل من موجبات الجنة كما سبق ذكره في غير حديث،"
"The statement of Allah, the Mighty and Majestic shows: “Indeed, the righteous will be among gardens and springs. Enjoying what their Lord has given them. Certainly, in the past they were doers of good. The part of the night they spent asleep was small. And in the hours before dawn they would pray for forgiveness. And beggers and the destitute received a due share of their wealth.” [al-Dhaariyaat (51): 15-19]","وقد دل عليه قول الله عز وجل: (إنَّ المتقين في جناتٍ وعُيونٍ "" آخذين مآ آتاهم ربُّهم إنهم كانوا قبلَ ذلك مُحسنين "" كانوا قليلاً من الليل ما يهجعون "" وبالأسحارِ هم يستغفرون "" وفي أموالِهم حقٌ للسائلِ والمحرومِ)،"
"So He describes them as staying awake, seeking forgiveness in the early mornings, and they spend from their wealth.","فوصفهم بالتيقظ بالليل، والاستغفار بالأسحار، وبالإنفاق من أموالهم.
"
"One of the Salaf was asleep when someone came to him and said, ""Stand up and pray! Don’t you know that the keys to Paradise are with the people of the night, they are its guardians, and they are its guardians.","وكان بعض السلف نائماً فأتاه آتٍ في منامه فقال له: قم فصلِّ، أما علمت أن مفاتيح الجنة مع أصحاب الليل، هم خزانها هم خزّانها."
"Standing during the night brings about the high ranks in Paradise. Allah, the Most High said to his Prophet (PBUH): “And stay awake for the prayer during part of the night, as a additional prayer for yourself. It may well be that your Lord will raise you to a Praiseworthy Station [in the life to come].” [al-Israa’ (17): 79]","وقيام الليل يوجب علوّ الدرجات في الجنة، قال الله تعالى لنبيه : (ومن الليل فتهجَّدْ به نافلةً لك عسى أنْ يبعَثك ربُّك مقاماً محموداً)، "
"So He set the reward for the night prayer - reciting the Qur’an in it, raising him (PBUH) to the praiseworthy station, which is the highest of his (PBUH) ranks.","فجعل جزاءه على التهجد بالقرآن بالليل أن يبعثه المقام المحمود، وهو أعلى درجاته."
"'Awn Ibn Abdullah said: ‘Allah will enter people into Paradise and give them until they are full. Above them will be people of higher ranks, so when they see them they will recognise them, and say: ‘O our Lord they are our brethren who used be with us. So for what reason have you given them favour above us?’","قال عون بن عبد الله: "" إن الله يدخل الجنة أقواماً فيعطيهم حتى يملّوا، وفوقهم ناس في الدرجات العُلى، فلما نظروا إليهم عرفوهم، فقالوا: ربنا إخواننا كنا معهم، فبم فضلتهم علينا؟"
"So He will say: ‘How far (you are from realising). Indeed, they would go hungry when you had your fill. They used to be thirsty while your thirst was quenched. They would stand at night in prayer while you would sleep. They would rise up while you were laying down.’","فيقول: هيهات هيهات! إنهم كانوا يجوعون حين تشبعون، ويظمئون حين تروون، ويقومون حين تنامون، ويشخصون حين تخفضون "".
"
It (the night prayer) also makes compulsory those things of Paradise that the servant has never imagined (nor has any eye seen) in this worldly life anything similar. ,"ويوجب أيضاً نعيم الجنة ما لم يطلع عليه العباد في الدنيا، "
"Allah, the Mighty and Majestic says: “Their sides draw away from [their] beds [at night], they call upon their Lord in fear and hope. And they spend on others of what We have provided for them. No soul knows what has been hidden away for them, awaiting them of comfort for eyes [i.e., satisfaction], as reward for what they used to do.” [al-Sajdah (32): 16-17]","قال الله عز وجل: (تَتَجافى جُنُوبُهُم عن المضاجع يدعون ربَّهم خوفاً وطمعاً ومما رزقناهم يُنفقون "" فلا تعلم نفسٌ مآ أُخفِيَ لهم من قُرَّة أَعْيُنٍ جزآءً بما كانوا يعملون)."
"In the Sahih of Bukhari it is reported from the Prophet (PBUH) who said: “Allah the Mighty and Majestic says: “I have prepared for my righteous servants that which no eye has seen. Nor any ear has heard. Nor that which has occurred to the human mind.’ Read if you wish: “No soul knows what has been hidden away for them, awaiting them of comfort for eyes [i.e., satisfaction], as reward for what they used to do.” [al-Sajdah (32): 17]","وفي الصحيح عن النبي قال: "" يقول الله عز وجل: أعددت لعبادي الصالحين ما لا عين رأت، ولا أذن سمعت، ولا خطر على قلب بشر. اقرءوا إن شئتم: (فلا تعلمُ نفسٌ ما أُخفِي لهم من قُرَّةِ أعيُنٍ جزاءً بما كانوا يعملون) ""."
Some of the Salaf said: ‘They concealed their actions for Allah so He concealed their reward. So when they come to it their eyes will rejoice in it.’,"قال بعض السلف: أخفوا لله العمل فأخفى الله لهم الجزاء، فلو قدموا عليه لأقرّ تلك الأعين عنده.
"
"From the reward of those that stand at night in prayer is the abundant amount of wives from the women of Paradise. For the worshipper at night who leaves the pleasure of sleep and enjoyment of his wives, searching what is with Allah, the Mighty and Majestic. So Allah, the Most High replaces for him something better than that which he left, and that is the women of Paradise in Paradise.","ومما يجزي به المتهجدين في الليل: كثرة الأزواج من الحور العين في الجنة، فإن المتهجد قد ترك لذة النوم ولذة التمتع بأزواجه طلباً لما عند الله عز وجل، فعوضه الله تعالى خيراً مما تركه وهو الحور العين في الجنة،"
For this reason some have said that: The length of the night prayer is like the dowry you give to them in Paradise.,ومن هنا قال بعض السلف: طول التهجد مهور الحور العين في الجنة.
"Some of the Salaf would stay awake during the night and pray until they were exhausted. So someone would come to them in their sleep and say: O so and so, you use to stand diligently in your proposal (while praying) so what has made you fall short now?’ He said: ‘What do you mean?’ He said: ‘You use to stand for prayer at night.’ Did you not know that when the night worshipper stands the angels says: 'The proposer has stood to make his proposal.’","وكان بعض السلف يحيي الليل بالصلاة ففتر عن ذلك، فأتاه آتٍ في منامه فقال له: قد كنت يا فلان تدأب في الخطبة، فما الذي قصر بك عن ذلك؟. قال: وما ذلك؟. قال: كنت تقوم من الليل، أوَ ما علمت أن المتهجد إذا قام إلى التهجد قالت الملائكة: قد قام الخاطب إلى خطبته؟!"
One of them saw a woman in his dream not resembling any woman in the world so he said to her: ‘Who are you?’ She replied: Huuwraa' the servant of Allah.’ So he said to her: ‘Marry me.’ She said: ‘Propose to me and stipulate a dowry.’ He said: 'And what is your dowry?’ She replied: ‘Lengthening the night prayer.’,"ورأى بعضهم في منامه امرأة لا تشبه نساء الدنيا فقال لها: من أنت؟ قالت: حوراء أمة الله. فقال لها: زوجيني نفسك. قالت: اخطبني إلى سيدي وامهرني. قال: وما مهرك؟ قالت: طول التهجد.
"
One of the night worshippers fell asleep one night and saw a woman of Paradise chanting:,نام بعض المتهجدين ذات ليلة فرأى في منامه حوراء تنشد:
"Do you propose to the like of me yet sleep, (stay away)
And to sleep away from those whom you love is forbidden
For we have been created for every person
That is abundant in praying and has been weakened by fasting","أتخطبُ مثلي وعنِّي تنام *** ونومُ المحبين عنَّا حرام
لأنّا خُلِقنا لكلِ امرئٍ *** كثير الصلاة براه الصيام
"
"Another person of the Salaf would read a certain amount during the night, but once he fell asleep and saw a young girl in his sleep who had a face like the moon. She had a scroll which had something written on it. She said: ‘Will you read?’ He said: ‘Yes.’ So she gave him and he opened it and read:","وكان لبعض السلف ورد من الليل فنام عنه ليلة، فرأى في منامه جارية كأن وجهها القمر ومعها رقٌ فيه كتاب، فقالت: أتقرأ؟.قال: نعم. فأعطته إياه ففتحه فإذا فيه مكتوب:
"
"Does the pleasure of sleep keep you from a better life?
With the pure women in the lofty chambers of Paradise
Living therein eternally without (fear of) death
Enjoying in gardens with fair maidens of beauty
Wake up from your dream it is better
To stand in prayer with the Qur’an than sleeping","أألهتك لذةُ نَومةٍ عن خير عيشٍ *** مع الخيرات في غُرَفِ الجنان
تعيش مخلّداً لا موتَ فيه *** وتنعُمُ في الجنان مع الحِسان
تيَقّظ من منامك إن خيراً *** من النوم التهجُّدُ بالقرآن"
So he woke up and said: ‘By Allah whenever I remember her I forgot about sleeping.’,"فاستيقظ، قال: فوالله ما ذكرتها إلا ذهب عني النوم.
"
"One of the righteous would read a certain amount of the Qur’an every night, but once he slept, so a young person stood in his dream and said in a dejected voice:","كان بعض الصالحين له ورد فنام عنه، فوقف عليه فتى في منامه فقال له بصوت محزون:
"
"Wake up for a few hours of the night O Youth!
Perchance you will get a woman of paradise
And enjoy the bliss of an eternal place
Muhammad and Khalil (Ibrahim) will visit it
So stand up hour after hour
So that you can fulfil what is left of your dowry","تيقّظ لساعاتٍ من الليل يا فتى *** لعلك تحظى في الجِنان بحورها
فتنعُمَ في دارٍ يدومُ نعيمُها *** محمدٌ فيها والخليلُ يزورها
فقمْ فتيقظْ ساعةً بعد ساعةٍ *** عساك تُوفِّي ما بقى من مهورها
"
"One of the righteous Salaf who was very devout, wept for over sixty years out of longing for Allah, so he saw himself in a dream standing on the bank of a river that was (instead of water) running with musk. Flanked by trees of pearls and plants with gold trim. All of a sudden there stood before him a group of beautiful women saying in one voice:","كان بعض السلف الصالحين كثير التعبد، وبكى شوقاً إلى الله ستين سنة، فرأى في منامه كأنه على ضفة نهر يجري بالمسك، حافتاه شجر لؤلؤ ونبت من قضبان الذهب، فإذا بجوارٍ مزينات يقلن بصوتٍ واحد:
"
"We were created by the God of mankind, the Lord of Muhammad
For a people who stand during the nights
Conversing with the Lord of the worlds
Taking the worries of people while they slumber","ذرانا إلهُ الناس ربُّ محمدٍ *** لقومٍ على الأقدام بالليل قُوَّمُ
يناجُون ربَّ العالمين إلهم *** وتسري همومُ القومِ والناسُ نُوَّمُ
"
"So he said: ‘Wow, wow to you all. Who are those (people)? Indeed Allah has made you the coolness of their eyes.’ The women said: ‘Don’t you know them?’ He said: ‘No.’ So they replied: ‘Indeed these are the people that pray during the night, those of the Qur’an and those who stay awake.’","فقال: بخ بخ لهؤلاء! من هم؟! لقد أقرّ الله أعينهم بكُن. فقلن: أوما تعرفهم؟! قال: لا. فقلن: بلا هؤلاء المتهجدون أصحاب القرآن والسهر.
"
One of the righteous would fall asleep (thereby miss a part of the night prayer) so a woman of Paradise would awaken him in his asleep and he would get up because of that.,"وكان بعض الصالحين ربما نام في تهجده فتوقظه الحوراء في منامه فيستيقظ بإيقاظها، "
"It has been narrated about Abu Sulayman al-Darani that he said: ‘Once my sleep took me away from my (night) prayer, before I knew it there was a woman of Paradise standing in front of me trying to wake me while saying: ‘O Abu Sulayman are you sleeping while I have been nurturing you in hiding for five hundred years?’’","وروي عن أبي سليمان الداراني أنه قال: ذهب بي النوم ذات ليلة في صلاتي، فإذا بها يعني: الحوراء تنبهني وتقول: يا أبا سليمان! أترقد وأنا أربي لك في الخدر منذ خمسمائة سنة؟!. "
In another narration from him is that once he fell asleep while in prostration and he said: ‘All of a sudden she was pushing me with her leg saying: ‘Are you sleeping while the king is awake looking at the worshippers at night?’ May the eye that prefers the pleasure of sleep over conversing with the Mighty be deprived.,"وفي رواية عنه أنه نام ليلة في سجوده قال: فإذا بها ركضتني برجلها وقالت: حبيبي أترقد عيناك والملك يقظان ينظر إلى المتهجدين في تهجدهم؟ بؤساً لعين آثرت لذة نومٍ على مناجاة العزيز،"
"Stand up because the spare time is nearly over, and those that have love have met each other, so what is this sleep my beloved; coolness of my eyes. Do your eyes sleep while I nurture you in hiding since five hundred years?’ He jumped up anxiously sweating from what he heard. He said: ‘The sweetness of her voice is still in my hearing and heart.’","قم فقد دنا الفراغ، ولقي المحبون بعضهم بعضاً، فما هذا الرقاد يا حبيبي وقرة عيني؟ أترقد عيناك وأنا أربي لك في الخدور منذ خمسمائة عام؟ فوثب فزعاً من توبيخها له، قال: وإن حلاوة منطقها لفي سمعي وقلبي.
"
Abu Sulayman used to say: ‘The people of the night have more delight during the night (prayer) than the people of amusement while they amuse themselves. Had it not been for the night then I would not have wanted to remain in the world.’,"وكان أبو سليمان يقول: أهل الليل في ليلهم ألذ من أهل اللهو في لهوهم، ولولا الليل ما أحببت البقاء في الدنيا."
"Yaziid Al-Raqashi said to Habib Al-Ajmi: ‘I don’t know of anything more cooling to the eyes for the worshippers in the world than the night prayer, nor do I know of anything from the bliss of Paradise for the worshippers or more delightful to their eyes than looking at Allah when He raises the barriers and reveals Himself.’ ","وقال يزيد الرقاشي لحبيب العجمي: ما أعلم شيئاً أقر لعيون العابدين في الدنيا من التهجد في ظلمة الليل، وما أعلم شيئاً من نعيم الجنان وسرورها ألذّ عند العابدين ولا أقرّ لعيونهم من النظر إلى ذي الكبرياء العظيم إذا رفعت تلك الحجب وتجلى لهم الكريم. "
Habib cried out and fainted.,فصاح حبيب عند ذلك وخرّ مغشياً عليه.
Suri used to say: I have seen benefits appear during the darkness of the night.’,وكان السري يقول: رأيت الفوائد ترد في ظلام الليل.
"Abu Sulayman said: ‘When the darkness descends and all those who have love for each other are alone together, and stretch out their feet, their tears running down their cheeks, the exalted commands by calling out to Jibril:","وقال أبو سليمان: إذا جن الليل وخلا كل جبيب بحبيبه، افترش أهل المحبة أقدامهم، وجرت دموعهم على خدودهم، أشرف الجليل جل جلاله فنادى؛"
"‘By my two eyes who are those that take delight in my words, and take comfort in conversing with me, call among them O Jibril- What is this weeping for?’ Have you seen a person that loves to punish those that he loves? How can it befit me to punish people who when the night falls they ask of Me? So I swear that when they come forth on the Day of Judgment I will reveal my honourable face to them and they will look at me and I will look at them.’","يا جبريل! بعيني من تلذذ بكلامي، واستروح إلى مناجاتي، ناد فيهم يا جبريل: ما هذا البكاء؟! عل رأيتم حبيباً يعذب أحباءه؟ أم كيف يجمُل بي أن أعذب قوماً إذا جنّهم الليل تملقوني؟ فبي حلفت إذا قدموا عليّ يوم القيامة لأكشفنّ لهم عن وجهي ينظرون إليّ وأنظر إليهم.
"
"Al-Hasan was asked: 'Why did the people of night prayer have the most beautiful faces?’
He replied: ‘That is because they are alone with the ever Merciful and He envelops them with light.’",وسئل الحسن: لم كان المتهجدون أحسن الناس وجوهاً؟ قال: لإنهم خلوا بالرحمن فألبسهم نوراً من نوره.
"A righteous woman saw in her dream garments that were given out to the people of the masjid of Muhammad Ibn Jahadah, when the one giving them out finished he ask for a closed satchel which he opened and took out a yellow garment. She said: ‘My eyes were not able to see it, he made her wear it and said: This is for you because of the length of your night prayer.’","رأت امرأة من الصالحات في منامها كأن حُللاً قد فُرقت على أهل مسجد محمد بن جُحادة، فلما انتهى الذي يفرقها إليه دعا بسفطٍ مختوم فأخرج منه حُلةً صفراء، قالت: فلم يقم لها بصري، فكساه إياها، وقال: هذه لك بطول السهر."
She said: ‘By Allah I use to see him (Muhammad Ibn Jahadah) after that I would take pride in it (the garment).’,"قالت: فوالله لقد كنت أراهتعني: محمد بن جحادة بعد ذلك فأتخايلها عليه. تعني تلك الحلة.
"
"Karaz Ibn Wabrah said: 'It has reached me that Ka'b said: 'Indeed the angels gaze from the sky to those praying the night prayer, as you gaze at the stars at night.’","قال كرز بن وبرة: بلغني أن كعباً قال: إن الملائكة ينظرون من السماء إلى الذين يتهجدون بالليل كما تنظرون أنتم إلى نجوم السماء.
"
"O soul the righteous have succeeded with piety
They see the truth while my heart is blind
O their beauty all the while the night covers them
Their light outshining the stars","يا نفسُ فازَ الصالحون بالتُّقى *** وأبصرُوا الحقَّ وقلبي قد عُمي
يا حسنهُم والليل قد جنَّهم *** ونورهم يفوقُ نورَ الأنجُمِ
"
"They chant with remembrance at night
So their life is made pleasant with that reciting
Their hearts dedicated to remembrance (of Allah)
Their tears like a constant stream of pearls Like the rising of dawn when it breaks
And to take from it forgiveness is the best fate","ترنّموا بالذكر في ليلهم *** فعيشهم قد طاب بالترنُّمِ
قلوبهم للذكر قد تفرّغت *** دموعهم كلؤلؤٍ مُنظَّمِ
أسحارهم بهم لهم قد أشرقت *** وخِلعُ الغفران خيرُ القِسَمِ"
"In some narrations Allah, the Mighty and Majestic says every night: ‘O Jibriil wake up so and so and put to sleep so and so.’",في بعض الآثار يقول الله عز وجل كل ليلة: يا جبريل أقم فلاناً وأنم فلاناً
"One of the righteous stood up during a cold night while wearing shabby garments and was struck by cold so he began to weep. He heard a voice call out to him saying: We woke you up and put others to sleep, yet you cry?’",". قام بعض الصالحين في ليلة باردة، وكان عليه خلقان رثّة فضربه البرد فبكى، فسمع هاتفاً يقول: أقمناك وأنمناهم، ثم تبكي!."
"Wake up you! deserving of my love
How many are sleep then wake up to the dew of Najd
How far between are the one’s alone and the one that’s stays awake
And the one in slumber; the hiding and the beginner","تنبّهوا يا أهلَ وادي المنحنى *** كم ذا الكرى، هبّ نسيمُ وجدي
كم بين خالٍ وجَوّ وساهرٍ *** وراقدٍ وكاتمٍ ومُبدي
"
"It was said to Ibn Mas'uud (radiyAllahu anhu): We are unable to stand in the night prayer.’
To which he replied: ‘Your sins have taken you far away.’ It was also said to Al-Hasan: ‘We are unable to stand at night to pray.’ He said: ‘Your sins have tied you down. Indeed the kings are only in the privacy of those that who are sincere in their love and interaction. As for the one who opposes them then they are not pleased with them.’","قيل لابن مسعود: ما نستطيع قيام الليل. قال: أبعدتكم ذنوبكم. وقيل للحسن: أعجزنا قيام الليل. قال: قيدتكم خطاياكم. إنما يؤهل الملوك للخلوة ومخاطبتهم من يخلص في ودادهم ومعاملتهم، فأما من كان من أهل مخالفتهم فلا يرضونه لذلك:"
"The night is for me and for those that I love so that
I may converse with them
I have chosen them so they may hear me and understand me
They have hearts full of secrets
They impress on my love and advice","الليلُ لي ولأحبابي أُحادِثُهم *** قد اصطفيتهم كي يسمعوا ويَعُوا
لهم قلوبٌ بإسرارٍ لها مُلئت *** على وِدادي وإرشادي لهم طُبِعوا
"
"The trees of understanding bear fruit for them
They achieve not what they achieve except they raise themselves
They are pleased, not weakened or incapable
And keep hold of the rope to get near me and don’t stop
","قد أثمرت شجراتُ الفهمِ عندَهم *** فما جَنوا إذ جَنَوا مما به ارتفعوا
سُرُّوا فما وهِنوا عجزاً وما ضَعُفُوا *** وواصَلُوا حبلَ تقريبي فما انقطعوا
"
"[Mention of the Supplications made in the
Hadith]",الفصل الثالث في ذكر الدعوات المذكورة في هذا الحديث
"It is: “O Allah I ask you (the ability to) do good actions, leaving bad actions, (having) love of the needy, that you forgive me and have mercy upon me. When you wish a calamity to befall a people to take my life without being put to trial. I ask you for your love and the love of the one who loves you and love of those actions that will draw me closer to your love.” The Prophet (PBUH) said: “Indeed it is the truth, so study it and learn it.”","وهي: "" اللهم إني أسألك فعل الخيرات، وترك المنكرات، وحب المساكين، وأن تغفر لي وترحمني، وإذا أردت بقوم فتنة فاقبضني إليك غير مفتون، وأسألك حبك، وحب من يحبك، وحب العمل الذي يبلغني حبك "". فقال النبي : "" تعلموهن وادرسوهن فإنهن حق ""."
This is a great supplication from the most comprehensive and complete of supplications.,"هذا دعاء عظيم من أجمع الأدعية وأكملها،"
"In his statement: “I ask you (the ability for doing) good actions and leaving bad actions.”
This supplication contains all types good and the leaving off of all types of evil. For good deeds include all that which Allah, the Most High loves. And what draws a person near to Him in the form of actions and statements that are obligatory or recommended. ","فقوله : "" أسألك فعل الخيرات وترك المنكرات "". يتضمن طلب كل خير وترك كل شر، فإن الخيرات تجمع كل ما يحبه الله تعالى ويقرب منه من الأعمال والأقوال من الواجبات والمستحبات، "
"While evil deeds includes all that which Allah, the Most High hates. Such actions and statements that lead a person far away from Allah. So whoever attains the request as this supplication has indeed attained goodness of this life and the next.","والمنكرات تشمل كل ما يكرهه الله تعالى ويباعد منه من الأقوال والأعمال، فمن حصل له هذا المطلوب حصل له خير الدنيا والآخرة،"
"The Prophet (PBUH), used to like such concise supplications. As 'A'ishah (radiyAllahu 'anha) said: ‘The Prophet (PBUH) use to like the concise supplications and leave what which was not.’ Reported by Abu Dawud.","وقد كان النبي يستحب مثل هذه الأدعية الجامعة، قالت عائشة: كان النبي (يعجبه الجوامع من الدعاء، ويدع ما بين ذلك. خرجه أبو داود.
"
