The History of al-Tabari,تاريخ الطبري
"So consider you own position now, since I, your commander, have chosen this course for myself."" They responded, ""Indeed, we will fight alongside you, until either we are dead to the last man or we are victorious!""","فانظروا ما تكون حالكم، إذا كنت رئيسكم وفعلت هذا بنفسي! فقالوا: لا بل نقاتل معك حتى نموت عن آخرنا، أو نظفر."
,
"On the mom of the day when the time ended, Wahriz arranged his troops for the fight, with the sea at their rear.","فلما كان صبح اليوم الذي انقضى فيه الأجل عبى أصحابه، وجعل البحر خلفه،"
"He went up to them and exhorted them forcefully to remain steadfast in battle, and told them that they had two possible ways forward: either to be victorious over their enemy or to die gloriously.","وأقبل عليهم يحضهم على الصبر، ويعلمهم أنهم منه بين خلتين، إما ظفروا بعدوهم، وإما ماتوا كراما،"
"He ordered them to have their bows bent and strung, and said, ""When I give you the order to shoot, let fly at them swiftly with a five-arrow volley (bi-al-banjakan)."" The people of Yemen had never seenwar arrows before this occasion.","وأمرهم أن تكون قسيهم موترة، وقال:"
,إذا أمرتكم أن ترموا فارموهم رشقا بالبنجكان- ولم يكن أهل اليمن رأوا النشاب قبل ذلك-
"Masruq advanced with a host that appeared limitless, on an elephant, wearing a crown on his head and with a ruby the size of an egg on his forehead; he could not conceive the possibility of anything except victory.","وأقبل مسروق في جمع لا يرى طرفاه على فيل على رأسه تاج، بين عينيه ياقوتة حمراء مثل البيضة، لا يرى أن دون الظفر شيئا."
,
"Wahriz's sight had become poor through old age, and he said, ""Show me their leader."" He was informed, ""It's the man on the elephant,"" but then very soon afterward Masruq got down from the elephant and mounted a horse.","وكان وهرز قد كل بصره فقال: أروني عظيمهم، فقالوا: هو صاحب الفيل، ثم لم يلبث مسروق أن نزل فركب فرسا،"
"So they exclaimed, ""He's now mounted a horse."" Wahriz said, ""Prop open my eyelids""—they had fallen down over his eyes on account of his age—so they held them up with a bandage.","فقالوا: قد ركب فرسا، فقال: ارفعوا لي حاجبي، وقد كانا سقطا على عينيه من الكبر، فرفعوهما بعصابة،"
"He then took out an arrow, placed it in the center [kabid) of his bow and said, ""Point out for me Masruq."" They did that for him, until Wahriz was sure of him, and then he gave the order ""Shoot!""","ثم أخرج نشابة، فوضعها في كبد قوسه، وقال: أشيروا لي إلى مسروق، فأشاروا له إليه حتى أثبته، ثم قَالَ لهم: ارموا،"
سقطمنالنسخة,"فرموا،"
"He himself pulled on his bow until, when he had drawn it to its utmost, he released the arrow. It sped forward as if it were a tightly stretched rope, and struck Masruq's forehead. He fell from his mount.","ونزع في قوسه حتى إذا ملأها سرح النشابة، فأقبلت كأنها رشاء، حتى صكت جبهة مسروق، فسقط عن دابته،"
"A great number of men were killed by that rain of arrows. When they saw their commander felled to the ground, their front rank crumbled, and there was nothing for it but flight.","وقتل في ذلك الرشق منهم جماعة كثيرة، وانفض صفهم لما رأوا صاحبهم صريعا، فلم يكن دون الهزيمة شيء،"
,
"Wahriz immediately gave orders for the burial of his son's corpse, and ordered that Masruq's corpse be thrown down in its place.","وأمر وهرز بجثة ابنه من ساعته فووريت، وأمر بجثة مسروق، فألقيت مكانها،"
Booty was found in the defeated army's encampment in quantities beyond measure and beyond enumeration.,"وغنم من عسكرهم ما لا يحصى ولا يعد كثرة،"
"Each individual Persian cavalryman got fifty or sixty Abyssinians, Himyarites, or Bedouin as captives, and drove them along, unresisting, before him in bonds.","وجعل الأسوار يأخذ من الحبشة ومن حمير والأعراب الخمسين والستين فيسوقهم مكتفين، لا يمتنعون منه"
,
"Wahriz said, ""Leave the Himyarites and Bedouin alone, just hunt down the blacks and don't leave a single one alive.""","فقال وهرز: أما حمير والأعراب فكفوا عنهم، واقصدوا قصد السودان فلا تبقوا منهم أحدا"
The Abyssinians were massacred on that day until not a single one of their host remained.,"فقتلت الحبشة يومئذ حتى لم يبق منهم كثير أحد،"
A Bedouin managed to flee on his camel and galloped onward day and night. Then he happened to turn round and saw an arrow stuck in his provision bag behind the saddle.,"وهرب رجل من الأعراب على جمل له، فركضه يوما وليلة، ثم التفت، فإذا في الحقيبة نشابة،"
"He exclaimed, ""The devil take it! (literally, ""Woe to your mother!"")—has it traversed such a wide distance ortraveled so far!"" He thought that the arrow had caught up with him!",فقال: لأمك الويل! أبعد أم طول مسير- حسب أن النشابة لحقته
,
Wahriz advanced until he entered $an'a’ and reduced to submission the whole land of Yemen. He sent out governors to the provincial districts (makhalif).,"وأقبل وهرز حتى دخل صنعاء، وغلب على بلاد اليمن، وفرق عماله في المخاليف."
,
"Abu al-§alt, the father of Umayyah b. Abi al-$alt al-Thaqafi, says concerning the son of Dhu Yazan, his adventures, and those of Wahriz and the Persians, the following verses:","وفي ابن ذي يزن وما كان منه ومن وهرز والفرس، يقول أبو الصلت أبو أمية بن أبي الصلت الثقفي:"
"Let those who are like the son of Dhu Yazan seek vengeance, a man who spent several years traveling across the seas on account of his enemies.",ليطلب الوتر أمثال ابن ذي يزن ... ريم في البحر للأعداء أحوالا
,
"He came to Heraclius, at a time when his enemies were already falling into discord and perturbation, but he did not secure from him any part of what he sought.",اتى هرقل وقد شالت نعامتهم ... فلم يجد عنده بعض الذي قالا
Then after seven years he tinned toward Kisra; how far away did you have to travel!,ثم انتحى نحو كسرى بعد سابعة ... من السنين لقد أبعدت إيغالا
,
"Until at last he brought with him the Free Ones [Bairn al-Ahiai, i.e., the Persians), whom he bore along; by my life, you spent long in strenuous activity!",حتى أتى ببني الأحرار يحملهم ... إنك لعمري لقد أطولت قلقالا
,
"Who is like Kisra, the supreme king (shahanshah) over the dependent kings, or like Wahriz on the day of the army, when he attacked furiously!",من مثل كسرى شهنشاه الملوك له ... أو مثل وهرز يوم الجيش إذ صالا!
What a remarkable band went forth! You will never see among men their likes again!,لله درهم من عصبة خرجوا ... ما إن ترى لهم في الناس أمثالا
,
"Outstanding warriors, noble chiefs, gleaming ones, marzbans, lions who train their cubs in the thickets,","غر جحاجحة، بيض مرازبة، ... أسد تربب في الغيضات أشبالا"
"Who shoot from highly bent bows, as if they were camel",يرمون عن شدف كأنها غبط ... في زمخر يعجل المرمي إعجالا
"saddles, with long, slim arrows which bring the one who is hit to a speedy death.",
,
"You loosed lions against black dogs, and their scattered fugitives have spread through the land in full flight.",أرسلت أسدا على سود الكلاب فقد ... أضحى شريدهم في الأرض فلالا
,
"So drink with full peace of mind, wearing your crown and reclining high on Ghumdan in a house which you have made [once more] frequented.",فاشرب هنيئا عليك التاج متكئا ... في رأس غمدان دارا منك محلالا
"Indulge freely in the use of musk, for they (i.e., your enemies) are in complete disarray, and on this day let your two luxurious robes trail freely!",وأطل بالمسك إذ شالت نعامتهم ... وأسبل اليوم في برديك إسبالا
"These are noble deeds! Not two wooden bowls of milk mingled with water, which subsequently turned to urine.  ",تلك المكارم لا قعبان من لبن ... شيبا بماء فعادا بعد أبوالا
,
The story returns to the narrative of Ibn Ishaq.,رجع الحديث إلى حديث ابن إسحاق
,
"He related: Wahriz went back to Kisra, having appointed Sayf as king of Yemen. The latter now fell upon the Abyssinians and began to kill them, ripping open the pregnant womenfolk to tear out the fetuses, until he had exterminated the Abyssinians, apart from an insignificant, wretched few whom he took into his service as slaves.","قال: فلما انصرف وهرز إلى كسرى، وملك سيفا على اليمن، عدا على الحبشة فجعل يقتلها ويبقر النساء عما في بطونها، حتى إذا أفناها إلا بقايا ذليلة قليلة، فاتخذهم خولا،"
Some of these he employed as runners to go before him with their spears.,"واتخذ منهم جمازين يسعون بين يديه بحرابهم،"
"yf carried on thus only for a short while before he went forth one day, with the Abyssinians running before him with their spears, until suddenly he found himself surrounded by them, and they attacked him with their spears, killing him.","فمكث بذلك حينا غير كثير ثم إنه خرج يوما والحبشة تسعى بين يديه بحرابهم، حتى إذا كان في وسط منهم وجئوه بالحراب حتى قتلوه،"
"One of the Abyssinians assumed power over them, and carried out a policy of killing the Yemenis, creating havoc and wreaking all manner of evil.","ووثب بهم رجل من الحبشة، فقتل باليمن وأوعث، فأفسد،"
"When news of this reached Kisra, he dispatched Wahriz against them with four thousand Persian troops and ordered him not to leave alive in Yemen a single black, nor the child of an Arab woman by a black, whether young or old, nor to leave alive a single man with crisp and curly hair in whose generation the blacks had been involved.","فلما بلغ ذلك كسرى بعث إليهم وهرز في أربعة آلاف من الفرس، وأمره ألا يترك باليمن أسود ولا ولد عربية من أسود إلا قتله، صغيرا أو كبيرا، ولا يدع رجلا جعدا قططا قد شرك فيه السودان إلا قتله."
,
"Wahriz advanced until he entered  Yemen, and did all that, killing every Abyssinian he could find.","فأقبل وهرز، حتى دخل اليمن، ففعل ذلك، ولم يترك بها حبشيا إلا قتله،"
,
"Then he wrote to Kisra informing him of what he had done. Kisra appointed him as viceroy over Yemen. He ruled over it, and levied taxation on it for Kisra until he died.","ثم كتب إلى كسرى بذلك، فأمره كسرى عليها فكان عليها، وكان يجبيها إلى كسرى حتى هلك،"
,
"After him, Kisra made his son al-Marzuban, son of Wahriz, viceroy, who governed the land until he died.","وأمر كسرى بعده ابنه المرزبان بن وهرز، فكان عليها حتى هلك،"
"Then Kisra appointed al-  Blnajan (?), son of al-Marzuban, son of Wahriz, until he also died.","فأمر كسرى بعده البينجان بن المرزبان بن وهرز حتى هلك،"
"Then Kisra appointed after him Khurrakhusrah, son of al- Blnajan, son of al-Marzuban, son of Wahriz.","ثم أمر كسرى بعده خر خسره بن البينجان بن المرزبان بن وهرز، "
"The latter governed Yemen, but then Kisra grew angry with him and swore that the Yemenis should bring Khurrakhusrah to him at his court borne on their shoulders. This they did.","فكان عليها. ثم إن كسرى غضب عليه، فحلف ليأتينه به أهل اليمن يحملونه على أعناقهم ففعلوا،"
,
"When Khurrakhusrah came before Kisra, one of the Persian great men went right up to him and laid across him a sword that belonged to Kisra's father.","فلما قدم على كسرى تلقاه رجل من عظماء فارس، فألقى عليه سيفا لأبي كسرى،"
"Kisra therefore granted him security from being killed, but dismissed him from his post and sent Badhan to Yemen [as governor] instead. Badhan remained in that office until the time when God sent His Messenger Muhammad.","فأجاره كسرى بذلك من القتل ونزعه، وبعث باذان إلى اليمن، فلم يزل عليها حتى بعث الله رسوله محمدا ص."
[Resumption of the History of Kisra Anusharwdn],
,
"It is related that there was a peace accord and a truce between Kisra Anusharwan and Yakhtiyanus (Justinian), king Byzantines.",وكان- فيما ذكر- بين كسرى أنوشروان وبين يخطيانوس ملك
,"الروم، موادعة وهدنة،"
"Discord and emnity arose between a man of the Arabs called Khalid b. Jabalah, whom Yakhtiyanus had appointed over the Arabs of Syria, and a man from Lakhm called al-Mundhir b. al- Nu'man, whom Kisra had appointed over the lands extending from ’Uman, al-Bahrayn and al-Yamamah to al-Ta’if and the rest of Hijaz and all the Arabs of the intervening lands.","فوقع بين رجل من العرب كان ملكه يخطيانوس على عرب الشام، يقال له خالد بن جبلة، وبين رجل من لخم، كان ملكه كسرى على ما بين عمان والبحرين واليمامة إلى الطائف وسائر الحجاز ومن فيها من العرب، يقال له المنذر بن النعمان- نائرة،"
Khalid b. Jab- alah raided al-Mimdhir's territory and wrought great slaughter among his subjects and seized as plunder extensive lands of his.,"فأغار خالد بن جبلة على حيز المنذر، فقتل من أصحابه مقتلة عظيمة، وغنم أموالا من أمواله."
,
"Al-Mundhir laid a complaint about this before Kisra, and asked him to write to the king of the Byzantines requesting the latter to secure justice for him against Khalid.","فشكا ذلك المنذر إلى كسرى، وسأله الكتاب إلى ملك الروم في إنصافه من خالد"
"Kisra therefore wrote to  Yakhtiyanus mentioning the agreement regarding the truce and peace between the two sides and informing him of what al- Mundhir, his governor over the Arabs [within the Persian sphere of influence], had suffered at the hands of Khalid b. Jabalah, whom Yakhtiyanus had appointed governor over the Arabs within his dominions.","فكتب كسرى إلى يخطيانوس، يذكر ما بينهما من العهد على الهدنة والصلح، ويعلمه ما لقي المنذر عامله على العرب من خالد بن جبلة الذي ملكه على من في بلاده من العرب،"
He further asked him to command Khalid to return all the plunder he had driven off from al-Mundhir's territory and lands and [to command Khalid] to hand over the blood price for the Arabs whom he had killed and who were in al-Mundhir's jurisdiction and to furnish justice to al-Mundhir against Khalid.,"ويسأله أن يأمر خالدا أن يرد على المنذر ما غنم من حيزه وبلاده، ويدفع إليه دية من قتل من عربها وينصف المنذر من خالد،"
"Yakhtiyanus was not to treat what Kisra had written lightheartedly and contemptuously,- [if he were to do so, ] then this would be the cause of the rupturing of the agreement and truce between them.","وألا يستخف بما كتب به من ذلك، فيكون انتقاض ما بينهما من العهد والهدنة بسببه."
,
"Kisra sent a stream of letters to Yakhtiyanus urging him to furnish justice to al-Mundhir, but Yakhtiyanus paid no heed.","وواتر الكتب إلى يخطيانوس في إنصاف المنذر، فلم يحفل بها،"
Hence Kisra got ready his forces and led an expedition of some ninety thousand warriors against Yakhtiyanus's lands.,"فاستعد كسرى، فغزا بلاد يخطيانوس في بضعة وتسعين ألف مقاتل،"
"He captured by force of arms the towns of Dara, al-Ruha (Edessa), Manbij, Qinnasrin, Aleppo, Antioch (which was the finest town in Syria), Famiyah (Apameaj, Hims (Homs), and numerous other towns in the neighborhood of these towns; he appropriated all the wealth (or: beasts, al-amwdl) and moveable goods in them,- and he took captive all the inhabitants of Antioch, deported them to the Sawad, and gave orders for a town to be built for them at the side of Ctesiphon exactly on the pattern of the original Antioch, as I have already mentioned previously.","فأخذ مدينة دارا، ومدينة الرهاء، ومدينة منبج، ومدينة قنسرين، ومدينة حلب، ومدينة أنطاكية- وكانت أفضل مدينة بالشام- ومدينة فامية، ومدينة حمص، ومدنا كثيرة متاخمة لهذه المدائن، عنوة، واحتوى على ما كان فيها من الأموال والعروض، وسبى أهل مدينة أنطاكية، ونقلهم إلى أرض السواد، وأمر فبنيت لهم مدينة إلى جنب مدينة طيسبون على بناء مدينة أنطاكية- على ما قد ذكرت قبل-"
"He resettled the people of Antioch there,- this is the town called al-Rumiyyah.","وأسكنهم إياها، وهي التي تسمى الرومية،"
"He erected this district into an administrative division (kuiah), which was to comprise four subdistricts [tassujs): that of Upper Nahrawan, that of Lower Nahrawan, that of Badaraya, and that of Bakusaya.","وكور لها كورة، وجعل لها خمسة طساسيج: طسوج نهروان الأعلى، وطسوج نهروان الأوسط، وطسوج نهروان الأسفل، وطسوج بادرايا، وطسوج باكسايا،"
"He allotted living allowances for the people whom he had transported from Antioch to al-Rumiyyah, and appointed as overseer of their affairs  a man from the Christian community of Ahwaz called Baraz, whom he had earlier made head of the the artisans and craftsemen working for him.","وأجرى على السبي الذين نقلهم من أنطاكية إلى الرومية الأرزاق وولى القيام بأمورهم رجلا من نصارى أهل الأهواز، كان ولاه الرياسة على أصحاب"
,"صناعاته،"
"This Kisra did out of tenderness and sympathy for those captives, and also with the administrative aim of causing them to feel at home with Baraz, because he was their coreligionist, and making them regard him with trust.","يقال له: براز، رقة منه لذلك السبي، إرادة أن يستأنسوا ببراز لحال ملته، ويسكنوا إليه"
"As for the remainder of the towns of Syria and Egypt, Yakhtiyanus bought Kisra off from them with a very large sum, which he handed over to the Persian king, and he undertook to pay ransom money to him each year in return for Kisra's undertaking not to raid his lands.","وأما سائر مدن الشام ومصر فإن يخطيانوس ابتاعها من كسرى بأموال عظيمة حملها إليه، وضمن له فدية يحملها إليه في كل سنه على الا يغزو بلاده،"
"He wrote for Kisra a document enshrining these terms, which he and the Byzantine great men of state sealed officially. They accordingly paid this sum annually.","وكتب لكسرى بذلك كتابا، وختم هو وعظماء الروم عليه، فكانوا يحملونها إليه في كل عام."
,
"The rulers of Persia before Kisra Anusharwan used to levy land tax (kharaj) on the administrative divisions (kuwar), a third or quarter or fifth or sixth [of their produce], according to the water supply and the degree of cultivation,- and poll tax (jizyat al- jamajim) according to a fixed sum.","وكان ملوك فارس يأخذون من كور من كورهم قبل ملك كسرى أنوشروان في خراجها الثلث، ومن كور الربع، ومن كور الخمس، ومن كور السدس، على قدر شربها وعمارتها، ومن جزية الجماجم شيئا معلوما،"
"King Qubadh, son of Fayruz ordered, toward the end of his reign, a cadastral survey [mash al- ard), comprising plains and mountains alike, so that the correct amount of land tax could be levied on the lands.","فأمر الملك قباذ بن فيروز في آخر ملكه بمسح الارض، سهلها وجبلها ليصح الخراج عليها،"
"This was carried out, except that Qubadh's death supervened before that survey could be completed.","فمسحت، غير أن قباذ هلك قبل أن يستحكم له أمر تلك المساحة،"
"Hence when his son Kisra succeeded to power, he gave orders for it to be carried through to its end and for an enumeration to be made of date palms, olive trees, and heads (i.e., of those liable to the poll tax).","حتى إذا ملك ابنه كسرى أمر باستتمامها وإحصاء النخل والزيتون والجماجم،"
"He then ordered his secretaries to calculate the grand total of that, and he issued a general summons to the people.","ثم أمر كتابه فاستخرجوا جمل ذلك، وأذن للناس إذنا عاما،"
"He commanded the secretary responsible for the land tax to read out to them the total tax liabilities from the land and the numbers of date palms, olive trees, and heads.","وأمر كاتب خراجه أن يقرأ عليهم الجمل التي استخرجت من أصناف غلات الأرض، وعدد النخل والزيتون والجماجم،"
"The secretary read all this out to them, after which Kisra said to them, ""We have judged it advisable to establish the rates of taxation (wada'i') on the basis of what has been enumerated of the various jaribs of this cadastral survey—date palms, olive trees, and heads—and we ordain that the taxation  should be paid in installments spread over the year, in three in-stallments.","فقرأ ذلك عليهم، ثم قَالَ لهم كسرى:"
,"إنا قد رأينا أن نضع على ما أحصي من جربان هذه المساحة من النخل والزيتون والجماجم وضائع، ونأمر بانجامها في السنه في ثلاثة انجم،"
"In this way, sums of money will be stored in our treasuries so that, should any emergency arise along one of our vulnerable frontiers or on any one of our distant boundaries, a breach of the borders or anything else untoward, and we have a need to deal with it and to nip it in the bud, involving the expenditure of money on this, we shall have money stored up here, ready and to hand, since we do not wish to have to levy a fresh installment of taxation for that emergency.","ونجمع في بيوت أموالنا من الأموال ما لو أتانا عن ثغر من ثغورنا، أو طرف من أطرافنا فتق أو شيء نكرهه، واحتجنا إلى تداركه أو حسمه ببذلنا فيه مالا، كانت الأموال عندنا معدة موجودة، ولم نرد استئناف اجتبائها على تلك الحال."
,
"So what do you think about the procedure we have envisaged and agreed upon?""",فما ترون فيما رأينا من ذلك وأجمعنا عليه؟
,
None of those present offered him any further advice or uttered a single word.,"فلم يشر عليه أحد منهم فيه بمشورة، ولم ينبس بكلمة،"
Kisra repeated these words to them three times.,فكرر كسرى هذا القول عليهم ثلاث مرات
"Then a man stood up from out of the expanse of persons present and said to Kisra, ""O king—may God grant you long life!—are you estabishing a perpetual basis for this land tax on transient foundations: a vine that may die, land sown with com that may wither, a water channel that may dry up, and a spring or qanat whose water supply may be cut off?""","فقام رجل من عرضهم وقال لكسرى: أتضع أيها الملك- عمرك الله- الخالد من هذا الخراج على الفاني من كرم يموت، وزرع يهيج، ونهر يغور، وعين أو قناة ينقطع ماؤها!"
"Kisra replied, ""O troublesome, ill-omened fellow, what class of people do you come from?""",فقال له كسرى: يا ذا الكلفه
,"المشئوم، من أي طبقات الناس أنت؟"
"The man said, ""I am one of the secretaries."" Kisra gave orders, ""Have him beaten with ink holders (al-dawa) until he dies.""","قَالَ: أنا رجل من الكتاب، فقال كسرى: اضربوه بالدوي حتى يموت،"
"Hence the secretaries in particular beat him with their ink holders, seeking to disassociate themselves, in Kisra's eyes, from the man's views and utterance, until they killed him.","فضربه بها الكتاب خاصة تبرءوا منهم إلى كسرى من رأيه وما جاء منه، حتى قتلوه"
"The people said, ""O king, we are in full agreement with the land tax which you are imposing on us.""",وقال الناس: نحن راضون أيها الملك بما أنت ملزمنا من خراج.
,
"Kisra chose some men of sound judgment and wise counsel, and ordered them to investigate the various types of crops the cadastral survey had revealed for him, the numbers of date palms and olive trees, and the numbers of heads of those liable for the poll tax.","وإن كسرى اختار رجالا من أهل الرأي والنصيحة، فأمرهم بالنظر في أصناف ما ارتفع إليه من المساحة وعدة النخل والزيتون ورءوس أهل الجزية"
"On that basis, they were to fix the rates of taxation by the yardsticks of what they perceived would ensure the well-being of his subjects and ample means of sustenance for them.","ووضع الوضائع على ذلك بقدر ما يرون ان فيه صلاح رعيته، ورفاعة معاشهم،"
"They were to report the results of this to him. Each man of them now spoke, according to the measure of his perception, regarding those rates of taxation which were to be fixed.",ورفعه إليه فتكلم كل امرئ منهم بمبلغ رأيه في ذلك من تلك الوضائع
"They discussed the matter among themselves at length, and finally agreed to base the land tax on the products that maintained alive men and beasts, these being: wheat, barley, rice, grapes, trefoil and clover {ritab), datepalms, and olive trees.","، وأداروا الأمر بينهم، فاجتمعت كلمتهم على وضع الحراج على ما يعصم الناس والبهائم، وهو الحنطة والشعير والأرز والكرم والرطاب والنخل والزيتون،"
"They fixed the land tax rate for every jaiib of land planted with trefoil and clover, seven dirhams; on every four Persian date palms, one dirham; on every six date palms of lesser quality (daqal), the same figure; and every six olive tree stacks, the same figure.","وكان الذي وضعوا على كل جريب أرض من مزارع الحنطة والشعير درهما، وعلى كل جريب أرض كرم ثمانية دراهم، وعلى كل جريب أرض رطاب سبعة دراهم، وعلى كل أربع نخلات فارسية درهما، وعلى كل ست نخلات دقل مثل ذلك، وعلى كل ستة أصول زيتون مثل ذلك،"
"They only levied tax on date palms planted in enclosures or grouped together, not those growing as isolated trees.","ولم يضعوا إلا على كل نخل في حديقة، أو مجتمع غير شاذ،"
"Everything apart from these seven types of crops from the earth they left tax free, and the people were to have a satisfactory standard of life from them.","وتركوا ما سوى ذلك من الغلات السبع فقوي الناس في معاشهم،"
"They imposed the poll tax on everyone except for people from noble families, great men, warriors, herbadhs, secretaries, and those in the king's service, and made them liable for it according to four levels, of twelve, eight, six, and four dirhams according to the richness or poverty of the person in question.","وألزموا الناس الجزية ما خلا أهل البيوتات والعظماء والمقاتلة والهرابذة والكتاب، ومن كان في خدمة الملك، وصيروها على طبقات: اثني عشر درهما وثمانية وستة وأربعة، كقدر إكثار الرجل وإقلاله،"
The poll tax was not to be levied on those below twenty or above fifty years of age.,"ولم يلزموا الجزية من كان أتى له من السن دون العشرين أو فوق الخمسين،"
"They brought their tax assessments before Kisra. he approved them and ordered them to be put into force and for tax collecting to be done on their basis annually, in three installments each of four months.","ورفعوا وضائعهم إلى كسرى فرضيها وأمر بإمضائها والاجتباء عليها في السنة في ثلاثة أنجم، كل نجم أربعة أشهر"
"These he called '.b.ias.ydi (?), meaning ""an arrangement mutually agreed upon by all."" ","وسماها أبراسيار، وتأويله الأمر المتراضى،"
"It was these tax assessments 'Umar b. al-Khattab followed when he conquered the Persian lands and levied taxation on the ""protected peoples"" (ahl al- dhimmah) there, except that he levied taxation on every uncultivated (ghdmii) piece of land according to its potential yield, at the same rate as he levied on sown land.","وهي الوضائع التي اقتدى بها عمر بن الخطاب حين افتتح بلاد الفرس، وأمر باجتباء أهل الذمة عليها، إلا أنه وضع على كل جريب أرض غامر على قدر احتماله، مثل الذي وضع على الأرض المزروعة،"
"Also, he levied on every jarlb  of land growing wheat or barley from one to two additional qafizsof wheat; this he used for feeding his army.","وزاد على كل جريب ارض مزارع حنطه او شعير قفيزا من حنطة إلى القفيزين، ورزق منه الجند"
"But in the specific case of Iraq, 'Umar did not make any arrangements contrary to those of Kisra regarding the jaribs of land and regarding the date palms, olive trees, and the heads [of those liable to the poll tax], and he excluded from liability to taxation the people's means of daily sustenance, as Kisra had done.","ولم يخالف عمر بالعراق خاصة وضائع كسرى على جربان الأرض وعلى النخل والزيتون والجماجم، وألغى ما كان كسرى ألغاه من معايش الناس."
,
Kisra ordered the new tax assessments to be written down in several copies.,"وأمر كسرى فدونت وضائعه نسخا،"
One copy was to be kept in his own chancery close at his hand; one copy was sent to the land-tax collectors ('ummal al-khaidj) for them to collect taxation on its basis; and another copy was sent to the judges of the administrative divisions (qudat al-kuwar).,"فاتخذت نسخة منها في ديوانه قبله، ودفعت نسخة إلى عمال الخراج، ليجتبوا خراجهم عليها، ونسخة إلى قضاة الكور،"
"The judges were charged with the duty of intervening between the tax collectors and the people if the tax collectors in the administrative districts attempted to raise an additional sum above the amount laid down in the master copy of the tax assessment in the chancery, of which they had received a copy.","وأمر القضاة أن يحولوا بين عمال الكور والزيادة على أهل الخراج فوق ما في الديوان الذي دفعت إليه نسخته،"
"Also, the judges were to exempt from land tax those whose tillage or other tax-attracting produce had been damaged or badly affected in any way, according to the seriousness of that damage or defect.","وأن يرفعوا الخراج عن كل من أصاب زرعه أو شيئا من غلاته آفة بقدر مبلغ تلك الآفة،"
"Regarding those persons liable for the poll tax who had died, or who had passed the age of fifty, collecting the taxation was likewise suspended; the judges were to write back to Kisra about the tax exemptions here, which they had granted so that Kisra might issue appropriate instructions to his tax collectors.","وعمن هلك من أهل الجزية أو جاوز خمسين سنة، ويكتبوا إليه بما يرفعون من ذلك، ليأمر بحسبه للعمال،"
"Furthermore, the judges were not to let the tax collectors levy taxation on persons aged less than twenty.",والا يخلوا بين العمال وبين اجتباء من أتي له دون عشرين سنة.
,
"Kisra had appointed over the department of the warriors (dlwan al-muqdtilah) a man from the secretarial class who was outstanding for his noble birth, martial virtues, sufficiency, and capability, called Babak, son of ’.l.y.r.wan (?).","وكان كسرى ولى رجلا من الكتاب- نابها بالنبل والمروءة والغناء والكفاية، يقال له بابك بن البيروان- ديوان المقاتلة،"
"This last said to Kisra, ""My function cannot properly be carried out unless I have a free hand at putting into practice what seems best to me for the good conduct of the king's affairs in regard to his army.""",فقال لكسرى: إن أمري لا يتم إلا بإزاحة علتي في كل ما بي إليه الحاجة من صلاح أمر الملك في جنده.
,
"Kisra granted Babak this. Babak now gave orders for the construction of a platform in the place where army reviews were customarily held, carpets from Susanjird and woolen rugs were laid on it, and cushions provided for him to lean back upon.","فأعطاه ذلك، فأمر بابك فبنيت له في الموضع الذي كان يعرض فيه الجند مصطبة وفرش له عليها بساط سوسنجرد ونمط صوف فوقه، ووضعت له وسائد لتكأته،"
He then took up his place on all those coverings.,"ثم جلس على ما فرش له،"
,
"Babak's herald now proclaimed throughout those troops present  in Kisra's army camp that the cavalrymen were to present themselves before him for inspection on their mounts and with their weapons, and the infantrymen with their requisite weapons.","ثم نادى مناديه في شاهد عسكر كسرى من الجند أن يحضره الفرسان على كراعهم وأسلحتهم والرجالة على ما يلزمهم من السلاح،"
"The troops massed together in front of him in the manner Babak had stipulated they were to parade, but he did not see Kisra present in their ranks, so he told them to go back.","فاجتمع إليه الجند على ما أمرهم أن يحضروه عليه، ولم يعاين كسرى فيهم، فأمرهم بالانصراف،"
"His herald made the same proclamation on the next day, and the troops gathered round him again; but when he still could not discern Kisra among them, he told them to go back and reappear before him next morning.","ونادى مناديه في اليوم الثاني بمثل ذلك، فاجتمع إليه الجند فلما لم ير كسرى فيهم أمرهم أن ينصرفوا، ويغدوا إليه،"
"He instructed his herald to proclaim on the third day, ""Let no one present in the army camp lag behind, even if he is honored by possessing a crown and a throne,"" for Babak had resolved that there should be no exception in his favor and no partiality shown to him (i.e., to Kisra).","وأمر مناديه أن ينادي في اليوم الثالث: ألا يتخلف عنه من شاهد العسكر أحد، ولا من أكرم بتاج وسرير، فإنه عزم لا رخصة فيه ولا محاباة"
"The message reached Kisra, and he placed the crown on his head, girded on the weapons of a soldier, and then went along to Babak so that he might present himself for inspection by him.","فبلغ ذلك كسرى، فوضع تاجه على رأسه وتسلح بسلاح المقاتلة، ثم اتى بابك"
,"ليعترض عليه،"
"The equipment that a cavalryman of the army had to take along with him comprised horse mail, soldier's mailed coat, breastplate, leg armor plates, sword, lance, shield, mace, and, fastened at his waist, a girdle, battle axe, or club, a bow case containing two bows with their strings, thirty arrows, and finally, two plaited cords, which the rider let hang down his back from his helmet.","وكان الذي يؤخذ به الفارس من الجند تجافيف ودرعا، وجوشنا، وساقين، وسيفا، ورمحا، وترسا، وجرزا تلزمه منطقة، وطبرزينا أو عمودا، وجعبة فيها قوسان بوتريهما، وثلاثين نشابة ووترين مضفورين يعلقهما الفارس في مغفر له ظهريا."
,
